Label,WithinSectionID,AlleleCombo
Sub035 ISO-M-S,35,ISO-M-S
Sub035 ISO-M-M,35,ISO-M-M
Sub035 ISO-M-L,35,ISO-M-L
Sub036 ISO-P-S,36,ISO-P-S
Sub036 ISO-M-S,36,ISO-M-S
Sub036 ISO-M-M,36,ISO-M-M
Sub036 ISO-M-L,36,ISO-M-L
Sub037 ISO-P-S,37,ISO-P-S
Sub037 ISO-M-S,37,ISO-M-S
Sub037 ISO-M-M,37,ISO-M-M
Sub037 ISO-M-L,37,ISO-M-L
Sub038 ISO-P-S,38,ISO-P-S
Sub038 ISO-M-S,38,ISO-M-S
Sub038 ISO-M-M,38,ISO-M-M
Sub038 ISO-M-L,38,ISO-M-L
Sub039 ISO-P-S,39,ISO-P-S
Sub039 ISO-M-S,39,ISO-M-S
Sub039 ISO-M-M,39,ISO-M-M
Sub039 ISO-M-L,39,ISO-M-L
Sub040 ISO-P-S,40,ISO-P-S
Sub040 ISO-M-S,40,ISO-M-S
Sub040 ISO-M-M,40,ISO-M-M
Sub040 ISO-M-L,40,ISO-M-L
Sub041 ISO-P-S,41,ISO-P-S
Sub041 ISO-M-S,41,ISO-M-S
Sub041 ISO-M-M,41,ISO-M-M
Sub041 ISO-M-L,41,ISO-M-L
Sub042 ISO-P-S,42,ISO-P-S
Sub042 ISO-M-S,42,ISO-M-S
Sub042 ISO-M-M,42,ISO-M-M
Sub042 ISO-M-L,42,ISO-M-L
Sub043 ISO-P-S,43,ISO-P-S
Sub043 ISO-M-S,43,ISO-M-S
Sub043 ISO-M-M,43,ISO-M-M
Sub043 ISO-M-L,43,ISO-M-L
Sub044 ISO-P-S,44,ISO-P-S
Sub044 ISO-M-S,44,ISO-M-S
Sub044 ISO-M-M,44,ISO-M-M
Sub044 ISO-M-L,44,ISO-M-L
Sub045 ISO-P-S,45,ISO-P-S
Sub045 ISO-M-S,45,ISO-M-S
Sub045 ISO-M-M,45,ISO-M-M
Sub045 ISO-M-L,45,ISO-M-L
Sub046 ISO-P-S,46,ISO-P-S
Sub046 ISO-M-S,46,ISO-M-S
Sub046 ISO-M-M,46,ISO-M-M
Sub046 ISO-M-L,46,ISO-M-L
Sub047 ISO-P-S,47,ISO-P-S
Sub047 ISO-M-S,47,ISO-M-S
Sub047 ISO-M-M,47,ISO-M-M
Sub047 ISO-M-L,47,ISO-M-L
Sub048 ISO-P-S,48,ISO-P-S
Sub048 ISO-M-S,48,ISO-M-S
Sub048 ISO-M-M,48,ISO-M-M
Sub048 ISO-M-L,48,ISO-M-L
Sub049 ISO-P-S,49,ISO-P-S
Sub049 ISO-M-S,49,ISO-M-S
Sub049 ISO-M-M,49,ISO-M-M
Sub049 ISO-M-L,49,ISO-M-L
Sub050 ISO-P-S,50,ISO-P-S
Sub050 ISO-M-S,50,ISO-M-S
Sub050 ISO-M-M,50,ISO-M-M
Sub050 ISO-M-L,50,ISO-M-L
Sub051 ISO-P-S,51,ISO-P-S
Sub051 ISO-M-S,51,ISO-M-S
Sub051 ISO-M-M,51,ISO-M-M
Sub051 ISO-M-L,51,ISO-M-L
Sub052 ISO-P-S,52,ISO-P-S
Sub052 ISO-M-S,52,ISO-M-S
Sub052 ISO-M-M,52,ISO-M-M
Sub052 ISO-M-L,52,ISO-M-L
Sub053 ISO-P-S,53,ISO-P-S
Sub053 ISO-M-S,53,ISO-M-S
Sub053 ISO-M-M,53,ISO-M-M
Sub053 ISO-M-L,53,ISO-M-L
Sub054 ISO-P-S,54,ISO-P-S
Sub054 ISO-M-S,54,ISO-M-S
Sub054 ISO-M-M,54,ISO-M-M
Sub054 ISO-M-L,54,ISO-M-L
Sub055 ISO-P-S,55,ISO-P-S
Sub055 ISO-M-S,55,ISO-M-S
Sub055 ISO-M-M,55,ISO-M-M
Sub055 ISO-M-L,55,ISO-M-L
Sub056 ISO-P-S,56,ISO-P-S
Sub056 ISO-M-S,56,ISO-M-S
Sub056 ISO-M-M,56,ISO-M-M
