Seed Label,Practice,subbasin,HRU
Sub077 ISO-M-M,ISO-M-M,77,0
Sub077 ISO-M-L,ISO-M-L,77,0
Sub078 ISO-P-S,ISO-P-S,78,0
Sub078 ISO-M-S,ISO-M-S,78,0
Sub078 ISO-M-M,ISO-M-M,78,0
Sub078 ISO-M-L,ISO-M-L,78,0
Sub079 ISO-P-S,ISO-P-S,79,0
Sub079 ISO-M-S,ISO-M-S,79,0
Sub079 ISO-M-M,ISO-M-M,79,0
Sub079 ISO-M-L,ISO-M-L,79,0
Sub080 ISO-P-S,ISO-P-S,80,0
Sub080 ISO-M-S,ISO-M-S,80,0
Sub080 ISO-M-M,ISO-M-M,80,0
Sub080 ISO-M-L,ISO-M-L,80,0
Sub081 ISO-P-S,ISO-P-S,81,0
Sub081 ISO-M-S,ISO-M-S,81,0
Sub081 ISO-M-M,ISO-M-M,81,0
Sub081 ISO-M-L,ISO-M-L,81,0
Sub082 ISO-P-S,ISO-P-S,82,0
Sub082 ISO-M-S,ISO-M-S,82,0
Sub082 ISO-M-M,ISO-M-M,82,0
Sub082 ISO-M-L,ISO-M-L,82,0
Sub083 ISO-P-S,ISO-P-S,83,0
Sub083 ISO-M-S,ISO-M-S,83,0
Sub083 ISO-M-M,ISO-M-M,83,0
Sub083 ISO-M-L,ISO-M-L,83,0
Sub084 ISO-P-S,ISO-P-S,84,0
Sub084 ISO-M-S,ISO-M-S,84,0
Sub084 ISO-M-M,ISO-M-M,84,0
Sub084 ISO-M-L,ISO-M-L,84,0
Sub085 ISO-P-S,ISO-P-S,85,0
Sub085 ISO-M-S,ISO-M-S,85,0
Sub085 ISO-M-M,ISO-M-M,85,0
Sub085 ISO-M-L,ISO-M-L,85,0
Sub086 ISO-P-S,ISO-P-S,86,0
Sub086 ISO-M-S,ISO-M-S,86,0
Sub086 ISO-M-M,ISO-M-M,86,0
Sub086 ISO-M-L,ISO-M-L,86,0
Sub087 ISO-P-S,ISO-P-S,87,0
Sub087 ISO-M-S,ISO-M-S,87,0
Sub087 ISO-M-M,ISO-M-M,87,0
Sub087 ISO-M-L,ISO-M-L,87,0
Sub088 ISO-P-S,ISO-P-S,88,0
Sub088 ISO-M-S,ISO-M-S,88,0
Sub088 ISO-M-M,ISO-M-M,88,0
Sub088 ISO-M-L,ISO-M-L,88,0
Sub089 ISO-P-S,ISO-P-S,89,0
Sub089 ISO-M-S,ISO-M-S,89,0
Sub089 ISO-M-M,ISO-M-M,89,0
Sub089 ISO-M-L,ISO-M-L,89,0
Sub090 ISO-P-S,ISO-P-S,90,0
Sub090 ISO-M-S,ISO-M-S,90,0
Sub090 ISO-M-M,ISO-M-M,90,0
Sub090 ISO-M-L,ISO-M-L,90,0
Sub091 ISO-P-S,ISO-P-S,91,0
Sub091 ISO-M-S,ISO-M-S,91,0
Sub091 ISO-M-M,ISO-M-M,91,0
Sub091 ISO-M-L,ISO-M-L,91,0
Sub092 ISO-P-S,ISO-P-S,92,0
Sub092 ISO-M-S,ISO-M-S,92,0
Sub092 ISO-M-M,ISO-M-M,92,0
Sub092 ISO-M-L,ISO-M-L,92,0
Sub093 ISO-P-S,ISO-P-S,93,0
Sub093 ISO-M-S,ISO-M-S,93,0
Sub093 ISO-M-M,ISO-M-M,93,0
Sub093 ISO-M-L,ISO-M-L,93,0
Sub094 ISO-P-S,ISO-P-S,94,0
Sub094 ISO-M-S,ISO-M-S,94,0
Sub094 ISO-M-M,ISO-M-M,94,0
Sub094 ISO-M-L,ISO-M-L,94,0
Sub095 ISO-P-S,ISO-P-S,95,0
Sub095 ISO-M-S,ISO-M-S,95,0
Sub095 ISO-M-M,ISO-M-M,95,0
Sub095 ISO-M-L,ISO-M-L,95,0
Sub096 ISO-P-S,ISO-P-S,96,0
Sub096 ISO-M-S,ISO-M-S,96,0
Sub096 ISO-M-M,ISO-M-M,96,0
Sub096 ISO-M-L,ISO-M-L,96,0
Sub097 ISO-P-S,ISO-P-S,97,0
Sub097 ISO-M-S,ISO-M-S,97,0
Sub097 ISO-M-M,ISO-M-M,97,0
Sub097 ISO-M-L,ISO-M-L,97,0
Sub098 ISO-P-S,ISO-P-S,98,0
Sub098 ISO-M-S,ISO-M-S,98,0
Sub098 ISO-M-M,ISO-M-M,98,0
Sub098 ISO-M-L,ISO-M-L,98,0
Sub099 ISO-P-S,ISO-P-S,99,0
Sub099 ISO-M-S,ISO-M-S,99,0
Sub099 ISO-M-M,ISO-M-M,99,0
Sub099 ISO-M-L,ISO-M-L,99,0
Sub100 ISO-P-S,ISO-P-S,100,0
Sub100 ISO-M-S,ISO-M-S,100,0
Sub100 ISO-M-M,ISO-M-M,100,0
Sub100 ISO-M-L,ISO-M-L,100,0
Sub101 ISO-P-S,ISO-P-S,101,0
Sub101 ISO-M-S,ISO-M-S,101,0
Sub101 ISO-M-M,ISO-M-M,101,0
Sub101 ISO-M-L,ISO-M-L,101,0
Sub102 ISO-P-S,ISO-P-S,102,0
Sub102 ISO-M-S,ISO-M-S,102,0
Sub102 ISO-M-M,ISO-M-M,102,0
Sub102 ISO-M-L,ISO-M-L,102,0
Sub103 ISO-P-S,ISO-P-S,103,0
Sub103 ISO-M-S,ISO-M-S,103,0
Sub103 ISO-M-M,ISO-M-M,103,0
Sub103 ISO-M-L,ISO-M-L,103,0
Sub104 ISO-P-S,ISO-P-S,104,0
Sub104 ISO-M-S,ISO-M-S,104,0
Sub104 ISO-M-M,ISO-M-M,104,0
Sub104 ISO-M-L,ISO-M-L,104,0
Sub105 ISO-P-S,ISO-P-S,105,0
Sub105 ISO-M-S,ISO-M-S,105,0
Sub105 ISO-M-M,ISO-M-M,105,0
Sub105 ISO-M-L,ISO-M-L,105,0
Sub106 ISO-P-S,ISO-P-S,106,0
Sub106 ISO-M-S,ISO-M-S,106,0
Sub106 ISO-M-M,ISO-M-M,106,0
Sub106 ISO-M-L,ISO-M-L,106,0
Sub107 ISO-P-S,ISO-P-S,107,0
Sub107 ISO-M-S,ISO-M-S,107,0
Sub107 ISO-M-M,ISO-M-M,107,0
Sub107 ISO-M-L,ISO-M-L,107,0
