AFMO_ID,River,Zone,HYDSB,SEDSB,SEDSB_R,Watershed,subwatersh,budget_rat,gag_loc_LES,zone_LES,TOPOWAT_LES,HYDSB_LES30SB,AFMO Leng(m),Hybrid DA [m2],NEAR_FID,DISt to NHD blueline (m),AREASYMBOL,MUSYM,MUKEY,WEI,FrmlndCls,DrainClass,FloodFCls,GravelSrc,HydrcRatng,hydrcRat_1,KfactRF,KfactWS,NirrCpCls,NirrCpScls,OrgMatter,PondFCls,Slope,SandSrc,SurfText,Tfactor,WEG,compname,Elev,ElevMin,ElevMax
4144,COB,2,37,488,484,Le Sueur,Little Cobb,Cobb Little Cobb,AB,2,LC,20,870.8835474,573355.1281,819,983.4343197,MN161,L82A,455431,86,Prime farmland if drained,Poorly drained,None,Poor,Partially Hydric,0.5,0.28,0.28,2,w,5.85,None,1.55,Poor,silty clay loam,5,4,Marna,318.0298496,308,328
10026,MAP,2,73,1087,1079,Blue Earth,Upper Maple,Map AB UG,AB,2,UM,29,712.0538986,572463.27,1607,0,MN043,140,397084,86,Prime farmland if drained,Poorly drained,None,Poor,All Hydric,1,0.28,0.28,2,w,6,None,1,Poor,silt loam,5,4L,Spicer,338.1516999,325,351
1030,LES,2,9,148,170,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,UL,9,713.7762183,570947.5479,1169,666.2199041,MN161,L81A,399456,48,Prime farmland if drained,Poorly drained,None,Poor,Partially Hydric,0.5,0.28,0.28,2,w,5.38,None,1.1,Poor,clay loam,5,6,Cordova,318.0620958,305,328
5888,COB,2,37,666,669,Le Sueur,Little Cobb,Cobb Little Cobb,AB,2,LC,20,869.15591,563950.1705,551,877.2568983,MN161,L112A,455468,48,Prime farmland if drained,Poorly drained,None,Poor,Partially Hydric,0.5,0.24,0.24,2,w,5.69,None,0.95,Poor,silty clay loam,5,6,Webster,340.9815674,334,350
520,LES,2,9,61,78,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,UL,9,640.4148401,526881.3175,451,5.959394069,MN161,L113B,455471,48,All areas are prime farmland,Well drained,None,Poor,Partially Hydric,0.5,0.24,0.24,2,e,3.98,None,2.5,Poor,loam,5,6,Reedslake,326.7072007,307,342
3218,LES,1,29,388,365,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,18,666.3878415,509933.1307,1375,0,MN161,L36A,433237,48,Prime farmland if drained,Somewhat poorly drained,None,Poor,Partially Hydric,0.5,0.28,0.28,2,w,4.68,None,1.6,Poor,loam,5,6,Hamel,352.2666582,335,376
1125,LES,2,9,170,169,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,LO,9,718.5726178,508179.8927,1169,704.7749595,MN013,113,396133,38,Prime farmland if drained,Poorly drained,None,Poor,All Hydric,0.5,0.28,0.28,2,w,5.5,None,2.916666667,Poor,silty clay loam,5,7,Webster,314.5027855,295,325
2422,LES,2,14,286,301,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,18,643.9858197,493577.0474,892,93.51221422,MN161,L125A,455485,86,Prime farmland if protected from flooding or not frequently flooded during the growing season,Moderately well drained,Rare,Poor,Partially Hydric,0.5,0.2,0.2,2,s,3.6,None,1.9,Poor,fine sandy loam,5,3,Hanlon,334.4460044,317,349
3903,COB,2,33,426,425,Le Sueur,Little Cobb,Cobb Little Cobb,AB,2,LC,17,645.486422,489658.2238,468,453.8082,MN161,L82A,455431,86,Prime farmland if drained,Poorly drained,None,Poor,Partially Hydric,0.6666667,0.28,0.28,2,w,5.85,None,1.033333333,Poor,silty clay loam,5,4,Marna,323.4943132,311,330
4495,LES,1,30,536,497,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,1224.39518,487572.5273,401,2.599863519,MN147,Gc,428234,48,Prime farmland if drained,Very poorly drained,None,Poor,All Hydric,1,0.28,0.28,3,w,7.5,Frequent,1,Poor,clay loam,5,6,Glencoe,377.6564011,356,399
