ICMO_ID,River,Zone,HYDSB,SEDSB,SEDSB_R,Watershed,subwatersh,budget_rat,gag_loc_LES,zone_LES,TOPOWAT_LES,HYDSB_LES30SB,L[m],max_flowacc,mean_flowlen,MAJOR_NAME,MINOR5,DITCH_NAME,DITCH_TYPE,COUNTY,Elev,ElevMin,ElevMax
1281,MAP,2,52,656,657,Le Sueur,Upper Maple,Map AB UG,AB,2,UM,23,1657.696349,67261,65089.01172,LeSueur River,32056,JD49,PUBLIC DITCH OPEN,BLUE EARTH,312.2826348,304,329
1280,MAP,2,52,648,656,Blue Earth,Upper Maple,Map AB UG,AB,2,UM,23,882.3579588,64493,66382.17188,LeSueur River,32056,JD49,PUBLIC DITCH OPEN,BLUE EARTH,312.1484394,304,319
1453,MAP,1,72,1044,1042,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,30,3783.649317,58571,111536.8203,LeSueur River,32050,CD3,PUBLIC DITCH OPEN,FARIBAULT,318.7435897,316,323
1455,MAP,1,72,1044,1042,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,30,413.4393668,58561,109709.6875,LeSueur River,32046,CD20,PUBLIC DITCH OPEN,FARIBAULT,318.7435897,316,323
1299,MAP,1,72,1046,1044,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,30,536.9914255,55342,110233.7344,LeSueur River,32046,CD20,PUBLIC DITCH OPEN,FARIBAULT,320.8790937,316,336
1298,MAP,1,72,1046,1044,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,30,140.9468606,55333,110582.9922,LeSueur River,32046,CD20,PUBLIC DITCH OPEN,FARIBAULT,320.8790937,316,336
1297,MAP,1,72,1046,1044,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,30,22.01671489,55277,110669.4766,LeSueur River,32046,CD20,PUBLIC DITCH OPEN,FARIBAULT,320.8790937,316,336
1319,MAP,1,72,1046,1044,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,30,360.4021989,55257,110857.0547,LeSueur River,32046,CD20,PUBLIC DITCH OPEN,FARIBAULT,320.8790937,316,336
1249,MAP,2,50,732,692,Le Sueur,Upper Maple,Map AB UG,AB,2,UM,25,699.2140492,55118,85540.69531,LeSueur River,32058,CD95,PUBLIC DITCH OPEN,FARIBAULT-BLUE EARTH,312.1667806,302,320
1279,MAP,2,52,684,648,Le Sueur,Upper Maple,Map AB UG,AB,2,UM,23,1170.524341,51249,67136.53906,LeSueur River,32056,JD49,PUBLIC DITCH OPEN,BLUE EARTH,308.5231376,304,318
1327,MAP,1,68,908,907,Le Sueur,Upper Maple,Cobb Upper Cobb,AB,1,MC,28,987.5574971,48104,113482.6484,LeSueur River,32041,CD85,PUBLIC DITCH OPEN,FARIBAULT,324.6009921,318,329
947,LES,1,45,850,823,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,2058.72187,44855,157471.2969,LeSueur River,32024,CD46,PUBLIC DITCH OPEN,FREEBORN,387.2643464,377,399
1328,MAP,1,68,875,908,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,28,2801.421809,44273,115753.2969,LeSueur River,32041,CD86,PUBLIC DITCH OPEN,FARIBAULT,326.1193982,323,329
