GeneID,MOsID,MOs,SedRed,Duck,Cost,sedbcr,duckbcr,SB574,HydroSB,Zone,watershed,coords_x1,coords_x2,ld0.0,ld0.1,ld0.2,ld0.3,ld0.4,ld0.5,ld0.6,ld0.7,ld0.8,ld0.9,ld1.0
24,43,TLMO,0.3113,0,393.8921,0.790317958,0,10,1,3,LES,166833.3711,2359005.979,0,0.079031796,0.158063592,0.237095387,0.316127183,0.395158979,0.474190775,0.55322257,0.632254366,0.711286162,0.790317958
25,47,TLMO,0.022,0,27.7551,0.792647117,0,10,1,3,LES,166201.2817,2358880.885,0,0.079264712,0.158529423,0.237794135,0.317058847,0.396323559,0.47558827,0.554852982,0.634117694,0.713382405,0.792647117
26,48,TLMO,0.0054,0,39.3463,0.137242892,0,13,1,3,LES,165811.8039,2358830.874,0,0.013724289,0.027448578,0.041172868,0.054897157,0.068621446,0.082345735,0.096070024,0.109794314,0.123518603,0.137242892
27,49,TLMO,0.0367,0,46.4482,0.790127497,0,10,1,3,LES,167039.503,2358846.66,0,0.07901275,0.158025499,0.237038249,0.316050999,0.395063748,0.474076498,0.553089248,0.632101997,0.711114747,0.790127497
28,50,TLMO,0.0002,0,3.3359,0.059953836,0,9,1,3,LES,175160.0908,2358802.162,0,0.005995384,0.011990767,0.017986151,0.023981534,0.029976918,0.035972301,0.041967685,0.047963068,0.053958452,0.059953836
29,51,TLMO,0.0098,0,170.5348,0.057466277,0,9,1,3,LES,175162.5203,2358910.132,0,0.005746628,0.011493255,0.017239883,0.022986511,0.028733138,0.034479766,0.040226394,0.045973021,0.051719649,0.057466277
30,54,TLMO,0.0792,0,53.9874,1.467008969,0,6,9,2,LES,183734.1144,2358844.249,0,0.146700897,0.293401794,0.440102691,0.586803588,0.733504484,0.880205381,1.026906278,1.173607175,1.320308072,1.467008969
31,57,TLMO,0.8862,0,134.2909,6.599106864,0,3,1,3,LES,176126.2251,2358979.094,0,0.659910686,1.319821373,1.979732059,2.639642746,3.299553432,3.959464119,4.619374805,5.279285491,5.939196178,6.599106864
32,58,TLMO,0.0113,0,197.7524,0.057142164,0,9,1,3,LES,175946.5341,2358884.867,0,0.005714216,0.011428433,0.017142649,0.022856865,0.028571082,0.034285298,0.039999515,0.045713731,0.051427947,0.057142164
33,72,TLMO,0.4829,0,1020.7112,0.4731015,0,4,1,3,LES,177321.2057,2359140.167,0,0.04731015,0.0946203,0.14193045,0.1892406,0.23655075,0.2838609,0.33117105,0.3784812,0.42579135,0.4731015
