SB574,NEAR_FID,DISTANCE
64,2,18265.85853040000
64,3,32704.07513580000
65,0,18646.64265890000
65,4,17256.76729040000
65,1,17614.22976130000
65,2,17520.11582210000
65,3,2587.52506639000
66,0,18843.61696000000
66,4,15684.95953520000
66,1,15923.79746140000
66,2,15112.44587670000
66,3,864.87851954200
67,0,21869.63025770000
67,4,13244.63776690000
67,1,12917.75733050000
67,2,7848.63244129000
67,3,7696.38497637000
68,0,21688.03646850000
68,4,12110.39362090000
68,1,11678.01202420000
68,2,6192.09945908000
68,3,9160.40476197000
69,0,33465.73853180000
69,4,20062.20979810000
69,1,18960.24656380000
69,2,10482.93426860000
69,3,25096.75378490000
70,0,25370.06913670000
70,4,13745.84653240000
70,1,12953.01780500000
70,2,3035.53593245000
70,3,14052.21192020000
71,0,23402.43097960000
71,4,12615.98794560000
71,1,11978.88614110000
71,2,4101.32165560000
71,3,11616.20194270000
72,0,16601.54276750000
72,4,14262.89366920000
72,1,14630.14123420000
72,2,15315.36976380000
72,3,3098.45255216000
73,0,20345.13717820000
73,4,11975.57301770000
73,1,11728.10236050000
73,2,8028.02427183000
73,3,7252.09415858000
74,0,37012.67749210000
74,4,23447.80332350000
74,1,22321.87286060000
74,2,14907.24954540000
74,3,29756.42171490000
75,0,32827.71802170000
75,4,19350.09479630000
75,1,18237.47835840000
75,2,10278.07785960000
75,3,25181.42205480000
76,0,20301.74221980000
76,4,13049.00730700000
76,1,12914.72337940000
76,2,9689.90179261000
76,3,5601.38242379000
77,0,23679.13922920000
77,4,11807.77513220000
77,1,11001.34692360000
77,2,1617.48838120000
77,3,13835.58254620000
78,0,19412.81497510000
78,4,11305.88202900000
78,1,11123.86194990000
78,2,8377.15885587000
78,3,7021.38108671000
79,0,18071.22846720000
79,4,13972.82744750000
79,1,14175.25462670000
79,2,13527.56720710000
79,3,2413.29821855000
80,0,27030.43780790000
80,4,14592.67873730000
80,1,13658.07758400000
80,2,3187.34355815000
80,3,16850.53840590000
81,0,19491.02314140000
81,4,13484.53981020000
81,1,13490.24489110000
81,2,11314.99437370000
81,3,3977.39458624000
82,0,28468.31554080000
82,4,15440.83631640000
82,1,14404.89799180000
82,2,4900.58629270000
82,3,19593.42996970000
83,0,18398.12409040000
83,4,11297.17639920000
83,1,11256.74715530000
83,2,9684.82904683000
83,3,5986.25995375000
84,0,23984.86576000000
84,4,11539.43204810000
84,1,10631.65226960000
84,2,107.16263409100
84,3,15296.48340020000
85,0,41304.20887510000
85,4,27741.14250190000
85,1,26615.23990820000
85,2,20022.52748030000
85,3,34989.00234680000
86,0,44562.43847140000
86,4,30998.96737120000
86,1,29872.93321840000
86,2,23083.42259140000
86,3,37890.56013630000
87,0,25700.57323320000
87,4,12755.48635020000
87,1,11745.11408860000
87,2,2380.44408601000
87,3,17606.98477050000
88,0,31935.36739590000
88,4,18427.91111930000
88,1,17311.07331520000
88,2,9711.03256869000
88,3,24783.09902950000
89,0,35372.84336500000
89,4,21793.28253320000
89,1,20665.28979350000
89,2,14013.64662690000
89,3,29144.12857960000
90,0,17335.11841270000
90,4,12435.80774610000
90,1,12615.01926720000
90,2,12311.68290420000
90,3,3974.57313032000
91,0,18677.07464870000
91,4,9991.56706413000
91,1,9785.18426156000
91,2,7728.05843237000
91,3,8063.08218495000
92,0,20653.72500920000
92,4,10457.55077800000
92,1,9980.57990153000
92,2,5288.86441107000
92,3,10072.43554540000
93,0,17546.28392230000
93,4,11611.41401140000
93,1,11707.04319980000
93,2,11075.46500760000
93,3,5008.45761843000
94,0,24346.43406270000
94,4,11411.15700400000
94,1,10411.05495200000
94,2,1681.47065954000
94,3,16861.36981210000
95,0,31388.56953520000
95,4,17947.02267910000
95,1,16840.58215540000
95,2,8791.65824621000
95,3,23775.55407600000
96,0,29453.81874540000
96,4,15874.24893290000
96,1,14746.25909170000
96,2,9135.00769449000
96,3,24388.52504250000
97,0,43527.35042800000
97,4,30043.42954890000
97,1,28927.31787110000
97,2,23008.90722910000
97,3,38102.29768990000
98,0,45879.51625440000
98,4,32388.78153390000
98,1,31271.54199840000
98,2,25161.67422440000
98,3,40165.25544700000
99,0,15756.66784450000
99,4,11973.05470790000
99,1,12298.09365250000
99,2,13353.69421540000
99,3,4632.01519052000
100,0,26130.26143740000
100,4,12856.16925020000
100,1,11785.10423030000
100,2,3890.23700736000
100,3,19164.68924190000
101,0,28888.26653650000
101,4,15449.11115780000
101,1,14344.81294800000
101,2,6707.15176193000
101,3,21937.32549450000
102,0,32088.61821630000
102,4,18514.88999960000
102,1,17387.81867790000
102,2,10773.39296530000
102,3,26005.26751320000
103,0,19094.52537660000
103,4,8836.85282171000
103,1,8419.65521899000
103,2,5845.46406591000
103,3,10256.89241520000
104,0,14453.10860440000
104,4,12859.24986570000
104,1,13354.72448060000
104,2,15518.42850210000
104,3,5253.07823105000
105,0,43481.08533170000
105,4,30071.80033610000
105,1,28964.97120240000
105,2,23527.94932240000
105,3,38711.74261440000
106,0,45714.46954050000
106,4,32329.11978600000
106,1,31224.67989280000
106,2,25768.10366500000
106,3,40922.61940660000
107,0,21482.41771100000
107,4,10236.44336040000
107,1,9578.84982593000
107,2,3428.82039066000
107,3,11960.55749840000
108,0,22168.86942240000
108,4,10008.77678290000
108,1,9179.94866121000
108,2,1791.53236033000
108,3,13945.30965440000
109,0,17398.65937990000
109,4,7211.38763358000
109,1,6912.10200877000
109,2,6973.49506207000
109,3,10588.32941340000
110,0,43380.44599820000
110,4,29991.42378440000
110,1,28887.13593610000
110,2,23569.16231040000
110,3,38771.22981230000
111,0,16138.50943910000
111,4,10074.24963190000
111,1,10241.51342470000
111,2,10932.95396180000
111,3,6346.85258067000
112,0,31746.18872650000
112,4,18187.36219630000
112,1,17062.53035610000
112,2,11722.77374090000
112,3,26996.56015840000
113,0,30623.56323490000
113,4,17059.45756080000
113,1,15933.89388860000
113,2,10749.76564920000
113,3,26001.17013080000
114,0,33192.03256360000
114,4,19627.86058930000
114,1,18502.12393590000
114,2,12772.13610970000
114,3,28045.88511960000
115,0,26011.83743190000
115,4,12542.80649490000
115,1,11435.88626150000
115,2,5114.51879791000
115,3,20250.93138870000
116,0,38247.58399870000
116,4,24715.29982400000
116,1,23593.61371640000
116,2,17671.88240800000
116,3,32858.31091560000
117,0,39268.30687330000
117,4,25823.11118300000
117,1,24712.78187310000
117,2,19415.92167360000
117,3,34661.54948100000
118,0,27524.05912560000
118,4,13953.72023320000
118,1,12827.40883980000
118,2,7335.00081363000
118,3,22498.28879940000
119,0,18416.31428500000
119,4,6915.34568538000
119,1,6341.83047180000
119,2,5531.16379315000
119,3,12277.83576900000
120,0,15769.69415660000
120,4,7527.95073098000
120,1,7570.97041563000
120,2,9186.26607102000
120,3,9086.89967268000
121,0,45212.62712320000
121,4,31929.72543770000
121,1,30837.84719690000
121,2,25895.48345880000
121,3,41127.09472390000
122,0,24503.64650210000
122,4,11024.55188610000
122,1,9917.36852398000
122,2,4724.86087804000
122,3,19418.67346790000
123,0,20001.07622080000
123,4,7837.18737018000
123,1,7063.31304182000
123,2,3887.52359280000
123,3,13484.53110740000
124,0,20910.78424370000
124,4,7792.18693965000
124,1,6784.87524671000
124,2,3984.31801065000
124,3,16031.71787520000
125,0,22989.81372090000
125,4,9700.27154482000
125,1,8637.26879188000
125,2,3444.80038233000
125,3,17531.84906780000
126,0,32783.89996629990
126,4,19309.25869960000
126,1,18196.89742930000
126,2,13620.61780570000
126,3,28867.84166930000
127,0,22084.55049700000
127,4,8566.50122444000
127,1,7453.79569328000
127,2,5273.68744157000
127,3,18435.29423300000
128,0,35121.56345840000
128,4,21633.86668510000
128,1,20518.86375110000
128,2,15417.32750940000
128,3,30696.56401600000
129,0,42285.33409950000
129,4,28942.74276430000
129,1,27844.60197360000
129,2,22851.14658920000
129,3,38098.43128720000
130,0,40838.08169620000
130,4,27442.18885350000
130,1,26337.79095710000
130,2,21191.15998010000
130,3,36436.17928410000
131,0,36841.62710880000
131,4,23422.05915930000
131,1,22315.94480720000
131,2,17467.85190800000
131,3,32747.09036730000
132,0,47413.60238850000
132,4,34212.03220720000
132,1,33129.01380090000
132,2,28369.44992840000
132,3,43606.02576980000
133,0,48476.89699120000
133,4,35429.99131680000
133,1,34364.61214900000
133,2,30073.79630890000
133,3,45341.51154080000
134,0,35409.98470710000
134,4,22099.42834710000
134,1,21009.11609460000
134,2,16982.06748810000
134,3,32222.86768350000
135,0,13429.77311060000
135,4,6543.99977754000
135,1,6928.00739790000
135,2,11136.03352870000
135,3,9919.63899531000
136,0,36125.85391680000
136,4,22858.35157140000
136,1,21773.42644790000
136,2,17839.44196430000
136,3,33080.86776710000
137,0,38471.60959100000
137,4,25214.82090250000
137,1,24129.62464180000
137,2,19922.38044530000
137,3,35195.74885320000
138,0,18359.63045550000
138,4,5325.18933328000
138,1,4393.99559026000
138,2,6130.72556012000
138,3,15179.26093900000
139,0,37216.14124100000
139,4,23938.77308030000
139,1,22851.69925900000
139,2,18714.13614180000
139,3,33978.26839830000
140,0,37181.30069830000
140,4,23985.65927610000
140,1,22909.56476660000
140,2,19131.86369420000
140,3,34371.48596380000
141,0,12140.54399830000
141,4,7664.48883167000
141,1,8244.94498370000
141,2,12938.23977480000
141,3,9473.61635162000
142,0,13201.61485540000
142,4,8806.55452880000
142,1,9280.12628970000
142,2,12750.64490040000
142,3,8060.80595587000
143,0,41135.86930990000
143,4,27981.47549650000
143,1,26907.61957170000
143,2,22820.83714470000
143,3,38097.98667010000
144,0,33811.21334410000
144,4,20489.65338990000
144,1,19399.03448420000
144,2,15600.27331550000
144,3,30794.22980600000
145,0,45363.69972200000
145,4,32272.97462470000
145,1,31204.19067210000
145,2,26979.29193300000
145,3,42256.13014410000
146,0,21495.05700920000
146,4,17821.24995530000
146,1,17950.22459500000
146,2,15661.42765180000
146,3,1799.38460230000
147,0,19823.76015570000
147,4,18405.00125040000
147,1,18731.00273540000
147,2,18132.86069540000
147,3,2869.05249014000
148,0,18435.35342860000
148,4,17972.22202670000
148,1,18390.50641610000
148,2,18721.95484330000
148,3,3842.98363549000
149,0,15348.02225840000
149,4,14465.33199650000
149,1,14955.46858380000
149,2,16657.25434430000
149,3,4540.08288844000
150,0,12531.50372810000
150,4,13012.58721710000
150,1,13673.01778140000
150,2,17201.18960420000
150,3,7262.54435566000
151,0,9797.22102243000
151,4,11790.17236170000
151,1,12616.73593300000
151,2,17873.95530740000
151,3,9921.74310250000
152,0,28981.34259640000
152,4,15517.97090300000
152,1,14409.32799360000
152,2,10960.14531130000
152,3,25918.58729890000
153,0,16346.27496270000
153,4,4848.35344812000
153,1,4456.37799246000
153,2,7543.49648834000
153,3,12728.82676860000
154,0,42741.14925590000
154,4,29671.11779310000
154,1,28606.60593610000
154,2,24667.50306650000
154,3,39944.20134250000
155,0,14476.18760450000
155,4,5256.80877197000
155,1,5396.17852001000
155,2,9580.55493232000
155,3,11191.58484420000
156,0,14157.68646060000
156,4,3749.57293047000
156,1,3895.14210858000
156,2,9731.63807144000
156,3,12701.22543460000
157,0,39074.33340580000
157,4,25994.53260060000
157,1,24931.89575320000
157,2,21345.26994440000
157,3,36586.00431110000
158,0,15635.61874180000
158,4,2922.74101739000
158,1,2353.20148749000
158,2,8641.45919167000
158,3,14627.49769950000
159,0,32730.44764360000
159,4,19648.51964100000
159,1,18593.76874600000
159,2,16060.12112540000
159,3,31023.19651530000
160,0,13117.92152230000
160,4,3476.17490438000
160,1,3922.73022010000
160,2,10774.41907910000
160,3,12937.71457040000
161,0,44171.28512040000
161,4,31280.57905130000
161,1,30236.71223990000
161,2,26733.11687620000
161,3,41996.28769550000
162,0,45964.56052170000
162,4,33002.16818580000
162,1,31948.29413380000
162,2,28089.41740460000
162,3,43368.40298790000
163,0,11613.80688050000
163,4,6421.67029813000
163,1,7075.03542647000
163,2,12790.72048900000
163,3,10769.08220880000
164,0,23301.65710790000
164,4,9741.33162162000
164,1,8617.61036901000
164,2,7303.65124498000
164,3,20872.41383030000
165,0,11386.01311310000
165,4,5105.46017277000
165,1,5835.86319563000
165,2,12605.35213200000
165,3,12076.25959640000
166,0,19684.77621930000
166,4,6109.09316998000
166,1,4982.41366303000
166,2,7054.47914583000
166,3,18065.26683890000
167,0,11082.45430560000
167,4,10993.00569880000
167,1,11716.77451680000
167,2,16276.13801540000
167,3,8668.17742854000
168,0,9217.46108510000
168,4,7383.88914013000
168,1,8281.85745298000
168,2,15180.62628280000
168,3,11939.42664560000
169,0,39152.08592380000
169,4,26278.08098980000
169,1,25241.73564250000
169,2,22308.25269290000
169,3,37478.41162320000
170,0,35950.90740920000
170,4,23003.37378770000
170,1,21962.01004870000
170,2,19264.75861520000
170,3,34346.64107300000
171,0,8937.84288806000
171,4,6003.34571940000
171,1,6999.42527478000
171,2,14987.42995810000
171,3,13460.28768270000
172,0,25078.57507250000
172,4,11671.51446270000
172,1,10577.51413030000
172,2,9411.31797049000
172,3,23383.41487540000
173,0,7793.63115056999
173,4,10594.21509570000
173,1,11537.43687900000
173,2,18099.76365540000
173,3,11942.00164580000
174,0,8605.48826060000
174,4,9176.92377479000
174,1,10082.51240080000
174,2,16590.12255460000
174,3,11513.45985250000
175,0,11700.17926060000
175,4,4014.65152737000
175,1,4762.25784044000
175,2,12188.76099050000
175,3,12949.95862240000
176,0,44655.50605980000
176,4,31941.88091490000
176,1,30918.70127270000
176,2,27858.47017130000
176,3,43090.21223740000
177,0,25038.97506760000
177,4,11812.89558890000
177,1,10753.75719420000
177,2,10524.55611020000
177,3,24230.14805390000
178,0,27426.04577200000
178,4,14236.72906840000
178,1,13176.64939520000
178,2,11888.32958170000
178,3,26215.03398250000
179,0,7545.28411331000
179,4,11185.42133030000
179,1,12139.80589260000
179,2,18711.13611600000
179,3,12154.67085500000
180,0,46341.40585400000
180,4,33540.42625190000
180,1,32505.29864280000
180,2,29079.13390660000
180,3,44345.09876710000
181,0,45648.84468720000
181,4,33027.28142490000
181,1,32013.88361780000
181,2,29102.86131080000
181,3,44325.35124930000
182,0,42285.44315840000
182,4,29609.67427820000
182,1,28593.84236160000
182,2,25851.48818490000
182,3,41029.18596080000
183,0,51494.40136490000
183,4,38806.00316930000
183,1,37779.66324690000
183,2,34309.42898060000
183,3,49586.33862410000
184,0,46921.11663870000
184,4,34471.50468630000
184,1,33476.62609870000
184,2,30868.55494390000
184,3,46063.56070650000
185,0,47815.61153180000
185,4,35253.16895170000
185,1,34244.33420570000
185,2,31310.84961380000
185,3,46546.44649360000
186,0,20705.24612530000
186,4,7333.91229133000
186,1,6263.44811207000
186,2,8961.01490941000
186,3,20617.34550650000
187,0,44428.94746020000
187,4,31863.10763810000
187,1,30857.70187070000
187,2,28184.84026060000
187,3,43371.20094650000
188,0,12680.53926400000
188,4,1664.54032254000
188,1,2497.19417767000
188,2,11584.59577810000
188,3,14925.39029730000
189,0,24718.14172130000
189,4,11727.39669770000
189,1,10713.92614310000
189,2,11487.62513630000
189,3,24828.25900440000
190,0,30595.58639290000
190,4,17665.63907590000
190,1,16637.97468380000
190,2,15170.01808370000
190,3,29785.06993570000
191,0,34196.06587450000
191,4,21342.07303670000
191,1,20316.60132810000
191,2,18225.07727410000
191,3,33143.02059650000
192,0,49918.25877390000
192,4,37449.74402470000
192,1,36449.49061720000
192,2,33589.95670950000
192,3,48827.33424520000
193,0,22793.78710450000
193,4,9722.83464805000
193,1,8707.12321629000
193,2,10515.01503620000
193,3,23132.14385510000
194,0,54894.15425080000
194,4,42456.86225050000
194,1,41455.72939900000
194,2,38386.62015200000
194,3,53652.71803870000
195,0,32449.63503520000
195,4,19768.11867280000
195,1,18771.03325750000
195,2,17537.73766950000
195,3,32178.25599190000
196,0,27532.73703519990
196,4,14643.12679700000
196,1,13632.56077460000
196,2,13336.62154200000
196,3,27379.92776570000
197,0,24013.94611630000
197,4,11192.29512450000
197,1,10215.43648380000
197,2,11852.93414850000
197,3,24780.23215500000
198,0,16680.39770490000
198,4,3100.81557137000
198,1,1972.83225346000
198,2,9047.09723271000
198,3,17103.58651020000
199,0,13772.63538000000
199,4,822.71434013700
199,1,1251.35500265000
199,2,11775.43324790000
199,3,17205.79168990000
200,0,24813.85040400000
200,4,12122.90836590000
200,1,11162.86833420000
200,2,12650.95353320000
200,3,25758.02950370000
201,0,15599.01603690000
201,4,2611.69782124000
201,1,1939.90628687000
201,2,11156.06522790000
201,3,18489.97376040000
202,0,41167.08448740000
202,4,28763.82023330000
202,1,27782.76230600000
202,2,25812.35289050000
202,3,40846.95392850000
203,0,51915.35048980000
203,4,39667.88800830000
203,1,38690.26091599990
203,2,36179.78250650000
203,3,51388.28640720000
204,0,12864.74376190000
204,4,714.91297053700
204,1,1842.87633793000
204,2,12023.28578230000
204,3,16286.79188000000
205,0,6472.38838313000
205,4,13110.37861510000
205,1,14116.56096900000
205,2,20987.55797320000
205,3,13623.22134100000
206,0,6171.09552809000
206,4,10370.32350660000
206,1,11397.76229710000
206,2,18862.89281250000
206,3,13631.16336750000
207,0,6668.48763639000
207,4,8697.57320881000
207,1,9738.17723140000
207,2,17593.99130410000
207,3,13819.63198260000
208,0,14085.13701100000
208,4,2154.90303791000
208,1,2266.58318339000
208,2,12510.82419800000
208,3,18539.26485240000
209,0,45979.23801359990
209,4,33728.62179280000
209,1,32757.87671690000
209,2,30653.84817470000
209,3,45765.68900090000
210,0,26269.16447600000
210,4,13832.42242620000
210,1,12903.07385250000
210,2,14236.51886110000
210,3,27578.85796490000
211,0,27797.34930650000
211,4,15756.30860280000
211,1,14875.40289940000
211,2,16360.37480190000
211,3,29775.44463090000
212,0,18710.12122580000
212,4,5794.90367133000
212,1,4886.50995940000
212,2,10663.80962860000
212,3,20673.43330520000
213,0,49232.53343200000
213,4,37041.77318280000
213,1,36073.48364099990
213,2,33847.63694310000
213,3,49003.16803220000
214,0,4735.20861763000
214,4,15127.48874140000
214,1,16204.41135330000
214,2,23869.14240300000
214,3,16655.53767970000
215,0,29935.88018269990
215,4,17493.99110110000
215,1,16540.87088710000
215,2,16550.66615060000
215,3,30674.19082580000
216,0,37515.67049200000
216,4,25086.21133620000
216,1,24109.31958250000
216,2,22551.14721510000
216,3,37430.24659490000
217,0,33253.97383300000
217,4,20862.58269600000
217,1,19902.82529570000
217,2,19191.25744920000
217,3,33711.36377390000
218,0,34173.39070380000
218,4,21812.57633200000
218,1,20853.79965940000
218,2,20021.64985730000
218,3,34611.36196130000
219,0,22434.67351480000
219,4,9805.65862736000
219,1,8883.31457035000
219,2,11930.51005670000
219,3,24040.56833180000
220,0,11504.90099760000
220,4,2413.27989264000
220,1,3449.87495610000
220,2,13833.08274700000
220,3,17345.17991550000
221,0,38487.58668840000
221,4,26349.86088440000
221,1,25407.03092190000
221,2,24335.03516920000
221,3,39108.09862160000
222,0,3506.68617688000
222,4,14339.90367600000
222,1,15436.53855060000
222,2,23509.90690370000
222,3,17162.76649200000
223,0,9447.55506239000
223,4,4176.74228918000
223,1,5298.19477465000
223,2,14817.92489220000
223,3,15800.33357500000
224,0,5300.64935421000
224,4,11893.50809180000
224,1,12940.92033820000
224,2,20459.45636440000
224,3,14427.49902230000
225,0,34744.71449360000
225,4,22587.88204020000
225,1,21653.91995580000
225,2,21142.48625820000
225,3,35651.57093020000
226,0,35470.25543340000
226,4,23318.69293930000
226,1,22382.93847100000
226,2,21751.47061360000
226,3,36320.52350340000
227,0,33832.46448670000
227,4,21690.92823420000
227,1,20762.32495100000
227,2,20457.50943670000
227,3,34868.48154770000
228,0,12415.85309460000
228,4,2976.80155492000
228,1,3657.80445085000
228,2,14160.52771470000
228,3,18839.00819230000
229,0,33188.91418750000
229,4,21066.46296290000
229,1,20142.95800390000
229,2,20008.50137030000
229,3,34338.07666840000
230,0,37714.58194890000
230,4,25725.74383920000
230,1,24803.40193990000
230,2,24132.20665320000
230,3,38771.48675650000
231,0,12810.53452560000
231,4,4506.07965506000
231,1,4994.44335174000
231,2,15309.22541920000
231,3,20480.28914480000
232,0,58322.02776050000
232,4,46213.65759110000
232,1,45245.14435670000
232,2,42684.61079140000
232,3,57919.69188650000
233,0,5965.04533440000
233,4,7761.17732090000
