GeneID,MOs,MOsID,SED_B,SED_BCR_x,Duck_BCR_x,FID_1,Subbasin,SED_BCR_y,Duck_BCR_y,Zone,coords_x1,coords_x2,SB574,HydroSB,Zone_1,watershed,Subbasin.1,800001,800002,800003,800004,800005,800006,800007,800008
43,TLMO,102,0.473,2.057980221,0,469,1,2.06,0,3,172555.219,2358141.47,22,1,3,LES,0,1,1,1,1,1,1,1,1
44,TLMO,105,0.004,1.031725565,0,3443,9,1.03,0,2,181481.8486,2357902.162,8,1,2,LES,0,1,1,1,1,1,1,1,1
45,TLMO,106,0.004,1.199040772,0,3444,9,1.2,0,2,181670.0908,2357872.162,8,1,2,LES,0,1,1,1,1,1,1,1,1
46,TLMO,107,0.52,0.406028588,0,3445,9,0.41,0,2,178219.1412,2358687.549,8,1,2,LES,0,1,1,1,1,1,1,1,1
47,TLMO,108,2.854,0.983522382,0,3446,9,0.98,0,2,178712.7888,2358462.292,8,1,2,LES,0,1,1,1,1,1,1,1,1
48,TLMO,109,0.419,2.093796067,0,3447,9,2.09,0,2,179244.0845,2357985.05,15,1,2,LES,0,1,1,1,1,1,1,1,1
49,TLMO,110,1.222,1.187703863,0,3448,9,1.19,0,2,189400.359,2358190.841,5,9,2,LES,0,1,1,1,1,1,1,1,1
50,TLMO,112,0.011,0.43554007,0,472,1,0.44,0,3,176728.7007,2357824.681,4,1,3,LES,0,1,1,1,1,1,1,1,1
51,TLMO,113,0.089,1.188536631,0,3450,9,1.19,0,2,188110.288,2357804.74,5,9,2,LES,0,1,1,1,1,1,1,1,1
52,TLMO,115,0.122,1.260786441,0,3451,9,1.26,0,2,183759.9285,2357900.003,6,9,2,LES,0,1,1,1,1,1,1,1,1
53,TLMO,116,0.064,1.559796252,0,3452,9,1.56,0,2,183724.5509,2357774.195,17,9,2,LES,0,1,1,1,1,1,1,1,1
54,TLMO,117,0.008,1.199040768,0,3453,9,1.2,0,2,190415.0908,2357692.162,5,9,2,LES,0,1,1,1,1,1,1,1,1
55,TLMO,118,0.003,1.313485125,0,474,1,1.31,0,3,169640.7061,2357661.547,2,1,3,LES,0,1,1,1,1,1,1,1,1
56,TLMO,119,0.016,2.161870018,0,475,1,2.16,0,3,173254.491,2357640.892,22,1,3,LES,0,1,1,1,1,1,1,1,1
57,TLMO,120,1.869,1.256659826,0,3454,9,1.26,0,2,183048.6557,2357959.606,6,9,2,LES,0,1,1,1,1,1,1,1,1
58,TLMO,122,0.625,1.545923832,0,3456,9,1.55,0,2,183200.152,2357700.423,17,9,2,LES,0,1,1,1,1,1,1,1,1
59,TLMO,125,0.055,1.19399097,0,3457,9,1.19,0,2,188145.8376,2357670.092,5,9,2,LES,0,1,1,1,1,1,1,1,1
60,TLMO,126,0.218,2.620538773,0,3458,9,2.62,0,2,188148.9867,2357545.124,14,9,2,LES,0,1,1,1,1,1,1,1,1
61,TLMO,127,0.475,0.406167938,0,478,1,0.41,0,3,177018.7036,2357744.797,4,1,3,LES,0,1,1,1,1,1,1,1,1
62,TLMO,128,0.003,0.066079296,0,479,1,0.07,0,3,176774.2342,2357448.574,9,1,3,LES,0,1,1,1,1,1,1,1,1
63,TLMO,129,0.097,1.195700409,0,3459,9,1.2,0,2,188462.5417,2357598.154,5,9,2,LES,0,1,1,1,1,1,1,1,1
64,TLMO,130,0.376,2.61874913,0,3460,9,2.62,0,2,188398.0495,2357489.715,14,9,2,LES,0,1,1,1,1,1,1,1,1
65,TLMO,132,1.042,1.187892164,0,3461,9,1.19,0,2,188994.8601,2357556.058,5,9,2,LES,0,1,1,1,1,1,1,1,1
66,TLMO,133,0.158,2.621014565,0,3462,9,2.62,0,2,188696.5827,2357395.884,14,9,2,LES,0,1,1,1,1,1,1,1,1
67,TLMO,136,0.009,2.697841733,0,3464,9,2.7,0,2,189530.0908,2357302.162,14,9,2,LES,0,1,1,1,1,1,1,1,1
68,TLMO,139,0.001,0.074940049,0,483,1,0.07,0,3,175790.0908,2357287.162,9,1,3,LES,0,1,1,1,1,1,1,1,1
