FID_1,MOs,MOsID,Subbasin,SED_BCR,Duck_BCR,Zone,coords_x1,coords_x2,SB574,HydroSB,Zone_1,watershed,Subbasin
135,WCMO,14,1,3.60,0.00,3,176424.58891700000,2359472.76804000000,3,1,3,LES,
136,WCMO,15,1,0.52,0.00,3,176767.83548200000,2359607.21328000000,3,1,3,LES,
137,WCMO,16,1,0.21,0.00,3,176484.44051700000,2359258.19538000000,3,1,3,LES,
144,WCMO,25,1,0.61,0.00,3,175627.98456200000,2359786.07612000000,3,1,3,LES,
145,WCMO,26,1,3.60,0.00,3,175972.40821100000,2359775.04043000000,3,1,3,LES,
146,WCMO,27,1,0.79,0.00,3,175673.65825000000,2359657.23671000000,3,1,3,LES,
147,WCMO,28,1,0.87,0.00,3,174863.31901000000,2359449.17744000000,3,1,3,LES,
148,WCMO,29,1,1.91,0.00,3,175241.86400900000,2359466.73888000000,3,1,3,LES,
149,WCMO,30,1,3.59,0.00,3,175641.30623200000,2359278.05759000000,3,1,3,LES,
150,WCMO,31,1,1.30,0.00,3,175452.76766900000,2359301.37410000000,3,1,3,LES,
158,WCMO,39,1,1.00,0.00,3,176606.18115900000,2359033.91017000000,3,1,3,LES,
169,WCMO,54,1,0.34,0.00,3,176701.33930500000,2358775.98594000000,3,1,3,LES,
404,TLMO,3,1,5.66,0.00,3,177009.70954300000,2360876.27111000000,3,1,3,LES,
415,TLMO,14,1,0.00,0.00,3,176929.52922500000,2359506.61691000000,3,1,3,LES,
418,TLMO,18,1,5.66,0.00,3,176886.65204200000,2360083.99738000000,3,1,3,LES,
428,TLMO,30,1,5.66,0.00,3,175667.06436700000,2359548.16119000000,3,1,3,LES,
436,TLMO,39,1,0.00,0.00,3,176900.09080000000,2358862.16180000000,3,1,3,LES,
437,TLMO,40,1,5.66,0.00,3,176692.20239600000,2359042.58209000000,3,1,3,LES,
441,TLMO,44,1,0.00,0.00,3,176960.09080000000,2358832.16180000000,3,1,3,LES,
447,TLMO,52,1,0.00,0.00,3,177005.09080000000,2358802.16180000000,3,1,3,LES,
448,TLMO,57,1,5.66,0.00,3,176126.22505700000,2358979.09403000000,3,1,3,LES,
451,TLMO,71,1,0.00,0.00,3,177066.45461900000,2358740.94157000000,3,1,3,LES,
8,AFMO,9,1,0.00,0.00,3,178086.54639400000,2359427.41931000000,4,1,3,LES,
10,AFMO,11,1,0.00,0.00,3,178229.27126600000,2359299.81562000000,4,1,3,LES,
12,AFMO,13,1,0.01,0.00,3,178507.54120700000,2359153.39628000000,4,1,3,LES,
23,AFMO,40,1,0.00,0.00,3,177430.71760900000,2357157.73567000000,4,1,3,LES,
134,WCMO,13,1,0.88,0.00,3,177618.83670700000,2359735.68751000000,4,1,3,LES,
139,WCMO,20,1,0.42,0.00,3,179306.94755500000,2359746.62278000000,4,1,3,LES,
140,WCMO,21,1,0.72,0.00,3,178740.00456000000,2359603.81047000000,4,1,3,LES,
141,WCMO,22,1,1.22,0.00,3,178908.19497700000,2359362.63346000000,4,1,3,LES,
142,WCMO,23,1,1.15,0.00,3,178364.15493100000,2359594.28012000000,4,1,3,LES,
143,WCMO,24,1,1.07,0.00,3,178648.26458400000,2359195.20983000000,4,1,3,LES,
157,WCMO,38,1,0.13,0.00,3,176994.94153700000,2359203.34874000000,4,1,3,LES,
176,WCMO,70,1,0.44,0.00,3,176732.61708600000,2357851.40834000000,4,1,3,LES,
178,WCMO,74,1,1.39,0.00,3,178440.73497500000,2358985.52969000000,4,1,3,LES,
179,WCMO,75,1,0.51,0.00,3,177760.87762500000,2358402.43576000000,4,1,3,LES,
217,WCMO,167,1,0.41,0.00,3,177403.66897200000,2357140.34541000000,4,1,3,LES,
219,WCMO,169,1,3.41,0.00,3,177486.51595400000,2356028.42650000000,4,1,3,LES,
407,TLMO,6,1,0.00,0.00,3,179030.09080000000,2360182.16180000000,4,1,3,LES,
408,TLMO,7,1,0.00,0.00,3,179180.09080000000,2360122.16180000000,4,1,3,LES,
411,TLMO,10,1,0.00,0.00,3,179058.34182700000,2360227.52597000000,4,1,3,LES,
419,TLMO,19,1,0.41,0.00,3,177499.56093700000,2359788.78265000000,4,1,3,LES,
422,TLMO,23,1,0.00,0.00,3,178757.89843300000,2359132.16180000000,4,1,3,LES,
424,TLMO,26,1,0.41,0.00,3,178639.82064500000,2359691.39536000000,4,1,3,LES,
438,TLMO,41,1,0.41,0.00,3,176967.66612400000,2359191.64634000000,4,1,3,LES,
450,TLMO,68,1,0.00,0.00,3,177860.09080000000,2358652.16180000000,4,1,3,LES,
452,TLMO,72,1,0.41,0.00,3,177321.20566000000,2359140.16657000000,4,1,3,LES,
453,TLMO,73,1,0.00,0.00,3,177225.82291000000,2358594.61255000000,4,1,3,LES,
454,TLMO,76,1,0.00,0.00,3,177197.31388900000,2358565.09600000000,4,1,3,LES,
455,TLMO,78,1,0.00,0.00,3,177147.95003000000,2358535.21665000000,4,1,3,LES,
456,TLMO,82,1,0.00,0.00,3,176990.09080000000,2358442.16180000000,4,1,3,LES,
457,TLMO,84,1,0.00,0.00,3,176960.09080000000,2358397.16180000000,4,1,3,LES,
458,TLMO,90,1,0.00,0.00,3,176930.09080000000,2358322.16180000000,4,1,3,LES,
461,TLMO,93,1,0.00,0.00,3,177646.52593000000,2358254.24579000000,4,1,3,LES,
465,TLMO,97,1,0.00,0.00,3,176875.34821600000,2358222.79809000000,4,1,3,LES,
467,TLMO,100,1,0.00,0.00,3,176825.10971600000,2358085.25238000000,4,1,3,LES,
