ID,Label,Cost,NitRed,SedRed
8377,Sub441 InC-P2000,5306074.351,70731.2742,182.2859
8378,Sub441 InC-M25,56149.3445,40360.201,1418.2106
8379,Sub441 InC-M50,112298.6889,48978.2185,1420.0079
8380,Sub441 InC-M250,561493.4446,67461.821,1375.1057
8381,Sub441 InC-M500,1099407.721,70870.68,1164.7366
8382,Sub441 InC-M1000,2194687.547,71815.2048,708.872
8383,Sub441 InC-M2000,4384187.857,70644.2861,-307.0333
8384,Sub442 InC-P25,67712.2303,22672.5453,1209.7621
8385,Sub442 InC-P50,135424.4607,33502.394,1211.9627
8386,Sub442 InC-P250,677122.3034,67996.7969,1198.3775
8387,Sub442 InC-P500,1330665.439,80732.2856,1101.988
8388,Sub442 InC-P1000,2657202.982,85919.8934,778.8067
8389,Sub442 InC-P2000,5309218.727,87069.4454,-261.2078
8390,Sub442 InC-M25,56188.6492,42527.6225,1225.4067
8391,Sub442 InC-M50,112377.2983,52345.321,1216.9962
8392,Sub442 InC-M250,561886.4916,76039.3904,1129.8143
8393,Sub442 InC-M500,1100193.815,84778.4311,933.7249
8394,Sub442 InC-M1000,2196259.735,87794.641,488.4511
8395,Sub442 InC-M2000,4387332.233,87558.5192,-751.6182
8396,Sub443 InC-P25,67721.2912,23000.8418,1360.8383
8397,Sub443 InC-P50,135442.5823,34913.5097,1367.4446
8398,Sub443 InC-P250,677212.9115,68040.2884,1374.8472
8399,Sub443 InC-P500,1330846.655,76701.0921,1250.3895
8400,Sub443 InC-P1000,2657565.415,80443.9002,920.6227
8401,Sub443 InC-P2000,5309943.593,80708.6521,78.683
8402,Sub443 InC-M25,56197.71,43199.7076,1384.1344
8403,Sub443 InC-M50,112395.42,52575.1533,1387.4661
8404,Sub443 InC-M250,561977.0998,74318.3677,1272.7147
8405,Sub443 InC-M500,1100375.032,79615.1941,1054.9855
8406,Sub443 InC-M1000,2196622.168,81502.0839,608.0394
8407,Sub443 InC-M2000,4388057.099,80717.3924,-399.6836
8408,Sub444 InC-P25,67721.2912,29197.5139,2001.9534
8409,Sub444 InC-P50,135442.5823,44320.0204,2079.2066
8410,Sub444 InC-P250,677212.9115,103993.7157,2591.4056
8411,Sub444 InC-P500,1330846.655,133603.1982,3000.4472
8412,Sub444 InC-P1000,2657565.415,152249.2619,3195.2004
8413,Sub444 InC-P2000,5309943.593,161022.0503,2888.6062
8414,Sub444 InC-M25,56197.71,63004.1085,2199.2147
8415,Sub444 InC-M50,112395.42,78561.6006,2288.2997
8416,Sub444 InC-M250,561977.0998,126013.2404,2629.7263
8417,Sub444 InC-M500,1100375.032,145405.5441,2801.4412
8418,Sub444 InC-M1000,2196622.168,157824.7998,2716.3448
8419,Sub444 InC-M2000,4388057.099,163247.7401,2224.6846
8420,Sub445 InC-P25,67780.6782,45253.8191,4471.4484
8421,Sub445 InC-P50,135561.3565,69391.9775,4631.8855
8422,Sub445 InC-P250,677806.7823,162421.6222,5942.1011
8423,Sub445 InC-P500,1332034.397,206137.9091,7230.0918
8424,Sub445 InC-P1000,2659940.898,237529.7955,8957.9534
8425,Sub445 InC-P2000,5314694.558,255335.292,10525.9398
8426,Sub445 InC-M25,56257.097,119474.8241,5144.6357
8427,Sub445 InC-M50,112514.1941,145560.9655,5463.1984
8428,Sub445 InC-M250,562570.9705,211027.8842,6712.8049
8429,Sub445 InC-M500,1101562.773,235562.6616,7629.7406
8430,Sub445 InC-M1000,2198997.65,252532.8694,8692.2224
8431,Sub445 InC-M2000,4392808.064,261283.9873,9493.1216
8432,Sub446 InC-P25,67782.947,61690.3113,9174.9453
8433,Sub446 InC-P50,135565.8939,93654.0683,9299.5625
8434,Sub446 InC-P250,677829.4697,241293.9697,10130.6928
8435,Sub446 InC-P500,1332079.771,335319.209,11016.5198
8436,Sub446 InC-P1000,2660031.647,430557.2722,12516.2163
8437,Sub446 InC-P2000,5314876.058,503580.9273,14484.8544
8438,Sub446 InC-M25,56259.3658,208747.225,9851.6261
8439,Sub446 InC-M50,112518.7316,256744.502,10124.8872
8440,Sub446 InC-M250,562593.6579,390159.4546,11209.9352
8441,Sub446 InC-M500,1101608.148,447691.2215,11955.9002
8442,Sub446 InC-M1000,2199088.4,500917.8842,12948.9359
8443,Sub446 InC-M2000,4392989.563,540273.4636,14033.613
8444,Sub447 InC-P25,68457.0098,73307.7947,10252.6926
8445,Sub447 InC-P50,136914.0197,109104.4838,10391.1513
8446,Sub447 InC-P250,684570.0983,277401.3605,11257.1125
8447,Sub447 InC-P500,1345561.029,387484.2186,12156.0593
8448,Sub447 InC-P1000,2686994.162,501585.1888,13658.3779
8449,Sub447 InC-P2000,5368801.087,589577.4829,15828.6366
8450,Sub447 InC-M25,56933.4286,247674.4172,11007.7974
8451,Sub447 InC-M50,113866.8573,304527.3434,11318.352
8452,Sub447 InC-M250,569334.2865,461807.4087,12522.0889
8453,Sub447 InC-M500,1115089.405,530625.0341,13387.7393
8454,Sub447 InC-M1000,2226050.914,592691.1127,14519.756
8455,Sub447 InC-M2000,4446914.592,637339.685,15811.4325
8456,Sub448 InC-P25,68211.0194,21748.768,1721.1962
8457,Sub448 InC-P50,136422.0389,31904.0968,1776.3676
8458,Sub448 InC-P250,682110.1944,62092.6944,2100.1398
8459,Sub448 InC-P500,1340641.221,70036.6313,2306.0101
8460,Sub448 InC-P1000,2677154.546,74347.0024,2266.0313
8461,Sub448 InC-P2000,5349121.856,76031.0747,1731.5567
8462,Sub448 InC-M25,56687.4383,42322.8328,1833.4302
8463,Sub448 InC-M50,113374.8765,50731.2587,1890.7466
8464,Sub448 InC-M250,566874.3827,69230.617,2075.554
8465,Sub448 InC-M500,1110169.597,73730.3,2133.9538
8466,Sub448 InC-M1000,2216211.299,75869.4595,1906.508
8467,Sub448 InC-M2000,4427235.362,76470.9322,1234.3781
8468,Sub449 InC-P25,68459.6334,74073.7521,11125.9422
8469,Sub449 InC-P50,136919.2668,111955.8564,11380.0787
8470,Sub449 InC-P250,684596.3341,292465.3374,12917.4217
8471,Sub449 InC-P500,1345613.5,419978.898,14487.8437
8472,Sub449 InC-P1000,2687099.105,565052.0136,17228.5421
8473,Sub449 InC-P2000,5369010.973,693997.5564,21745.2692
8474,Sub449 InC-M25,56936.0522,298511.3019,12794.1148
8475,Sub449 InC-M50,113872.1045,366801.3378,13459.7719
8476,Sub449 InC-M250,569360.5223,555010.4442,16075.9343
8477,Sub449 InC-M500,1115141.877,640303.1951,17976.3351
8478,Sub449 InC-M1000,2226155.858,720140.7434,20662.2718
8479,Sub449 InC-M2000,4447124.479,783346.7328,24430.9701
8480,Sub450 InC-P25,69832.5752,205.5085,380.1959
8481,Sub450 InC-P50,139665.1504,426.8543,397.0392
8482,Sub450 InC-P250,698325.7522,1253.3619,469.5272
8483,Sub450 InC-P500,1373072.337,1505.4256,459.2751
8484,Sub450 InC-P1000,2742016.777,1558.3796,343.012
8485,Sub450 InC-P2000,5478846.318,1347.791,-20.5895
8486,Sub450 InC-M25,58308.994,551.84,398.4615
8487,Sub450 InC-M50,116617.9881,758.8193,408.3843
8488,Sub450 InC-M250,583089.9405,1327.5703,408.9053
8489,Sub450 InC-M500,1142600.713,1453.8283,338.2717
8490,Sub450 InC-M1000,2281073.53,1386.7855,138.7586
8491,Sub450 InC-M2000,4556959.824,1041.2677,-348.8771
8492,Sub451 InC-P25,69846.9535,5951.7252,4614.3434
8493,Sub451 InC-P50,139693.9071,5951.7252,4614.3434
8494,Sub451 InC-P250,698469.5355,5951.7252,4614.3434
8495,Sub451 InC-P500,1373359.903,5951.7252,4614.3434
8496,Sub451 InC-P1000,2742591.91,5951.7252,4614.3434
8497,Sub451 InC-P2000,5479996.584,5951.7252,4614.3434
8498,Sub451 InC-M25,58323.3724,5951.7252,4614.3434
8499,Sub451 InC-M50,116646.7447,5951.7252,4614.3434
8500,Sub451 InC-M250,583233.7237,5951.7252,4614.3434
8501,Sub451 InC-M500,1142888.28,5951.7252,4614.3434
8502,Sub451 InC-M1000,2281648.663,5951.7252,4614.3434
8503,Sub451 InC-M2000,4558110.09,5951.7252,4614.3434
8504,Sub452 InC-P25,69757.3079,34621.9217,2138.9604
8505,Sub452 InC-P50,139514.6158,51774.0295,2269.8649
8506,Sub452 InC-P250,697573.0792,122693.8364,3066.9027
8507,Sub452 InC-P500,1371566.991,157024.712,3768.8925
8508,Sub452 InC-P1000,2739006.085,183760.583,4684.2412
8509,Sub452 InC-P2000,5472824.934,197523.3938,5535.0215
8510,Sub452 InC-M25,58233.7267,85270.0397,2533.9516
8511,Sub452 InC-M50,116467.4535,104082.0075,2725.199
8512,Sub452 InC-M250,582337.2674,157001.0309,3500.2383
8513,Sub452 InC-M500,1141095.367,178673.2458,4041.9857
8514,Sub452 InC-M1000,2278062.838,194847.6485,4661.5227
8515,Sub452 InC-M2000,4550938.44,202019.4091,5170.5756
8516,Sub453 InC-P25,68478.1631,91348.8005,11097.9726
8517,Sub453 InC-P50,136956.3262,135584.4228,11305.3109
8518,Sub453 InC-P250,684781.6308,366855.2993,12567.8919
8519,Sub453 InC-P500,1345984.094,551210.5943,13871.8413
8520,Sub453 InC-P1000,2687840.292,773979.1474,16141.5683
8521,Sub453 InC-P2000,5370493.347,999208.5715,19941.6045
8522,Sub453 InC-M25,56954.5819,363471.0785,12480.4878
8523,Sub453 InC-M50,113909.1638,458657.2259,13035.8001
8524,Sub453 InC-M250,569545.8191,746092.6303,15200.5844
8525,Sub453 InC-M500,1115512.47,892813.7571,16757.2429
8526,Sub453 InC-M1000,2226897.045,1036176.412,18951.9896
8527,Sub453 InC-M2000,4448606.853,1168788.56,22023.8118
8528,Sub454 InC-P25,68803.634,0,0
8529,Sub454 InC-P50,137607.268,0,0
8530,Sub454 InC-P250,688036.3398,0,0
8531,Sub454 InC-P500,1352493.512,0,0
8532,Sub454 InC-P1000,2700859.128,0,0
8533,Sub454 InC-P2000,5396531.019,0,0
8534,Sub454 InC-M25,57280.0528,0,0
8535,Sub454 InC-M50,114560.1056,0,0
8536,Sub454 InC-M250,572800.5281,0,0
8537,Sub454 InC-M500,1122021.888,0,0
8538,Sub454 InC-M1000,2239915.881,0,0
8539,Sub454 InC-M2000,4474644.525,0,0
8540,Sub455 InC-P25,68459.6334,1502.8593,1009.4547
8541,Sub455 InC-P50,136919.2668,1537.7111,1011.3937
8542,Sub455 InC-P250,684596.3341,1768.3649,1003.6743
8543,Sub455 InC-P500,1345613.5,143948.7318,5266.4924
8544,Sub455 InC-P1000,2687099.105,2152.6332,845.7804
8545,Sub455 InC-P2000,5369010.973,2255.8453,598.6396
8546,Sub455 InC-M25,56936.0522,1359.8339,722.0749
8547,Sub455 InC-M50,113872.1045,-17239.1684,-8836.0141
8548,Sub455 InC-M250,569360.5223,1698.9968,710.1399
8549,Sub455 InC-M500,1115141.877,1930.5305,649.1844
8550,Sub455 InC-M1000,2226155.858,2106.0495,490.2374
8551,Sub455 InC-M2000,4447124.479,2142.4651,126.9312
8552,Sub456 InC-P25,68459.6334,143199.534,738.0133
8553,Sub456 InC-P50,136919.2668,203975.1899,1226.8835
8554,Sub456 InC-P250,684596.3341,530399.514,4141.6228
8555,Sub456 InC-P500,1345613.5,807380.47,7103.6598
8556,Sub456 InC-P1000,2687099.105,1201061.929,12329.8361
8557,Sub456 InC-P2000,5369010.973,1710934.314,21658.0713
8558,Sub456 InC-M25,56936.0522,730310.9362,6093.6081
8559,Sub456 InC-M50,113872.1045,917741.0661,8101.9463
8560,Sub456 InC-M250,569360.5223,1504340.635,15760.9006
8561,Sub456 InC-M500,1115141.877,1819045.274,21127.5181
8562,Sub456 InC-M1000,2226155.858,2148136.501,28588.5287
8563,Sub456 InC-M2000,4447124.479,2486370.838,39252.071
8564,Sub457 InC-P25,70353.4084,25582.9057,803.8587
8565,Sub457 InC-P50,140706.8169,26670.0411,835.9635
8566,Sub457 InC-P250,703534.0843,33587.428,1043.4945
8567,Sub457 InC-P500,1383489.001,39261.5932,1191.1235
8568,Sub457 InC-P1000,2762850.106,45589.3513,1228.7568
8569,Sub457 InC-P2000,5520512.975,50800.0722,957.8207
8570,Sub457 InC-M25,58829.8273,22384.1355,633.3553
8571,Sub457 InC-M50,117659.6545,23617.7959,660.4784
8572,Sub457 InC-M250,588298.2726,31448.7814,809.2831
8573,Sub457 InC-M500,1153017.377,37813.4295,874.8862
8574,Sub457 InC-M1000,2301906.859,44826.6044,764.0754
8575,Sub457 InC-M2000,4598626.481,50575.3982,180.5684
8576,Sub458 InC-P25,70353.4084,7870.5256,497.9785
8577,Sub458 InC-P50,140706.8169,10351.3977,517.7874
8578,Sub458 InC-P250,703534.0843,17556.3673,564.7918
8579,Sub458 InC-P500,1383489.001,18980.2955,510.6156
8580,Sub458 InC-P1000,2762850.106,18611.2567,232.4234
8581,Sub458 InC-P2000,5520512.975,16744.2962,-451.5964
8582,Sub458 InC-M25,58829.8273,10791.3494,505.8777
8583,Sub458 InC-M50,117659.6545,12797.0855,519.111
8584,Sub458 InC-M250,588298.2726,18161.0165,494.0379
8585,Sub458 InC-M500,1153017.377,19155.5721,394.5372
8586,Sub458 InC-M1000,2301906.859,18413.2087,57.2746
8587,Sub458 InC-M2000,4598626.481,11828.7483,-2264.4867
8588,Sub459 InC-P25,70384.9451,46404.2486,1424.1787
8589,Sub459 InC-P50,140769.8903,47841.3501,1474.2879
8590,Sub459 InC-P250,703849.4514,57506.6475,1830.7213
8591,Sub459 InC-P500,1384119.735,66419.9445,2152.9319
8592,Sub459 InC-P1000,2764111.574,78167.553,2459.7108
8593,Sub459 InC-P2000,5523035.912,90601.5968,2512.5712
8594,Sub459 InC-M25,58861.364,41201.8136,1054.5689
8595,Sub459 InC-M50,117722.7279,42846.8678,1096.2972
8596,Sub459 InC-M250,588613.6396,53847.243,1409.321
8597,Sub459 InC-M500,1153648.111,63659.4557,1642.1744
8598,Sub459 InC-M1000,2303168.327,76647.1252,1802.4788
8599,Sub459 InC-M2000,4601149.417,90214.5092,1553.994
8600,Sub460 InC-P25,70353.4084,45841.3507,319.4834
8601,Sub460 InC-P50,140706.8169,68595.069,552.7163
8602,Sub460 InC-P250,703534.0843,162850.6919,2027.6559
8603,Sub460 InC-P500,1383489.001,212653.6481,3547.8507
8604,Sub460 InC-P1000,2762850.106,252663.894,5969.9186
8605,Sub460 InC-P2000,5520512.975,276657.3984,9196.8504
8606,Sub460 InC-M25,58829.8273,129129.6504,1152.3382
8607,Sub460 InC-M50,117659.6545,156762.9334,1550.8378
8608,Sub460 InC-M250,588298.2726,228090.5947,3224.4733
8609,Sub460 InC-M500,1153017.377,255427.693,4534.9943
8610,Sub460 InC-M1000,2301906.859,275015.0411,6430.5236
8611,Sub460 InC-M2000,4598626.481,285987.9385,8960.2906
8612,Sub461 InC-P25,71341.8239,20889.9465,1720.8425
8613,Sub461 InC-P50,142683.6478,31522.5632,1704.6179
8614,Sub461 InC-P250,713418.2391,66974.9626,1556.3086
8615,Sub461 InC-P500,1403257.31,79777.8338,1320.1605
8616,Sub461 InC-P1000,2802386.725,84617.6791,863.4834
8617,Sub461 InC-P2000,5599586.213,86190.4201,-67.4281
8618,Sub461 InC-M25,59818.2427,34171.4466,1694.7017
8619,Sub461 InC-M50,119636.4855,42761.1474,1669.0521
8620,Sub461 InC-M250,598182.4273,71666.0438,1466.3785
8621,Sub461 InC-M500,1172785.687,82597.8019,1204.9541
8622,Sub461 InC-M1000,2341443.478,85854.9443,675.5572
8623,Sub461 InC-M2000,4677699.719,86703.4933,-364.664
8624,Sub462 InC-P25,70951.1697,27495.5111,3218.0018
8625,Sub462 InC-P50,141902.3395,40107.8327,3202.0528
8626,Sub462 InC-P250,709511.6975,89032.9738,3040.6186
8627,Sub462 InC-P500,1395444.227,114188.0916,2834.03
8628,Sub462 InC-P1000,2786760.558,125665.6928,2381.5518
8629,Sub462 InC-P2000,5568333.88,130117.3584,1487.206
8630,Sub462 InC-M25,59427.5886,54923.4972,3173.6807
8631,Sub462 InC-M50,118855.1771,67030.7319,3145.2104
8632,Sub462 InC-M250,594275.8857,107046.2226,2939.248
8633,Sub462 InC-M500,1164972.604,122649.885,2687.5721
8634,Sub462 InC-M1000,2325817.311,129082.4424,2174.7912
8635,Sub462 InC-M2000,4646447.386,131470.835,1146.0576
8636,Sub463 InC-P25,71341.8239,22051.5439,1841.4605
8637,Sub463 InC-P50,142683.6478,32294.2616,1832.9344
8638,Sub463 InC-P250,713418.2391,68027.1322,1695.4741
8639,Sub463 InC-P500,1403257.31,82583.1354,1503.4622
8640,Sub463 InC-P1000,2802386.725,88699.6562,1040.2834
8641,Sub463 InC-P2000,5599586.213,90925.9685,172.8138
8642,Sub463 InC-M25,59818.2427,35416.2592,1823.7034
8643,Sub463 InC-M50,119636.4855,43973.6999,1799.3933
8644,Sub463 InC-M250,598182.4273,73176.4647,1614.9709
8645,Sub463 InC-M500,1172785.687,85755.891,1382.8754
8646,Sub463 InC-M1000,2341443.478,90195.5403,856.2562
8647,Sub463 InC-M2000,4677699.719,91510.8442,-164.2724
8648,Sub464 InC-P25,71341.8239,50811.9153,8988.6867
8649,Sub464 InC-P50,142683.6478,75612.2749,8977.9613
8650,Sub464 InC-P250,713418.2391,190511.1636,8883.1207
8651,Sub464 InC-P500,1403257.31,271860.0917,8735.803
8652,Sub464 InC-P1000,2802386.725,357132.697,8393.65
8653,Sub464 InC-P2000,5599586.213,407344.4465,7669.9838
8654,Sub464 InC-M25,59818.2427,139123.6497,8929.8903
8655,Sub464 InC-M50,119636.4855,172303.4983,8899.9546
8656,Sub464 InC-M250,598182.4273,285290.999,8715.8106
8657,Sub464 InC-M500,1172785.687,345711.6315,8503.0525
8658,Sub464 InC-M1000,2341443.478,397038.9921,8072.4536
8659,Sub464 InC-M2000,4677699.719,426011.0967,7202.8785
8660,Sub465 InC-P25,71013.2442,13988.7337,434.3764
8661,Sub465 InC-P50,142026.4884,11626.7902,432.1531
8662,Sub465 InC-P250,710132.442,15436.6524,424.1655
8663,Sub465 InC-P500,1396685.716,18625.2088,355.238
8664,Sub465 InC-P1000,2789243.537,22328.692,214.3574
8665,Sub465 InC-P2000,5573299.837,25474.9108,-269.4308
8666,Sub465 InC-M25,59489.663,9235.7585,301.2038
8667,Sub465 InC-M50,118979.3261,9891.4998,302.1936
8668,Sub465 InC-M250,594896.6303,14014.9385,251.1306
8669,Sub465 InC-M500,1166214.093,17409.4693,123.0691
8670,Sub465 InC-M1000,2328300.29,21172.1632,-232.5296
8671,Sub465 InC-M2000,4651413.343,24155.1974,-1139.6909
8672,Sub466 InC-P25,71013.0187,31635.066,5057.947
8673,Sub466 InC-P50,142026.0374,45645.6403,5149.2709
8674,Sub466 InC-P250,710130.1868,97678.1215,5421.5724
8675,Sub466 InC-P500,1396681.206,118791.8869,5598.8562
8676,Sub466 InC-P1000,2789234.516,132204.0444,5680.2033
8677,Sub466 InC-P2000,5573281.795,138284.5966,5351.3324
8678,Sub466 InC-M25,59489.4375,70244.3738,5198.0346
8679,Sub466 InC-M50,118978.875,83792.7478,5247.0284
8680,Sub466 InC-M250,594894.375,119536.8134,5429.7304
8681,Sub466 InC-M500,1166209.582,130782.9375,5469.6485
8682,Sub466 InC-M1000,2328291.269,137364.4888,5386.5293
8683,Sub466 InC-M2000,4651395.301,140009.84,4846.4912
8684,Sub467 InC-P25,70787.3212,40027.4028,6271.2114
8685,Sub467 InC-P50,141574.6423,58560.6585,6326.7157
8686,Sub467 InC-P250,707873.2117,132901.5362,6638.9653
8687,Sub467 InC-P500,1392167.255,167987.1586,6860.3507
8688,Sub467 InC-P1000,2780206.615,193324.4834,7037.0222
8689,Sub467 InC-P2000,5555225.994,206994.3052,6856.389
8690,Sub467 InC-M25,59263.74,95990.9013,6385.3038
8691,Sub467 InC-M50,118527.48,116737.5012,6448.5885
8692,Sub467 InC-M250,592637.3999,172041.2323,6665.4461
8693,Sub467 InC-M500,1161695.632,191245.1764,6762.511
8694,Sub467 InC-M1000,2319263.368,204555.4268,6751.3646
8695,Sub467 InC-M2000,4633339.499,211354.6963,6361.5122
8696,Sub468 InC-P25,69487.4986,26164.2153,2576.2262
8697,Sub468 InC-P50,138974.9973,38786.1401,2666.7563
8698,Sub468 InC-P250,694874.9863,79046.3748,3195.8836
8699,Sub468 InC-P500,1366170.805,90615.8564,3504.3048
8700,Sub468 InC-P1000,2728213.714,96842.812,3620.1565
8701,Sub468 InC-P2000,5451240.191,99373.6507,3224.3058
8702,Sub468 InC-M25,57963.9175,49030.9017,2714.7546
8703,Sub468 InC-M50,115927.8349,59937.6749,2793.3347
8704,Sub468 InC-M250,579639.1745,87728.4444,3131.4135
8705,Sub468 InC-M500,1135699.181,94965.2943,3290.6882
8706,Sub468 InC-M1000,2267270.467,98695.3239,3272.7503
8707,Sub468 InC-M2000,4529353.697,99778.9576,2739.4721
8708,Sub469 InC-P25,69522.5531,51429.0874,5786.0778
8709,Sub469 InC-P50,139045.1062,76033.2247,5858.3372
8710,Sub469 InC-P250,695225.5312,175340.3869,6331.0245
8711,Sub469 InC-P500,1366871.895,230406.6247,6762.1184
8712,Sub469 InC-P1000,2729615.893,277911.4884,7217.1685
8713,Sub469 InC-P2000,5454044.55,305273.3302,7325.4577
8714,Sub469 InC-M25,57998.9719,116788.3284,5972.4679
8715,Sub469 InC-M50,115997.9439,143058.4517,6064.2045
8716,Sub469 InC-M250,579989.7195,222236.1054,6407.366
8717,Sub469 InC-M500,1136400.271,262003.7098,6640.184
8718,Sub469 InC-M1000,2268672.646,295866.9527,6819.6284
8719,Sub469 InC-M2000,4532158.056,313224.2093,6657.2353
8720,Sub470 InC-P25,70787.6801,64558.8227,12076.8137
8721,Sub470 InC-P50,141575.3601,95500.4677,12146.7334
8722,Sub470 InC-P250,707876.8007,241311.6798,12587.3857
8723,Sub470 InC-P500,1392174.434,344615.1579,13048.8886
8724,Sub470 InC-P1000,2780220.971,458735.3159,13714.6704
8725,Sub470 InC-P2000,5555254.706,549878.3026,14468.311
8726,Sub470 InC-M25,59264.0989,198298.2293,12341.4224
8727,Sub470 InC-M50,118528.1978,245135.8576,12460.264
8728,Sub470 InC-M250,592640.989,388633.3863,12920.3945
8729,Sub470 InC-M500,1161702.81,465435.8051,13218.8294
8730,Sub470 InC-M1000,2319277.724,540151.5734,13582.0397
8731,Sub470 InC-M2000,4633368.212,591415.7865,13858.4698
8732,Sub471 InC-P25,71341.8239,25922.5151,3939.3962
8733,Sub471 InC-P50,142683.6478,40348.6596,3965.5762
8734,Sub471 InC-P250,713418.2391,104497.4946,4117.6276
8735,Sub471 InC-P500,1403257.31,142601.9396,4175.811
8736,Sub471 InC-P1000,2802386.725,173126.4364,4039.6765
8737,Sub471 InC-P2000,5599586.213,186180.5959,3415.398
8738,Sub471 InC-M25,59818.2427,57595.9722,3978.1764
8739,Sub471 InC-M50,119636.4855,71934.3272,4007.1321
8740,Sub471 InC-M250,598182.4273,122981.0869,4037.8444
8741,Sub471 InC-M500,1172785.687,154845.525,3989.6812
8742,Sub471 InC-M1000,2341443.478,180682.0931,3710.6918
8743,Sub471 InC-M2000,4677699.719,189328.0572,2915.9083
8744,Sub472 InC-P25,71341.8239,47358.347,7750.5679
8745,Sub472 InC-P50,142683.6478,70893.7165,7792.195
8746,Sub472 InC-P250,713418.2391,179844.9684,8015.767
8747,Sub472 InC-P500,1403257.31,251759.3007,8166.3117
8748,Sub472 InC-P1000,2802386.725,311953.7144,8258.3181
8749,Sub472 InC-P2000,5599586.213,346419.6933,7945.9747
8750,Sub472 InC-M25,59818.2427,122771.0865,7828.7811
8751,Sub472 InC-M50,119636.4855,152246.6573,7866.3247
8752,Sub472 InC-M250,598182.4273,250144.8746,7984.2942
8753,Sub472 InC-M500,1172785.687,301887.5643,8018.3252
8754,Sub472 InC-M1000,2341443.478,338292.0383,7899.4808
8755,Sub472 InC-M2000,4677699.719,358307.6673,7350.084
8756,Sub473 InC-P25,71332.4358,83260.96,12.1919
8757,Sub473 InC-P50,142664.8715,127347.1752,234.3764
8758,Sub473 InC-P250,713324.3576,351014.743,1659.6736
8759,Sub473 InC-P500,1403069.547,529746.6774,3227.0368
8760,Sub473 InC-P1000,2802011.199,775339.7982,6100.7257
8761,Sub473 InC-P2000,5598835.161,1072547.585,11110.8515
8762,Sub473 InC-M25,59808.8546,350651.4306,1553.0681
8763,Sub473 InC-M50,119617.7092,441437.0681,2169.3296
8764,Sub473 InC-M250,598088.5458,735109.5115,4597.6354
8765,Sub473 InC-M500,1172597.924,905896.3057,6403.9679
8766,Sub473 InC-M1000,2341067.952,1100236.679,9058.705
8767,Sub473 InC-M2000,4676948.667,1309502.32,13026.3893
8768,Sub474 InC-P25,69490.4557,30217.9533,149.0548
8769,Sub474 InC-P50,138980.9113,46992.0734,277.1387
8770,Sub474 InC-P250,694904.5567,115594.6585,1067.7873
8771,Sub474 InC-P500,1366229.946,149923.2498,1706.04
8772,Sub474 InC-P1000,2728331.995,172984.6761,2412.6374
8773,Sub474 InC-P2000,5451476.754,183096.0866,3018.4457
8774,Sub474 InC-M25,57966.8745,63012.4344,359.0066
8775,Sub474 InC-M50,115933.749,80084.6722,498.1441
8776,Sub474 InC-M250,579668.7449,132926.1267,1124.2447
8777,Sub474 InC-M500,1135758.322,159314.8995,1597.5346
8778,Sub474 InC-M1000,2267388.748,177459.8208,2171.7879
8779,Sub474 InC-M2000,4529590.26,185535.4662,2738.5955
8780,Sub475 InC-P25,70363.9197,325541.187,-3024.2635
8781,Sub475 InC-P50,140727.8395,427560.801,-2577.1027
8782,Sub475 InC-P250,703639.1973,999052.7279,35.4989
8783,Sub475 InC-P500,1383699.227,1527057.732,2607.3775
8784,Sub475 InC-P1000,2763270.558,2363180.498,6989.9
8785,Sub475 InC-P2000,5521353.878,3653854.115,14511.7264
8786,Sub475 InC-M25,58840.3385,2466750.635,7157.5158
8787,Sub475 InC-M50,117680.6771,3150396.401,10773.7195
8788,Sub475 InC-M250,588403.3855,5449710.396,24451.5072
8789,Sub475 InC-M500,1153227.603,6806044.59,33763.7476
8790,Sub475 InC-M1000,2302327.31,8408357.805,46183.9679
8791,Sub475 InC-M2000,4599467.384,10265810.39,62879.8846
8792,Sub476 InC-P25,72376.5837,312240.636,-2925.8855
8793,Sub476 InC-P50,144753.1673,417745.9124,-2470.3537
8794,Sub476 InC-P250,723765.8366,1009622.052,190.7579
8795,Sub476 InC-P500,1423952.505,1556221.104,2810.0614
8796,Sub476 InC-P1000,2843777.115,2422585.366,7272.5171
8797,Sub476 InC-P2000,5682366.993,3760318.019,14929.4633
8798,Sub476 InC-M25,60853.0025,2558475.231,7617.7659
8799,Sub476 InC-M50,121706.005,3275007.884,11359.2826
8800,Sub476 InC-M250,608530.0248,5699301.038,25512.4513
8801,Sub476 InC-M500,1193480.882,7131906.685,35147.0818
8802,Sub476 InC-M1000,2382833.868,8825416.877,47993.1904
8803,Sub476 InC-M2000,4760480.499,10791120.27,65249.9958
8804,Sub477 InC-P25,71450.2742,25951.0093,5202.6981
8805,Sub477 InC-P50,142900.5484,35142.4301,5180.4013
8806,Sub477 InC-P250,714502.7422,84614.5207,4995.5644
8807,Sub477 InC-P500,1405426.317,122577.3538,4740.7934
8808,Sub477 InC-P1000,2806724.737,166816.0635,4211.9508
8809,Sub477 InC-P2000,5608262.238,199063.6521,3083.1689
8810,Sub477 InC-M25,59926.693,50252.8304,5131.7022
8811,Sub477 InC-M50,119853.3861,61631.1201,5086.831
8812,Sub477 InC-M250,599266.9305,105247.6903,4810.4875
8813,Sub477 InC-M500,1174954.693,136237.4823,4489.2186
8814,Sub477 InC-M1000,2345781.49,177643.3409,3841.415
8815,Sub477 InC-M2000,4686375.744,206733.3229,2541.3383
8816,Sub478 InC-P25,71039.9874,11869.251,1418.0849
