ID,Label,Cost,NitRed,SedRed
101,Sub017 ISO-M-S,202256.2508,6646.6577,984.3601
102,Sub017 ISO-M-M,597811.7574,7383.6161,1084.9526
103,Sub017 ISO-M-L,993158.1988,8053.5352,1172.3517
104,Sub018 ISO-P-S,170413.4518,1414.1351,230.7757
105,Sub018 ISO-P-M,505479.4844,1714.884,294.4797
106,Sub018 ISO-P-L,840411.0526,2195.2962,365.6409
107,Sub018 ISO-M-S,129257.5988,975.5503,160.1888
108,Sub018 ISO-M-M,382011.9256,1310.6116,225.3186
109,Sub018 ISO-M-L,634631.7879,1631.4894,288.0405
110,Sub019 ISO-P-S,246110.2562,4399.4717,730.946
111,Sub019 ISO-P-M,729700.9503,5178.1625,917.6249
112,Sub019 ISO-P-L,1213090.216,6336.5615,1106.4308
113,Sub019 ISO-M-S,184458.548,3093.6963,547.4886
114,Sub019 ISO-M-M,544745.8258,3896.2803,735.7562
115,Sub019 ISO-M-L,904831.6751,4479.8912,847.3315
116,Sub020 ISO-P-S,384415.052,708.3239,81.03
117,Sub020 ISO-P-M,1139757.164,708.3239,81.03
118,Sub020 ISO-P-L,1894784.454,708.3239,81.03
119,Sub020 ISO-M-S,288056.3933,708.3239,81.03
120,Sub020 ISO-M-M,850681.1884,708.3239,81.03
121,Sub020 ISO-M-L,1412991.16,708.3239,81.03
122,Sub021 ISO-P-S,206911.8701,41.8598,8.467
123,Sub021 ISO-P-M,613463.6325,130.1642,25.5025
124,Sub021 ISO-P-L,1019845.66,220.8403,42.4384
125,Sub021 ISO-M-S,154960.6194,41.8598,8.467
126,Sub021 ISO-M-M,457609.8804,130.1642,25.5025
127,Sub021 ISO-M-L,760089.4061,220.8403,42.4384
128,Sub022 ISO-P-S,115487.9269,-75174.6439,-16897.6685
129,Sub022 ISO-P-M,342578.5429,222.8405,32.9641
130,Sub022 ISO-P-L,569578.4737,320.3644,46.1086
131,Sub022 ISO-M-S,87731.6595,129.1828,18.8296
132,Sub022 ISO-M-M,259309.7406,209.6936,30.9183
133,Sub022 ISO-M-L,430797.1365,295.5183,42.9377
134,Sub023 ISO-P-S,86252.0512,822.3518,117.7852
135,Sub023 ISO-P-M,255854.4718,822.3518,117.7852
136,Sub023 ISO-P-L,425389.1643,822.3518,117.7852
137,Sub023 ISO-M-S,65522.3403,514.9251,81.2669
138,Sub023 ISO-M-M,193665.3393,573.3681,89.2571
139,Sub023 ISO-M-L,321740.61,627.0069,95.8168
140,Sub024 ISO-P-S,197743.0616,131.2218,18.5332
141,Sub024 ISO-P-M,586279.4475,342.47,49.8852
142,Sub024 ISO-P-L,974653.6195,538.2659,81.0943
143,Sub024 ISO-M-S,148093.9073,1077.6228,3.5193
144,Sub024 ISO-M-M,437331.9845,342.47,49.8852
145,Sub024 ISO-M-L,726407.8479,538.2659,81.0943
