SRed,Duck,Cost
1727.0,,1295.0
1778.0,,1529.0
1860.0,,1203.0
1759.0,,1217.0
1820.0,,1403.0
1866.0,,1451.0
1787.0,,1411.0
1655.0,,1234.0
1748.0,,1170.0
1831.0,,1165.0
1768.0,,1371.0
