"MOs","MOsID","Subbasin","SED_BCR","Duck_BCR","Zone","coords_x1","coords_x2","coords.x1","coords.x2","coords.x3","SED_BCR_DIST"
"WCMO",4983,"18",7.451703567,0.002989991,1,183859.846146292,2338640.73889835,183859.846146293,2338640.73889835,0,0.530088999999734
"WCMO",3236,"18",7.450344313,0.002821124,1,177260.24176789,2342294.532669,177260.24176789,2342294.532669,0,1.35925399999959
"WCMO",3365,"18",7.45023378,0.002810701,1,178358.8773343,2340953.77171978,178358.8773343,2340953.77171978,0,0.110533000000856
"WCMO",3364,"18",7.449392183,0.002676421,1,178270.132242526,2341048.37517194,178270.132242526,2341048.37517194,0,0.841596999999972
"WCMO",3384,"18",7.449136128,0.002594578,1,183032.63053823,2340640.67537542,183032.63053823,2340640.67537542,0,0.256054999999478
"WCMO",3356,"18",7.447116842,0.002459695,1,178355.434661947,2341343.09619615,178355.434661947,2341343.09619615,0,2.01928600000034
"WCMO",3237,"18",7.446811936,0.002435763,1,176457.927964246,2342283.42483879,176457.927964246,2342283.42483879,0,0.304906000000216
"WCMO",3361,"18",7.44617619,0.00234773,1,178709.570426545,2341164.11968751,178709.570426545,2341164.11968751,0,0.635745999999493
"WCMO",6621,"27",7.444346728,0.001473693,1,165005.274304214,2334120.60930705,165005.274304214,2334120.60930705,0,1.82946199999989
"WCMO",3240,"18",7.439918379,0.001965846,1,177677.076569323,2341811.2611373,177677.076569323,2341811.2611373,0,4.42834900000033
"WCMO",4293,"18",7.438957574,0.001886408,1,184260.277889011,2338334.36365801,184260.277889011,2338334.36365801,0,0.960805000000065
"WCMO",3239,"18",7.432287773,0.001682107,1,176479.380566741,2341803.42608554,176479.380566741,2341803.42608554,0,6.66980100000014
"WCMO",3355,"18",7.432181439,0.001660852,1,178846.174888228,2341353.34204403,178846.174888228,2341353.34204403,0,0.106333999999819
"WCMO",15215,"29",7.426087268,0.004628551,2,151135.091570787,2309950.62090875,151135.091570787,2309950.62090875,0,6.09417099999998
"WCMO",14474,"29",7.413051951,0.004183511,2,152911.515639357,2314542.28846571,152911.515639357,2314542.28846571,0,13.0353169999999
"WCMO",18158,"29",7.409992329,0.004879214,2,157285.698935583,2303717.79048888,157285.698935583,2303717.79048888,0,3.05962200000032
"WCMO",13965,"28",7.382203567,0.004572404,1,179336.1260845,2314297.50621024,179336.1260845,2314297.50621024,0,27.7887619999992
"WCMO",15372,"28",7.374916058,0.004731497,1,171938.968812469,2309685.36172216,171938.968812469,2309685.36172216,0,7.28750900000019
"WCMO",11831,"29",7.341317424,0.004156409,2,158344.954869429,2318137.83659013,158344.954869429,2318137.83659013,0,33.5986340000005
"WCMO",3559,"19",7.341265952,0.004277621,3,156594.764288518,2339892.89023219,156594.764288518,2339892.89023219,0,0.0514719999999969
"WCMO",11407,"27",7.333278959,0.001063612,1,177375.725652588,2322132.76040526,177375.725652588,2322132.76040526,0,7.98699299999939
"WCMO",8712,"27",7.31633187,0.004378832,1,170862.198446173,2328564.96868078,170862.198446173,2328564.96868078,0,16.9470890000003
"WCMO",8714,"27",7.316276386,0.00413982,1,170592.798637957,2327207.96943753,170592.798637957,2327207.96943753,0,0.0554839999997725
"WCMO",9285,"27",7.316127782,0.004462353,1,171690.92969644,2325275.14631838,171690.92969644,2325275.14631838,0,0.148604000000496
"WCMO",9159,"27",7.315069243,0.003382295,1,169204.855586646,2325952.69567757,169204.855586646,2325952.69567757,0,1.05853899999975
"WCMO",9306,"27",7.313904573,0.002945527,1,170447.694696283,2327259.3054096,170447.694696283,2327259.3054096,0,1.16466999999965
"WCMO",17188,"29",7.311029179,0.004600505,2,153142.022283585,2307053.69239433,153142.022283585,2307053.69239433,0,2.87539400000014
"WCMO",8570,"27",7.309858985,0.002031693,1,170506.094674713,2328325.47050853,170506.094674713,2328325.47050853,0,1.17019400000018
"WCMO",13059,"29",7.293047149,0.004497698,2,154609.206457528,2314959.14107142,154609.206457528,2314959.14107142,0,16.8118359999996
"WCMO",14138,"28",7.29082513,0.004559675,1,175770.659543117,2313541.2572999,175770.659543117,2313541.2572999,0,2.22201900000041
"WCMO",16461,"29",7.273018203,0.004455317,2,149438.050719242,2307295.50387854,149438.050719242,2307295.50387854,0,17.8069269999996
"WCMO",5972,"27",7.255495358,0.004229169,1,165435.988855646,2333479.45696559,165435.988855646,2333479.45696559,0,17.5228450000002
"WCMO",17199,"29",7.250098099,0.004533616,2,152952.559244982,2305258.61742611,152952.559244982,2305258.61742611,0,5.39725900000043
"WCMO",18181,"29",7.227177301,0.004472546,2,153820.478331122,2306371.9168902,153820.478331122,2306371.9168902,0,22.9207979999995
"WCMO",10378,"27",7.213542736,0.000666223,1,179080.284316193,2323917.34449879,179080.284316193,2323917.34449879,0,13.6345650000003
"WCMO",17196,"29",7.192481806,0.004614939,2,151880.760082185,2305530.57620138,151880.760082185,2305530.57620138,0,21.06093
"WCMO",5950,"19",7.162583256,0.004724187,3,154889.389915757,2333662.91100843,154889.389915757,2333662.91100843,0,29.8985500000004
"WCMO",10956,"23",7.157519706,0.004911616,2,148275.595833494,2321078.18850014,148275.595833494,2321078.18850014,0,5.06354999999914
"WCMO",16450,"29",7.151659161,0.004030614,2,158566.03905963,2308315.38246135,158566.03905963,2308315.38246135,0,5.86054499999999
"WCMO",18183,"29",7.149340549,0.004365962,2,153794.855901317,2305515.48903137,153794.855901317,2305515.48903137,0,2.31861200000072
"WCMO",10356,"27",7.133869911,0.004136055,1,182561.384127459,2322162.52023411,182561.384127459,2322162.52023411,0,15.470638
