Type,ID,SedRed,Cost,SED_bcr,Duck,Site_ID,River,Zone,HYDSB,SEDSB,SEDSB_R,Watershed,subwatersh,budget_rat,gag_loc_LES,zone_LES,TOPOWAT_LES,HYDSB_LES30SB,area_m2,DA_9_SA_m2,LAND_COVER,FrmlndCls,DrainClass,HydrcRatng,Hydri,PondFCls,Slope,SurfText,Tfactor,compname,KfactorRF,KfactorWS,mean_slope,mean_D_m,total_V_m3,mean_V_m3,MUSYM,CropProdIn,NEAR_FID,NEAR_DIST,NEAR_FC,CPI_depth
WCMO,122,80.51,82100.515,0.000980627,14.66,122,LES,2,3,14,7,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,UL,9,116208.3672,1045875.305,Cultivated Crops,Farmland of statewide importance,Moderately well drained,Partially Hydric,0.5,None,4.3,loam,4.555555556,Lester,0.2333333,0.2333333,0.143889,1.784299,205808.1875,207198.8906,L127A,67,269,0,GBER_CONUS_wet_poly,37.5497589
WCMO,123,37.009,45121.553,0.000820207,10.022,123,LES,2,3,17,19,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,UL,9,53660.64844,482945.8359,Cultivated Crops,Farmland of statewide importance,Well drained,Partially Hydric,0.5,None,7.723076923,loam,4.384615385,Reedslake,0.2369231,0.2369231,0.5822632,2.2675326,120303.9453,121588.7656,L93A,66,1640,0,GBER_CONUS_wet_poly,29.1065273
WCMO,124,9.811,19964.99,0.00049141,5.416,124,LES,3,2,30,34,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,14395.87598,129562.8838,Hay/Pasture,Not prime farmland,Poorly drained,All Hydric,1,None,2.166666667,loamy fine sand,4,Beaches,0.1566667,0.1566667,0.738051,1.9971473,28147.79492,28730.66797,539,77,2716,0,GBER_CONUS_wet_poly,38.5549927
WCMO,125,13.351,25674.654,0.000520007,5.976,125,LES,2,3,15,16,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,LO,9,18486.95313,166382.5781,Cultivated Crops,Not prime farmland,Very poorly drained,All Hydric,1,Frequent,4.328571429,muck,4.142857143,Houghton,0.2,0.2,0.0111201,1.0960101,19974.7832,20247.34375,L14A,69,279,0,GBER_CONUS_wet_poly,62.9556236
WCMO,126,26.784,83912.751,0.000319189,8.867,126,LES,2,3,16,19,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,UL,9,40958.94922,368630.543,Cultivated Crops,Not prime farmland,Very poorly drained,All Hydric,1,Frequent,4.03,muck,3.7,Houghton,0.176,0.176,0.1151465,1.3656878,55974.08203,55896.89453,L50A,64,958,0,GBER_CONUS_wet_poly,46.8628311
WCMO,127,5.473,7251.115,0.00075478,4.016,127,LES,2,3,16,19,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,UL,9,8367.573242,75308.15918,Cultivated Crops,All areas are prime farmland,Moderately well drained,Partially Hydric,0.5,None,3.375,loam,4.5,Terril,0.205,0.205,1.00E-05,1.6578903,14100.35645,13862.55469,L91A,83,3854,17.50650437,GBER_CONUS_wet_poly,50.0636253
WCMO,128,13.334,9966.898,0.001337828,5.994,128,LES,2,3,15,16,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,LO,9,18462.34961,166161.1465,Cultivated Crops,Farmland of statewide importance,Very poorly drained,All Hydric,1,Frequent,0.733333333,muck,4,Klossner,0.1933333,0.1933333,0.2700203,0.7383442,13695.54688,13621.85645,L91A,81,11134,121.2902193,GBER_CONUS_wet_poly,109.7049332
WCMO,129,29.285,26501.251,0.001105042,9.127,129,LES,2,3,8,16,Le Sueur,Upper Le Sueur,LS btwn gauges,AB,2,LO,9,42975.10547,386775.9492,Cultivated Crops,Farmland of statewide importance,Very poorly drained,All Hydric,1,Frequent,5.45,muck,4.75,Klossner,0.2475,0.2475,0.2826804,1.1409249,48517.83594,48996.36328,L41C2,80,9731,0,GBER_CONUS_wet_poly,70.1185455
WCMO,130,4.692,7747.372,0.000605625,3.548,130,LES,2,3,15,16,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,LO,9,6491.562012,58424.05811,Cultivated Crops,Prime farmland if drained,Very poorly drained,All Hydric,1,Frequent,1.3,clay loam,5,Harps,0.28,0.28,0.1014707,0.488887,3167.987549,3171.372559,L84A,89,11134,195.913649,GBER_CONUS_wet_poly,182.0461731
WCMO,131,10.475,10019.218,0.001045491,5.336,131,LES,2,3,15,16,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,LO,9,14501.16113,130510.4502,Cultivated Crops,Prime farmland if drained,Somewhat poorly drained,Partially Hydric,0.5,None,1.25,clay loam,4,Derrynane,0.15,0.15,0.3712,0.6794584,9851.46875,9845.94043,L14A,83,5745,294.3623754,GBER_CONUS_wet_poly,122.1561127
WCMO,132,2.854,757.774,0.003766294,2.787,132,LES,2,3,15,16,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,LO,9,3948.141602,35533.27441,Cultivated Crops,Prime farmland if drained,Poorly drained,Partially Hydric,0.5,None,1.75,silty clay loam,5,Mazaska,0.29,0.29,2.3536699,0.500931,1947.619751,1976.342896,L91A,86,9498,192.9508655,GBER_CONUS_wet_poly,171.6803436
WCMO,133,8.858,16134.292,0.000549017,4.907,133,LES,2,3,15,16,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,LO,9,12260.76758,110346.9082,Cultivated Crops,Farmland of statewide importance,Moderately well drained,Partially Hydric,0.5,None,3.566666667,loam,5,Lester,0.2933333,0.2933333,0.4165439,0.385803,4718.756348,4726.881348,L41C2,86,9498,175.0639628,GBER_CONUS_wet_poly,222.9116974
WCMO,134,12.246,45018.189,0.000272023,5.756,134,LES,2,3,15,16,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,LO,9,16954.33008,152588.9707,Cultivated Crops,Not prime farmland,Very poorly drained,All Hydric,1,Frequent,5.488888889,muck,3.666666667,Houghton,0.1933333,0.1933333,1.5004473,0.5559378,9726.6875,9418.836914,L41C2,58,923,0,GBER_CONUS_wet_poly,104.3282242
WCMO,135,4.79,7293.867,0.000656716,3.616,135,LES,2,3,15,16,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,LO,9,6627.274902,59645.47412,Cultivated Crops,All areas are prime farmland,Well drained,Partially Hydric,0.5,None,2.2,clay loam,5,Angus,0.28,0.28,0.3572179,0.5757194,3870.561279,3812.741943,L128A,80,5863,94.37678117,GBER_CONUS_wet_poly,138.9565887
