"Generation","ID","Outlet Sediment","Cost","Dominates","Dominated By"
0,800001,211250.443982,0.000000,0,0
0,800005,205942.144733,1216458.754627,1,0
0,800008,189183.161070,12107655.028845,0,0
0,800006,192599.860124,8131660.997962,1,0
0,800007,201716.365550,5192452.785511,0,0
0,800002,197006.973261,6915202.243335,0,0
0,800003,206754.457709,3975994.030884,0,1
0,800004,193313.470018,10891196.274219,0,1
