Type,ID,SedRed,Cost,Duck,Site_ID,River_x,Zone_x,HYDSB_LES30SB,area_m2
WCMO,13868,15.901,13915.499,5.993,13868,MAP,2,29,13023.10352
WCMO,13869,12.207,8990.766,5.2,13869,MAP,2,29,9748.217773
WCMO,13870,4.473,5585.461,2.899,13870,MAP,2,29,3050.362549
WCMO,13871,27.765,17421.215,8.265,13871,MAP,2,29,24683.25195
WCMO,13872,6.359,5877.879,3.569,13872,MAP,2,29,4573.915039
WCMO,13873,5.192,5713.685,3.205,13873,MAP,2,29,3718.431152
WCMO,13874,6.731,988,3.775,13874,MAP,2,29,5147.666504
WCMO,13875,13.241,8364.994,5.599,13875,MAP,2,29,11192.10156
WCMO,13876,11.649,12727.718,5.035,13876,MAP,2,29,9072.49707
WCMO,13877,353.479,107432.473,30.01,13877,MAP,2,29,324064.2188
WCMO,13878,9.987,12294.193,4.604,13878,MAP,2,29,7630.575195
WCMO,13879,25.322,4142.565,7.81,13879,MAP,2,29,21583.5332
WCMO,13938,7.822,11100.066,4.144,13938,MAP,2,29,5731.549805
WCMO,13939,84.602,18675.633,14.457,13939,MAP,2,29,71252.59375
WCMO,14067,5.582,731.313,3.25,14067,MAP,2,29,3810.276611
WCMO,14068,5.937,5790.426,3.375,14068,MAP,2,29,4118.269043
WCMO,14069,104.09,21990.449,15.573,14069,MAP,2,29,88523.40625
WCMO,14070,27.726,9419.872,7.956,14070,MAP,2,29,23028.35547
WCMO,14072,38.491,20497.757,9.851,14072,MAP,2,29,34915.94922
WCMO,14073,9.041,6307.115,4.338,14073,MAP,2,29,6810.314941
WCMO,14074,5.683,5748.161,3.288,14074,MAP,2,29,3898.060303
WCMO,14075,5.053,5643.217,3.049,14075,MAP,2,29,3351.282715
WCMO,14076,9.483,6489.955,4.645,14076,MAP,2,29,7762.942871
WCMO,14077,53.546,13729.045,11.155,14077,MAP,2,29,45479.94922
WCMO,14078,6.293,5879.646,3.575,14078,MAP,2,29,4583.120117
WCMO,14079,5.77,5762.582,3.306,14079,MAP,2,29,3973.192383
WCMO,14080,346.08,62320.216,28.753,14080,MAP,2,29,298649
WCMO,14081,7.727,1088.237,3.949,14081,MAP,2,29,5669.917969
WCMO,14082,5.951,5792.644,3.389,14082,MAP,2,29,4129.823242
WCMO,14083,23.136,8654.84,7.241,14083,MAP,2,29,19042.39453
WCMO,14084,18.962,14635.657,6.502,14084,MAP,2,29,15418.37793
WCMO,14085,32.34,10189.421,8.621,14085,MAP,2,29,27037.85156
WCMO,14086,18.719,3021.238,6.616,14086,MAP,2,29,15741.21387
WCMO,14087,69.356,34653.407,12.974,14087,MAP,2,29,60220.72266
WCMO,14098,21.396,8352.623,7.174,14098,MAP,2,29,17467.79102
WCMO,14099,527.336,140388.527,36.664,14099,MAP,2,29,458152.9063
WCMO,14106,29.75,9740.144,8.535,14106,MAP,2,29,24697.03516
WCMO,14107,98.917,21065.742,15.762,14107,MAP,2,29,83705.50781
WCMO,14108,5.678,5744.5,3.401,14108,MAP,2,29,3878.98584
WCMO,14109,25.464,15972.868,7.919,14109,MAP,2,29,20987.17578
WCMO,14110,5.441,10705.259,3.309,14110,MAP,2,29,3674.530762
WCMO,14111,5.917,5784.095,3.481,14111,MAP,2,29,4085.278565
WCMO,14112,16.578,13785.235,6.315,14112,MAP,2,29,13300.375
WCMO,14113,22.292,8501.305,7.351,14113,MAP,2,29,18242.45117
WCMO,14450,7.137,6019.053,3.879,14450,MAP,2,29,5309.455566
WCMO,14474,6.372,859.565,3.596,14474,MAP,2,29,4478.491699
WCMO,14475,4.904,616.166,3.053,14475,MAP,2,29,3210.341797
WCMO,14476,43.475,12021.631,10.315,14476,MAP,2,29,36584.00781
WCMO,14477,5.19,5663.626,3.172,14477,MAP,2,29,3457.616455
WCMO,14478,38.322,6164.75,9.64,14478,MAP,2,29,32119.49609
WCMO,14479,11.445,6701.103,5.079,14479,MAP,2,29,8863.06543
WCMO,14480,7.779,11620.614,4.083,14480,MAP,2,29,5694.436523
WCMO,14481,7.451,6038.499,3.986,14481,MAP,2,29,5410.773438
WCMO,14482,11.396,6692.963,5.1,14482,MAP,2,29,8820.654297
WCMO,14483,5.114,5650.991,3.161,14483,MAP,2,29,3391.78418
WCMO,14484,30.247,14822.687,8.622,14484,MAP,2,29,25127.09766
WCMO,14716,14.606,7404.491,5.815,14716,MAP,2,29,12527.84473
WCMO,14717,6.32,5919.677,3.615,14717,MAP,2,29,4791.688477
WCMO,14719,8.287,6272.153,4.236,14719,MAP,2,29,6628.151856
WCMO,14720,426.511,128213.968,32.713,14720,MAP,2,29,393184.2813
WCMO,14754,16.096,7481.937,5.961,14754,MAP,2,29,12931.35156
WCMO,14755,6.699,5917.221,3.626,14755,MAP,2,29,4778.893555
WCMO,14756,19.96,14896.09,6.714,14756,MAP,2,29,16284.58691
WCMO,14757,6.082,11373.985,3.565,14757,MAP,2,29,4569.92627
WCMO,14760,43.483,12048.693,10.02,14760,MAP,2,29,36725.00391
WCMO,14766,343.565,99119.244,28.512,14766,MAP,2,29,296414.0938
WCMO,14767,6.433,5872.984,3.526,14767,MAP,2,29,4548.408203
WCMO,14768,4.842,5654.941,3.055,14768,MAP,2,29,3412.366211
WCMO,14769,108.479,24031.807,16.502,14769,MAP,2,29,99159.25781
WCMO,14770,4.794,11012.378,3.035,14770,MAP,2,29,3367.208984
WCMO,14808,7.453,1079.528,3.973,14808,MAP,2,29,5624.542969
WCMO,14809,24.295,14075.594,7.79,14809,MAP,2,29,21234.60352
WCMO,14810,66.411,34005.328,12.824,14810,MAP,2,29,58637.66406
WCMO,14811,78.602,13157.069,13.909,14811,MAP,2,29,68550.78125
WCMO,14823,21.122,8415.497,7.134,14823,MAP,2,29,17795.37305
WCMO,14824,21.147,3419.761,7.148,14824,MAP,2,29,17817.58984
WCMO,14831,5.167,15978.31,3.139,14831,MAP,2,29,3437.540039
WCMO,14838,19.082,12968.466,6.781,14838,MAP,2,29,15466.25879
WCMO,14839,4.901,5615.763,1.809,14839,MAP,2,29,3208.238281
WCMO,14840,7.216,5999.632,3.951,14840,MAP,2,29,5208.26709
WCMO,14841,5.503,715.49,3.339,14841,MAP,2,29,3727.835938
WCMO,14842,4.799,5598.732,3.057,14842,MAP,2,29,3119.503906
WCMO,15122,6.238,5905.049,3.625,15122,MAP,2,29,4715.476074
