ID,Generation,Outlet.Sediment,SedRed,Duck,Cost,sedbcr,duckbcr,Type,lambdaSedBcr0,lambdaSedBcr0.1,lambdaSedBcr0.2,lambdaSedBcr0.3,lambdaSedBcr0.4,lambdaSedBcr0.5,lambdaSedBcr0.6,lambdaSedBcr0.7,lambdaSedBcr0.8,lambdaSedBcr0.9,lambdaSedBcr1
92,-1,211249.968,0.476,0,1028.0247,0.463023894,0,TLMO Reduced 92,0,0.046302389,0.092604779,0.138907168,0.185209558,0.231511947,0.277814337,0.324116726,0.370419115,0.416721505,0.463023894
93,-1,211250.4155,0.0285,0,19.4536,1.465024468,0,TLMO Reduced 93,0,0.146502447,0.293004894,0.439507341,0.586009787,0.732512234,0.879014681,1.025517128,1.172019575,1.318522022,1.465024468
94,-1,211250.1519,0.2921,0,630.9416,0.462958854,0,TLMO Reduced 94,0,0.046295885,0.092591771,0.138887656,0.185183542,0.231479427,0.277775312,0.324071198,0.370367083,0.416662968,0.462958854
95,-1,211244.7607,5.6833,0,3154.6242,1.801577506,0,TLMO Reduced 95,0,0.180157751,0.360315501,0.540473252,0.720631003,0.900788753,1.080946504,1.261104255,1.441262005,1.621419756,1.801577506
96,-1,211249.3833,1.0607,0,434.9565,2.438634668,0,TLMO Reduced 96,0,0.243863467,0.487726934,0.7315904,0.975453867,1.219317334,1.463180801,1.707044268,1.950907734,2.194771201,2.438634668
97,-1,211250.4234,0.0206,0,360.257,0.057181401,0,TLMO Reduced 97,0,0.00571814,0.01143628,0.01715442,0.02287256,0.028590701,0.034308841,0.040026981,0.045745121,0.051463261,0.057181401
98,-1,211248.8515,1.5925,0,787.3897,2.022505501,0,TLMO Reduced 98,0,0.20225055,0.4045011,0.60675165,0.809002201,1.011252751,1.213503301,1.415753851,1.618004401,1.820254951,2.022505501
99,-1,211250.438,0.006,0,3.3359,1.798615066,0,TLMO Reduced 99,0,0.179861507,0.359723013,0.53958452,0.719446027,0.899307533,1.07916904,1.259030546,1.438892053,1.61875356,1.798615066
100,-1,211250.4234,0.0206,0,150.5388,0.136841798,0,TLMO Reduced 100,0,0.01368418,0.02736836,0.041052539,0.054736719,0.068420899,0.082105079,0.095789258,0.109473438,0.123157618,0.136841798
101,-1,211250.4409,0.0031,0,6.6718,0.464642225,0,TLMO Reduced 101,0,0.046464223,0.092928445,0.139392668,0.18585689,0.232321113,0.278785335,0.325249558,0.37171378,0.418178003,0.464642225
