Join_Count,TARGET_FID,FNODE_,TNODE_,LPOLY_,RPOLY_,LENGTH,DITCHALL_,DITCHALL_I,UNIQUE_ID,MAJOR,MAJOR_NAME,MINOR5,DITCH_NAME,DITCH_TYPE,COUNTY,TWP,RNG,SEC,PEDIGREE,PEDYEAR,ID,SedRed,Cost,Duck,max_flowac,mean_flowl,Join_Cou_1,TARGET_F_1,Subbasin,Area,Elev,ElevMin,ElevMax,SubbasinR,subwatersh,Watershed,budget_rat,Bluff_avgE,River,Subbasin_1,Zone,Subbasin_2,watershed_,Zone_1,gag_loc,Shape_Leng,Shape_Le_1,Le2,X10_,X20_,X30_,X40_,X50_,X60_,X70_,X80_,X90_,Type
1,780,22531,22530,0,0,96.69989329,15937,1027,32025CD47,32,LeSueur River,32025,CD47,PUBLIC DITCH OPEN,WASECA,105,22,17,MSUWRC,1993,977,0.805,10226.592,0,141,145335,1,977,703,4138399.898,364.2234197,356,375,702,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,43,1,24,UL,1,AB,15679.99954,97.10294462,97.10294462,1,1,1,1,1,1,1,1,1,ICMO
1,615,22542,22543,0,0,1812.258196,15947,1035,32025JC6,32,LeSueur River,32025,JC6,PUBLIC DITCH OPEN,FREEBORN-WASECA,105,22,17,MSUWRC,1993,978,15.216,191657.147,0,3196,149137,1,978,781,5699100.07,373.2892036,364,387,731,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,43,1,24,UL,1,AB,16500.00018,1820.057989,1820.057989,1,1,1,1,1,1,1,1,1,ICMO
2,808,22528,22547,0,0,143.5478373,15949,1034,32025JC6,32,LeSueur River,32025,JC6,PUBLIC DITCH OPEN,FREEBORN-WASECA,105,22,17,MSUWRC,1993,979,1.196,15181.043,0,8495,147941,2,979,731,8751399.964,363.9283886,356,373,702,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,43,1,24,UL,1,AB,19179.99931,143.467201,143.467201,1,1,1,1,1,1,1,1,1,ICMO
2,808,22547,22541,0,0,139.7514809,15950,1034,32025JC6,32,LeSueur River,32025,JC6,PUBLIC DITCH OPEN,FREEBORN-WASECA,105,22,17,MSUWRC,1993,980,1.17,14779.555,0,8516,147801,1,980,731,8751399.964,363.9283886,356,373,702,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,43,1,24,UL,1,AB,19179.99931,139.8813018,139.8813018,1,1,1,1,1,1,1,1,1,ICMO
2,851,22548,22549,0,0,205.2798935,15952,1036,32025JC6,32,LeSueur River,32025,JC6,PUBLIC DITCH OPEN,FREEBORN-WASECA,105,22,17,MSUWRC,1993,981,1.721,21709.577,0,3216,152724,1,981,801,7569399.941,378.4755595,363,393,731,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,43,1,24,UL,1,AB,23759.99973,205.1612696,205.1612696,1,1,1,1,1,1,1,1,1,ICMO
2,851,22549,22550,0,0,112.0740038,15953,1036,32025JC6,32,LeSueur River,32025,JC6,PUBLIC DITCH OPEN,FREEBORN-WASECA,105,22,17,MSUWRC,1993,982,0.939,11852.496,0,3245,152555,1,982,801,7569399.941,378.4755595,363,393,731,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,43,1,24,UL,1,AB,23759.99973,112.4431554,112.4431554,1,1,1,1,1,1,1,1,1,ICMO
2,851,22550,22551,0,0,423.8286985,15954,1036,32025JC6,32,LeSueur River,32025,JC6,PUBLIC DITCH OPEN,FREEBORN-WASECA,105,22,17,MSUWRC,1993,983,3.556,44822.421,0,3329,152274,1,983,801,7569399.941,378.4755595,363,393,731,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,43,1,24,UL,1,AB,23759.99973,425.6604884,425.6604884,1,1,1,1,1,1,1,1,1,ICMO
2,851,22551,22552,0,0,407.9165985,15955,1036,32025JC6,32,LeSueur River,32025,JC6,PUBLIC DITCH OPEN,FREEBORN-WASECA,105,22,17,MSUWRC,1993,984,3.422,43139.621,0,3976,151862,1,984,801,7569399.941,378.4755595,363,393,731,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,43,1,24,UL,1,AB,23759.99973,407.0353222,407.0353222,1,1,1,1,1,1,1,1,1,ICMO
2,851,22553,22554,0,0,958.6012493,15956,1036,32025JC6,32,LeSueur River,32025,JC6,PUBLIC DITCH OPEN,FREEBORN-WASECA,105,22,17,MSUWRC,1993,985,8.044,101377.817,0,5739,151158,1,985,801,7569399.941,378.4755595,363,393,731,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,43,1,24,UL,1,AB,23759.99973,958.7876031,958.7876031,1,1,1,1,1,1,1,1,1,ICMO
2,851,22554,22527,0,0,2109.513403,15957,1036,32025JC6,32,LeSueur River,32025,JC6,PUBLIC DITCH OPEN,FREEBORN-WASECA,105,22,17,MSUWRC,1993,986,17.713,223093.664,0,8191,149416,1,986,801,7569399.941,378.4755595,363,393,731,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,43,1,24,UL,1,AB,23759.99973,2113.828087,2113.828087,1,1,1,1,1,1,1,1,1,ICMO
