ld,Name_str,mean,std,q25,q50,q75
lambda0.0,BS,431.73062070392365,5705.441307458869,1.9799332958411138,4.951505502119644,18.010052455056698
lambda0.0,BS+CC,167.75074820158963,2216.8732127129947,0.7693114081763529,1.9239282850740598,6.997881617846943
lambda0.0,BS+CC+FM,147.4667273856927,1948.8141854063774,0.6762881055404468,1.6912914604928764,6.151714444672781
lambda0.0,BS+FM,240.50108257434783,3178.2892970875882,1.1029472505294946,2.758299681618555,10.032730839428623
lambda0.0,BS+GW,234.3622320587164,3097.1626648021756,1.0747942450413182,2.687893389715326,9.776642865821358
lambda0.0,BS+GW+CC,139.0972467063077,1838.2091495340446,0.6379053439957708,1.5953021383403474,5.802573617432994
lambda0.0,BS+GW+CC+FM,124.0193901576728,1638.9510440045854,0.568757711701625,1.4223746551356413,5.173586526112086
lambda0.0,BS+GW+FM,156.05992139907144,2062.3756557672305,0.715696825072479,1.7898465441435378,6.510187685892241
lambda0.0,CC,141.79062500527365,1873.8028995869815,0.650257280867249,1.6261924130326473,5.914930448566719
lambda0.0,CC+FM,119.7691946930398,1582.783518223921,0.5492661511990617,1.3736292912003667,4.99628558985355
lambda0.0,FM,6.5347729070063085,86.35885779356302,0.029968720861741342,0.07494711390029987,0.2726042518021405
lambda0.0,GW,27.241630720939103,360.00579468829375,0.12493117029654618,0.3124334432927462,1.1364104715237726
lambda0.0,GW+CC,93.46563757681065,1235.174629469753,0.4286370226731149,1.0719545858621848,3.899007748764897
lambda0.0,GW+CC+FM,80.9135033153592,1069.2946527488814,0.3710724503071461,0.9279945355938385,3.375383558979459
lambda0.0,GW+FM,16.344060211665756,215.99134226613657,0.07495449118143788,0.18744953492779293,0.6818079784583373
lambda0.0,NCMO,520.1238661307603,6873.582851221369,2.385308132267351,5.965284974994592,21.69746055275974
lambda0.0,RAMO,5279.907666663152,69775.46149455906,24.213860418675946,60.555102205954505,220.2563577246747
lambda0.0,Sub ISO-M-L,242.97191992016917,3210.942105993927,1.1142786059974543,2.786637640813411,10.135804163562097
lambda0.0,Sub ISO-M-M,260.27786355992373,3439.6450076917954,1.1936443317188126,2.985118987843882,10.857738021827803
lambda0.0,Sub ISO-M-S,274.4497081234355,3626.929910587292,1.2586369580676966,3.1476554468446363,11.44892996359372
lambda0.0,Sub ISO-P-L,154.99443760423992,2048.294988416024,0.7108104752506232,1.7776265425510478,6.465740018493436
lambda0.0,Sub ISO-P-M,179.22761133015194,2368.543179663648,0.8219447456102407,2.055556083064142,7.47664985214057
lambda0.0,Sub ISO-P-S,211.76521846849283,2798.5367888968226,0.971163468236771,2.428728920581706,8.833987004571604
lambda0.0,Sub InC-M-L,567.3854900596932,7498.158474284811,2.6020517643957417,6.507327118175585,23.66902403529295
lambda0.0,Sub InC-M-M,1727.3659222873673,22827.625406894287,7.921766813902918,19.811107802440244,72.05870831850892
lambda0.0,Sub InC-M-S,8018.935989319991,105972.48942115404,36.775150061365466,91.9689356467791,334.5175229079652
lambda0.0,Sub InC-P-L,385.111606784634,5089.357956005964,1.7661366980283713,4.4168334338091135,16.065296058763856
lambda0.0,Sub InC-P-M,1119.8101258893566,14798.60506151443,5.135492473647967,12.843068649219036,46.71394184199371
lambda0.0,Sub InC-P-S,4831.354744920969,63847.708758103785,22.15677940075756,55.41066223925266,201.54454702133856
lambda0.1,BS,5766.360561182409,95738.22735343048,2.105823031478084,6.212008616801121,38.039370763622294
lambda0.1,BS+CC,2139.0070918156352,35513.691017762874,0.7811461580745628,2.304318355533562,14.110543898231036
lambda0.1,BS+CC+FM,1879.619068952995,31207.101229959484,0.6864199842881439,2.024883759652639,12.399420032731433
lambda0.1,BS+FM,2494.766116811059,41420.31757305104,0.9110661553662226,2.687571900872597,16.457405373631136
lambda0.1,BS+GW,3153.682635076951,52360.23344604231,1.1516965435050333,3.397412197154898,20.80412796835068
lambda0.1,BS+GW+CC,1840.1350546531598,30551.55263951737,0.6720007772674251,1.9823482583682372,12.138952959392588
lambda0.1,BS+GW+CC+FM,1644.4936435824088,27303.340583732075,0.6005542929603143,1.7715868745664842,10.848351011512907
lambda0.1,BS+GW+FM,1956.4880015193985,32483.347358583214,0.7144918273312509,2.1076934394151676,12.906506919698044
lambda0.1,CC,1598.0757607291944,26532.669763773072,0.5836028994864545,1.7215816268546273,10.542142782391421
lambda0.1,CC+FM,1355.660896532844,22507.883395311495,0.49507517063894807,1.460431945135863,8.942986989072898
lambda0.1,FM,64.0669673417658,1063.6965587099978,0.023396680445799248,0.06901832602326158,0.42263523041205414
lambda0.1,GW,366.9530591365395,6092.479828636842,0.13400795791420494,0.39531270046878486,2.4207059758465697
lambda0.1,GW+CC,1226.5085459206116,20363.581634269995,0.4479098934067878,1.3212981697899149,8.090998269705592
lambda0.1,GW+CC+FM,1060.817255885268,17612.62802539019,0.3874009240196574,1.142801575532999,6.997970466972258
lambda0.1,GW+FM,206.01729359759338,3420.481651105843,0.07523566331614098,0.22193915719621174,1.3590492879740996
lambda0.1,NCMO,6959.051750041955,115540.34326171062,2.5413831301387146,7.496875885118312,45.90728361058282
lambda0.1,RAMO,70643.07769817828,1172878.9696472655,25.798216822018396,76.10266522918415,466.01633663597306
