,Name,mean,std,q25,q50,q75
61,Sub017 ISO-P-L,158.3409809,984.5570069,0.107207449,0.405240091,3.580497265
62,Sub017 ISO-M-S,5493.473497,34158.16798,3.719449473,14.05937798,124.22158
63,Sub017 ISO-M-M,2921.502326,18165.76839,1.978052737,7.476964349,66.06268971
64,Sub017 ISO-M-L,562.0789943,3494.981584,0.380565123,1.438521737,12.71005327
65,Sub018 ISO-P-L,0.443188359,2.75572503,0.000300068,0.001134246,0.01002163
66,Sub019 ISO-M-S,14665.49844,91189.40131,9.929524642,37.53322667,331.6246796
67,Sub019 ISO-M-L,102.8284109,639.3823754,0.069621721,0.263167465,2.325215128
68,Sub019 ISO-P-M,4316.862783,26842.05616,2.922805219,11.04809291,97.61538234
69,Sub019 ISO-P-S,10171.13881,63243.67782,6.886542167,26.03086829,229.9956365
70,Sub019 ISO-P-L,2599.159394,16161.45472,1.759804984,6.651996115,58.77368606
71,Sub020 ISO-P-S,803.759264,4997.738493,0.544198852,2.057051028,18.17506643
72,Sub020 ISO-P-M,47.56945715,295.7847178,0.032207708,0.121743916,1.075667905
73,Sub020 ISO-P-L,243.9574443,1516.916276,0.165175528,0.624357235,5.516505942
74,Sub020 ISO-M-S,1106.657413,6881.145387,0.749281185,2.83225447,25.02437346
75,Sub020 ISO-M-M,64.08878067,398.501119,0.043392397,0.164021614,1.449212343
76,Sub020 ISO-M-L,330.6362235,2055.880978,0.223862867,0.84619315,7.476536317
77,Sub021 ISO-M-L,254.7993,1584.330442,0.172516191,0.65210466,5.761668216
78,Sub021 ISO-M-M,964.6640896,5998.237369,0.653142195,2.468852734,21.81353883
79,Sub021 ISO-M-S,1869.286892,11623.14075,1.265632418,4.784042554,42.26938956
80,Sub021 ISO-P-L,212.6449365,1322.216529,0.143974864,0.544219525,4.80844952
81,Sub021 ISO-P-S,1370.59142,8522.275023,0.927982185,3.507737473,30.99260093
82,Sub021 ISO-P-M,665.4591946,4137.794961,0.450560443,1.70310139,15.04774577
83,Sub022 ISO-P-S,1421.131682,8836.532065,0.962201326,3.637084531,32.13544637
84,Sub022 ISO-P-M,1242.04971,7723.008525,0.840950838,3.178762283,28.08594191
85,Sub022 ISO-P-L,425.1426485,2643.517624,0.287850046,1.088062261,9.613569915
86,Sub022 ISO-M-S,3445.087905,21421.39967,2.33255524,8.816970368,77.90230773
