"WCMOid","Xcoordinates","Ycoordinates","Easting","Northing","SemipermanentNP","TemporalNP","SeasonalNP"
1,176961.648215,2360913.8918,5.17593303234462,7.76680406534885,0.117802849184389,6.25754467263571,2.95316008188993
2,176699.563248,2360772.93813,5.17445090760783,7.76674436055473,0.117440963543481,6.25851126449406,2.95289121639461
3,177429.706928,2360734.60701,5.17857451317287,7.76672812374069,0.118396464643972,6.25877415651496,2.95434226942554
4,176967.759708,2360702.02744,5.1759675674404,7.76671432303869,0.117784387915952,6.25899761386297,2.95351758566896
5,168699.558235,2361493.29475,5.12811937090593,7.76704944992922,0.107257483527462,6.25357358184612,2.93616652341944
6,179547.977302,2359581.25748,5.19044245523409,7.76623944900532,0.121057776709381,6.26669151195655,2.96022923545827
7,177369.378472,2360580.13727,5.17823444207875,7.76666268868777,0.118297609926185,6.25983373450061,2.9544800177795
8,176625.661715,2360548.9966,5.17403258743787,7.76664949664446,0.117316037480182,6.26004737260022,2.95311596625992
9,177316.26473,2360253.95394,5.1779349445185,7.76652449983207,0.118186783474686,6.26207199112643,2.95491197582177
10,177000.014981,2360185.48911,5.17614981721224,7.76649549201158,0.11776219469405,6.26254193487808,2.95442253723894
11,177497.946189,2360172.14237,5.17895903808233,7.76648983704174,0.118415852781448,6.26263355282275,2.95539065598173
12,176567.662638,2360148.75634,5.17370416063293,7.76647992838066,0.117190047807012,6.26279408938904,2.95365893451644
13,177618.836707,2359735.68751,5.17963988747325,7.76630489492975,0.118520453508759,6.26563059696295,2.95633347632103
14,176424.588917,2359472.76804,5.17289352681191,7.76619346968852,0.116918333182506,6.2674369697999,2.95449025936514
15,176767.835482,2359607.21328,5.17483720764621,7.76625044911696,0.117385048513311,6.26651318144379,2.95492525575726
16,176484.440517,2359258.19538,5.17323271677636,7.76610252461799,0.116969998078489,6.26891171386872,2.95495518785967
17,168130.677649,2359201.12837,5.12474152018887,7.76607833578596,0.106274035128703,6.26930401274978,2.93875803758877
18,180011.129455,2359171.12011,5.19301867928435,7.76606561603499,0.121623394625511,6.26951031383534,2.96177055895285
19,180909.905099,2359219.24263,5.19799914545728,7.76608601388947,0.122832640075261,6.26917948520994,2.96337376652283
20,179306.947555,2359746.62278,5.18909912807568,7.766309529027,0.12075783085017,6.26555548246729,2.9595052705069
21,178740.00456,2359603.81047,5.18593226146516,7.76624900700726,0.119986534863978,6.266536560205,2.95867068472945
22,178908.194977,2359362.63346,5.18687279705078,7.76614679097624,0.120179235226828,6.26819385757896,2.95938266494399
23,178364.154931,2359594.28012,5.18382727468306,7.76624496803715,0.11948729674285,6.26660203843241,2.9579763731904
24,178648.264584,2359195.20983,5.18541887036682,7.76607582707768,0.119813289199288,6.26934470084253,2.95916622433815
25,175627.984562,2359786.07612,5.16836803389095,7.76632624819922,0.115916238208899,6.26528448739857,2.95245477890663
26,175972.408211,2359775.04043,5.1703272112198,7.76632157162454,0.116364444721394,6.26536028714017,2.95313229485736
27,175673.65825,2359657.23671,5.16862805936587,7.76627164878929,0.115959835633444,6.26616951302428,2.95275268225571
28,174863.31901,2359449.17744,5.1640046345288,7.76618347138795,0.114879644864763,6.26759908293665,2.95153640190201
29,175241.864009,2359466.73888,5.16616709978139,7.76619091438558,0.115373780768478,6.26747840125957,2.95223543188311
30,175641.306232,2359278.05759,5.1684438826506,7.76611094341947,0.115870656835358,6.26877518197252,2.95330999120927
31,175452.767669,2359301.3741,5.16736987659275,7.76612082627101,0.115627863267432,6.26861491064162,2.95291033555464
32,174676.483376,2359187.14599,5.16293559660798,7.76607240902488,0.114604943480491,6.26940013778433,2.95160448300537
33,173749.413521,2359251.42361,5.1576141090205,7.7660996543176,0.113413804137258,6.26895826363927,2.94970955728776
34,170239.349433,2359017.98341,5.13720538467629,7.76600070269782,0.108902483549849,6.27056324614578,2.94323479715352
35,168826.467521,2359017.2394,5.12887136798051,7.76600038730806,0.107123207212615,6.27056836238388,2.94044103297759
36,167962.105105,2359750.98086,5.12373838910849,7.76631137586764,0.106128342253635,6.26552554711348,2.93752850030657
37,168261.831724,2359713.81427,5.12552128833466,7.76629562552661,0.106498473821557,6.26578084824723,2.93818600658513
38,176994.941537,2359203.34874,5.17612115327844,7.76607927693885,0.117632767668178,6.26928874850192,2.95601803989262
39,176606.181159,2359033.91017,5.17392228845768,7.76600745411148,0.117101557613305,6.27045372602688,2.95555415350359
40,168218.545673,2361227.83155,5.12526400110993,7.76693703033332,0.106623181855482,6.25539256998518,2.93564157031879
41,167207.433338,2359102.52384,5.11923515742554,7.76603653918393,0.105112219878928,6.26998193551002,2.93707408058905
42,166789.657063,2358915.6252,5.11673347998648,7.76595731157853,0.104571943048615,6.27126717409658,2.93654017139563
43,168089.995287,2360755.55101,5.12449952220675,7.76673699551604,0.106406604668198,6.25863051126756,2.93615210763325
45,166335.302673,2358854.10418,5.11400564673075,7.76593123102626,0.104002454843802,6.27169031320504,2.93572704481206
46,167020.28194,2358827.86721,5.11811525378497,7.76592010820359,0.10484767407327,6.27187078207379,2.93714537427037
47,175340.440816,2358886.27996,5.16672946022138,7.76594487136141,0.1154302872899,6.27146900454284,2.95337283795673
48,175099.434999,2358808.48882,5.1653540125533,7.76591189290739,0.115107282318267,6.27200407937971,2.95303686911225
49,186609.736013,2358807.60869,5.22901946289886,7.7659115197825,0.130544249248429,6.27201013358571,2.97454901603712
51,186972.214864,2358768.97839,5.23096002219997,7.7658951426027,0.131040849576666,6.2722758702611,2.97527071720799
52,166553.775423,2358704.77426,5.11531823278865,7.76586792289428,0.104255226483632,6.27271756308134,2.93640895224723
53,166737.605933,2358725.34348,5.11642135479495,7.7658766434135,0.104485222596596,6.27257605227463,2.93674482508189
54,176701.339305,2358775.98594,5.17446095883852,7.76589811344878,0.117194137412331,6.27222766437569,2.95615743772289
55,175843.063789,2358632.61182,5.16959191423532,7.7658373283304,0.116053790032928,6.27321405663689,2.95475139064037
56,184869.540564,2358522.27814,5.21965039017708,7.76579054857328,0.128111450487696,6.2739732821216,2.97184279290888
57,185122.116356,2358504.44869,5.2210156957266,7.76578298895955,0.128455375779693,6.27409598166467,2.97233470369858
58,181961.797286,2358406.71984,5.20379676002167,7.76574155131253,0.124143534187433,6.27476859574091,2.96666627777755
59,179690.830346,2358734.42161,5.19123776491939,7.76588049215009,0.121140590202062,6.27251359854329,2.96188477423139
60,180582.299607,2358866.59461,5.19618662735911,7.76593652613837,0.122348383187972,6.27160440132577,2.96333955294627
61,181028.244217,2358468.61165,5.1986530644898,7.76576779402859,0.122895371836313,6.27434261674799,2.96482565274564
62,180405.297819,2358374.46636,5.19520597426495,7.7657278752573,0.122048679881505,6.2749906006979,2.96381519213874
63,173877.014547,2358305.6426,5.15834823635621,7.76569869212068,0.113462636048526,6.2754643601313,2.9515004156676
64,173511.976305,2358855.64409,5.15624662469914,7.76593188384726,0.113059341200743,6.2716797212828,2.94989553422967
65,173241.125148,2358538.93127,5.15468441106096,7.76579760938053,0.112672125291937,6.27385868083766,2.94988708522274
66,173621.99949,2358219.49777,5.1568805193701,7.7656621631815,0.113123321285106,6.27605742182993,2.95114729133085
67,186814.813797,2358561.33627,5.23011782563223,7.76580710886061,0.13079537347058,6.27370450168293,2.97532687188082
68,187160.114562,2358302.20858,5.23196447810512,7.76569723598097,0.131239365075587,6.27548800005991,2.97638003381617
69,173578.533936,2357933.65854,5.15663014213826,7.76554094607049,0.113032407113225,6.27802583092505,2.95152991858424
70,176732.617086,2357851.40834,5.17463795247774,7.76550606314056,0.11711987425041,6.27859239897293,2.95772994899722
71,182818.742099,2357663.52672,5.2084951816583,7.76542637656436,0.125205965423429,6.27988685902263,2.96947681311478
72,183558.429664,2358433.57632,5.21253303459791,7.76575293880005,0.126309905253372,6.27458374735614,2.96957822698596
73,175585.585455,2357533.54946,5.16812659044556,7.76537124535439,0.115582073794859,6.28078258824531,2.95605528907253
74,178440.734975,2358985.52969,5.18425652914309,7.76598694530238,0.119511935864227,6.27078642185849,2.95911735061161
75,177760.877625,2358402.43576,5.18043926301347,7.76573973479638,0.118540425425856,6.27479808300141,2.95878429516569
76,175165.899043,2357482.65812,5.16573351939191,7.7653496584339,0.11503000814344,6.28113335062502,2.95533221061374
77,188859.417566,2358259.75844,5.24100291588439,7.76567923552204,0.133600096753251,6.2757802386891,2.97951841233541
78,189276.833053,2357713.24778,5.24321066854425,7.76544746546664,0.134111210489045,6.27954425664259,2.98116995132138
79,186925.85881,2357697.59244,5.23071206128495,7.76544082539199,0.130834693360331,6.27965212678363,2.97695107823104
80,175043.957728,2357135.02482,5.16503712939848,7.7652021880242,0.114828817885785,6.28353009752781,2.95566636061989
81,166490.314389,2357330.5167,5.11493713589061,7.76528512080986,0.104016567159252,6.28218212887061,2.93851544058935
82,176142.795137,2357360.66457,5.17129500208869,7.76529790971536,0.11628721438709,6.2819742869505,2.95740622505691
83,176725.673386,2357312.90798,5.17459866241049,7.76527765101059,0.117043670295704,6.28230352925989,2.95859846233942
84,172090.756754,2357473.20057,5.14802199319873,7.76534564671023,0.111068852163908,6.28119853863246,2.94938651902313
85,172160.978732,2357184.01155,5.1484299619712,7.7652229701264,0.111123521512552,6.28319228330535,2.94999592930424
87,170306.93856,2357979.99751,5.13760232999779,7.76556059824115,0.108863787812883,6.27770666316607,2.94505895541316
88,169893.735301,2357693.24392,5.13517315513756,7.76543898099768,0.108307903913856,6.2796820898891,2.94471082457604
89,170654.306619,2357371.74108,5.13963991159449,7.7653026083956,0.109230424511782,6.28189792696545,2.94673505602288
90,170512.547969,2357320.57865,5.13880888914168,7.76528090499418,0.109044894720568,6.28225064470241,2.94653935917692
91,170695.88703,2357191.01495,5.13988353478252,7.76522594120951,0.109261417290147,6.28314398966871,2.94711174273763
92,170357.035982,2357131.40342,5.13789644634766,7.7652006516664,0.108825638597659,6.28355507182993,2.94654145745027
93,170411.578564,2357009.30345,5.13821656140601,7.76514885008574,0.108879974378659,6.28439719180075,2.94684819122971
94,170496.155087,2356907.24365,5.13871274565991,7.76510554859791,0.108974696367007,6.28510121537028,2.94718142035055
95,169948.840464,2356994.71084,5.13549745331214,7.76514265891155,0.108294093752878,6.28449784707954,2.94595867545665
96,182517.576649,2358120.04949,5.20684647879048,7.76561999137473,0.124857305698955,6.27674216740695,2.96816869207429
97,181931.162903,2357363.17481,5.20362838972368,7.7652989745667,0.123967949750193,6.28195698157741,2.96832323314987
98,182518.731113,2357220.05517,5.20685280399142,7.76523826097525,0.124742681345929,6.28294374130761,2.96964981924924
99,181510.050661,2357852.32523,5.20131102771444,7.76550645200723,0.123463763878244,6.27858608272428,2.96673579087698
