Subbasin,WLD_w,CC_w,NM_w,ASC_w,GW_w,Buffer_w
1,295.0883315485521,110.58298813810808,125.30893990817742,75.44111230927098,1.9399999999999995,0.9599999999999997
2,260.051463719075,75.61803594525574,90.27932883942042,40.32750788948592,1.9400000000000002,0.9600000000000001
3,257.8732369,73.44428009,88.10155317,38.14451039,1.94,0.96
4,283.7829765402522,99.3008381664755,114.00592644069535,64.11099668595891,1.94,0.96
5,258.56433594660194,74.1339606071789,88.79250907765358,38.837123058900005,1.9400000000000002,0.9600000000000001
6,260.34176052346453,75.90773689502724,90.56956551816008,40.61844049234507,1.9399999999999997,0.9599999999999999
7,257.8732369,73.44428009,88.10155317,38.14451039,1.94,0.96
8,257.8732369,73.44428009,88.10155317,38.14451039,1.94,0.96
9,257.8732369,73.44428009,88.10155317,38.14451039,1.94,0.96
10,257.8732369,73.44428009,88.10155317,38.14451039,1.94,0.96
11,257.8732369,73.44428009,88.10155317,38.14451039,1.94,0.96
12,257.8732369,73.44428009,88.10155317,38.14451039,1.94,0.96
13,257.8732369,73.44428009,88.10155317,38.14451039,1.94,0.96
14,257.8732369,73.44428009,88.10155317,38.14451039,1.94,0.96
15,257.8732369,73.44428009,88.10155317,38.14451039,1.94,0.96
16,257.8732369,73.44428009,88.10155317,38.14451039,1.94,0.96
17,257.8732369,73.44428009,88.10155317,38.14451039,1.94,0.96
18,254.94370216582126,70.50073525356821,85.17914373993163,35.22661443330087,1.9181369333602492,1.0644568739454758
19,233.2823839138632,48.69527851460612,63.56562999377775,13.63434989100072,1.76,1.82
20,232.92083501155912,48.30092992023165,63.201220280322,13.261206603116626,1.7599999999999998,1.8199999999999998
21,231.9748276,47.26910078,62.24772744,12.28486201,1.76,1.82
22,257.8722638963143,73.4432966880602,88.10058184131977,38.1435388425627,1.9399932373968842,0.960032310214888
23,257.8732369,73.44428009,88.10155317,38.14451039,1.94,0.96
24,231.9748276,47.26910078,62.24772744,12.28486201,1.76,1.82
25,231.9748276,47.26910078,62.24772744,12.28486201,1.76,1.82
26,241.50669171488636,56.90972066444317,71.76588001200236,21.8117880796107,1.8345131962386434,1.4639925068598152
27,257.8732369,73.44428009,88.10155317,38.14451039,1.94,0.96
28,257.8732369,73.44428009,88.10155317,38.14451039,1.94,0.96
29,257.8732369,73.44428009,88.10155317,38.14451039,1.94,0.96
30,257.52877180370587,73.09569947654087,87.75812538706512,37.80209031456667,1.9399999999999997,0.9599999999999999
31,241.94512564266472,57.325866778868836,72.22140741852465,22.310961165639085,1.9400000000000002,0.96
32,240.7144987851152,56.08053693396169,70.99448643914198,21.08764029532203,1.94,0.96
33,245.6273746899476,61.05210971500429,75.89256783543567,25.971349431677865,1.94,0.96
34,241.7227874274801,57.10087216467354,71.99973874694076,22.089942928278397,1.9399999999999997,0.9599999999999997
35,237.03967936757766,52.35983226610389,67.33133059798213,17.43549477688072,1.9399999999999997,0.9599999999999999
36,237.94834044045766,53.27091822501442,68.23979874229516,18.342411383977552,1.9400000000000002,0.9600000000000002
37,236.8262788,52.14586221,67.11797534,17.2225039,1.94,0.96
38,236.8262788,52.14586221,67.11797534,17.2225039,1.94,0.96
39,236.8262788,52.14586221,67.11797534,17.2225039,1.94,0.96
40,236.71830848793803,52.0378908914035,67.01012041534385,17.11367152409481,1.9382834696496107,0.9682012005629705
41,231.09061017074785,46.40406145496919,61.3617216152706,11.403154407075165,1.7599999999999996,1.8199999999999996
42,231.9748276,47.26910078,62.24772744,12.28486201,1.76,1.82
43,231.9748276,47.26910078,62.24772744,12.28486201,1.76,1.82
44,231.9748276,47.26910078,62.24772744,12.28486201,1.76,1.82
45,278.8512097442973,94.28294241547283,109.13398347474272,59.16675453757099,1.94,0.96
46,237.20465973864526,52.5252529097979,67.4962759401181,17.60015841531736,1.9400000000000002,0.9600000000000001
47,244.22922562612186,59.568564809621435,74.51935035902574,24.611238400076587,1.94,0.9599999999999999
48,236.8262788,52.14586221,67.11797534,17.2225039,1.94,0.96
49,236.8262788,52.14586221,67.11797534,17.2225039,1.94,0.96
50,236.8262788,52.14586221,67.11797534,17.2225039,1.94,0.96
51,232.90417920582667,48.23081334379411,63.2067945008186,13.282401314992876,1.9065029191672753,1.1200416084230183
52,268.5999644151259,83.99292265713072,98.86481803993816,48.967658711821926,1.9399999999999997,0.9599999999999999
53,303.89506641194095,119.36953147726427,134.13010217297378,84.23106789135221,1.94,0.9600000000000001
54,254.37080298380215,69.73090188609302,84.64767763060479,34.751274186863284,1.9399999999999997,0.9599999999999997
55,231.26700057794795,46.59657785921459,61.574173623676884,11.637707806085974,1.8925204326141205,1.1868468219547577
56,235.63694358787808,50.95866505654828,65.93195112482566,16.02770947135181,1.9298423645853258,1.0085309247589986
57,235.96295954654778,51.284094938862125,66.25705948584502,16.355221889296676,1.932626736235791,0.9952278157623293
58,217.49432348387387,32.848659799744915,47.839838362379524,-2.1981878201869023,1.774893517023148,1.7488420853338484
59,215.75047430000004,31.10794552,46.10084389,-3.950041518,1.76,1.82
60,218.73433651333477,34.08644366741709,49.07639931263375,-0.9524829558638173,1.7854839713663244,1.6982432479164506
61,223.34606403369088,38.6745781965225,53.66076313300267,3.651670221703844,1.7625640278334367,1.8077496447958032
62,215.75047430000004,31.10794552,46.10084389,-3.950041518,1.76,1.82
63,232.00809808403358,47.30445865352037,62.28057351622026,12.318157327176953,1.76,1.8199999999999998
64,233.55044427043228,48.943571608061845,63.80324509338585,13.861654723276706,1.7599999999999998,1.82
65,226.18268432004288,41.50547979382891,56.48252717533774,6.488960865387751,1.7599999999999998,1.8199999999999998
66,215.75047430000004,31.10794552,46.10084389,-3.950041518,1.76,1.82
67,240.316709051386,55.72186578536949,70.5568749508372,20.63086463683966,1.76,1.8200000000000003
68,235.80086472217096,51.19337350340908,66.0665091606891,16.112021872117342,1.76,1.82
69,255.00106180000003,70.18700388,85.26984466,35.23543561,1.76,1.82
70,255.00106180000003,70.18700388,85.26984466,35.23543561,1.76,1.82
71,255.00106180000003,70.18700388,85.26984466,35.23543561,1.76,1.82
72,250.19104080438558,65.41235153793049,80.46588785133548,30.46824913422916,1.7600000000000002,1.8200000000000003
73,253.69251772409888,68.88460478569428,83.9600457698763,33.92274001571128,1.7600000000000002,1.8200000000000003
74,240.5261951926079,55.816667275826745,70.81163535343859,20.880810420748197,1.7600000000000002,1.8200000000000003
75,255.00106180000003,70.18700388,85.26984466,35.23543561,1.76,1.82
76,249.73091603121193,64.9556101166601,80.00634317597174,30.012221894880295,1.7599999999999996,1.8199999999999998
77,236.83971683265776,52.15919443089293,67.13139058282647,17.23579044300632,1.7600000000000002,1.8200000000000003
78,236.8262788,52.14586221,67.11797534,17.2225039,1.76,1.82
79,231.01317692406474,46.406208643551224,61.28949340880142,11.385596099068394,1.7600000000000002,1.8199999999999998
80,222.4095129,37.91125157,52.66306618,2.746698187,1.76,1.82
81,222.6381799124731,38.13495894285039,52.89219568850333,2.9747161345834874,1.7600000000000002,1.8200000000000003
82,222.4095129,37.91125157,52.66306618,2.746698187,1.76,1.82
83,222.4095129,37.91125157,52.66306618,2.746698187,1.76,1.82
84,222.4095129,37.91125157,52.66306618,2.746698187,1.76,1.82
85,222.78494242579316,38.282787467511845,53.03851124314659,3.121242487671838,1.76,1.82
86,230.17243123970712,45.53446426839359,60.436667602046455,10.488798904908068,1.7599999999999998,1.8199999999999998
87,224.587662965808,40.071236884243184,54.840531797473986,4.919900284707563,1.7599999999999998,1.8199999999999998
88,228.47228472045072,43.92346271254266,58.72393287272915,8.795697585596583,1.7600000000000002,1.8200000000000003
89,222.4095129,37.91125157,52.66306618,2.746698187,1.76,1.82
90,230.10206279698332,45.539649203109406,60.35319881793215,10.421773396587412,1.7599999999999998,1.8199999999999998
91,233.7713403,49.17832665,64.02132331,14.08271563,1.76,1.82
92,233.7713403,49.17832665,64.02132331,14.08271563,1.76,1.82
93,275.6024473156517,91.0792502545768,105.86199633556238,55.887867068664264,1.8951321738508766,1.1743685027124788
94,244.1653399643103,59.50959173453685,74.47166978296379,24.519108967780394,1.7727159955647838,1.7592457989682553
95,294.2700513151085,109.77551717236882,124.50924595297707,74.55994026971027,1.939867057467013,0.9606351698798254
96,304.96253679983397,120.43946712809391,135.19667120843357,85.29757905919669,1.9399962468414662,0.9600179317574381
97,244.96823507701583,60.29167788918631,75.27820426504172,25.304454955270565,1.7691030091943047,1.7765078449605443
