County,State,WLD,CC,NM,ASC_obs,Subbasin,Area_acre,inter_acre
Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,46,22924,22763
Codington,South Dakota,290.8774373,106.3412636,121.1576576,71.1698939,47,17823,2441.13
Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,47,17823,15382.3
Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,48,14075,14074.6
Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,49,17965,17964.6
Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,50,21090,21090
Lac qui Parle,Minnesota,215.7504743,31.10794552,46.10084389,-3.950041518,51,26605,4951.09
Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,51,26605,21654.1
Deuel,South Dakota,304.9638922,120.4408255,135.198025,85.29893394,52,16223,7565.13
Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,52,16223,8658.04
Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,53,25060,393.095
Deuel,South Dakota,304.9638922,120.4408255,135.198025,85.29893394,53,25060,24666.7
Deuel,South Dakota,304.9638922,120.4408255,135.198025,85.29893394,54,16807,4327.57
Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,54,16807,12479.4
Lac qui Parle,Minnesota,215.7504743,31.10794552,46.10084389,-3.950041518,55,14911,3933.21
Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,55,14911,10978
Lac qui Parle,Minnesota,215.7504743,31.10794552,46.10084389,-3.950041518,56,31420,1773.07
Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,56,31420,29646.9
Lac qui Parle,Minnesota,215.7504743,31.10794552,46.10084389,-3.950041518,57,11014,451.173
Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,57,11014,10563.1
Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,58,21022,1739.37
Lac qui Parle,Minnesota,215.7504743,31.10794552,46.10084389,-3.950041518,58,21022,19282.3
Lac qui Parle,Minnesota,215.7504743,31.10794552,46.10084389,-3.950041518,59,13343,13342.6
Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,60,9253,1310.08
Lac qui Parle,Minnesota,215.7504743,31.10794552,46.10084389,-3.950041518,60,9253,7943.36
Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,61,27449,391
Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,61,27449,12342.6
Lac qui Parle,Minnesota,215.7504743,31.10794552,46.10084389,-3.950041518,61,27449,14715.4
Lac qui Parle,Minnesota,215.7504743,31.10794552,46.10084389,-3.950041518,62,31307,31306.5
Swift,Minnesota,233.7713403,49.17832665,64.02132331,14.08271563,63,32282,597.843
Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,63,32282,31684
Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,64,24851,3055.64
Swift,Minnesota,233.7713403,49.17832665,64.02132331,14.08271563,64,24851,21795.4
Swift,Minnesota,233.7713403,49.17832665,64.02132331,14.08271563,65,39166,1950.07
Lac qui Parle,Minnesota,215.7504743,31.10794552,46.10084389,-3.950041518,65,39166,14198.3
Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,65,39166,23017.6
Lac qui Parle,Minnesota,215.7504743,31.10794552,46.10084389,-3.950041518,66,23281,23280.9
Swift,Minnesota,233.7713403,49.17832665,64.02132331,14.08271563,67,12455,5414.18
Chippewa,Minnesota,245.3499519,60.7537017,75.58256866,25.66624544,67,12455,7040.75
Swift,Minnesota,233.7713403,49.17832665,64.02132331,14.08271563,68,39847,6888.27
Lac qui Parle,Minnesota,215.7504743,31.10794552,46.10084389,-3.950041518,68,39847,10160.6
Chippewa,Minnesota,245.3499519,60.7537017,75.58256866,25.66624544,68,39847,22798.4
Otter Tail,Minnesota,255.0010618,70.18700388,85.26984466,35.23543561,69,36698,36697.6
Otter Tail,Minnesota,255.0010618,70.18700388,85.26984466,35.23543561,70,16354,16354.1
Otter Tail,Minnesota,255.0010618,70.18700388,85.26984466,35.23543561,71,13939,13939
Grant,Minnesota,236.8262788,52.14586221,67.11797534,17.2225039,72,18465,4886.91
Otter Tail,Minnesota,255.0010618,70.18700388,85.26984466,35.23543561,72,18465,13578.4
Grant,Minnesota,236.8262788,52.14586221,67.11797534,17.2225039,73,38329,1169.13
Douglas,Minnesota,253.1559149,68.34691791,83.41991768,33.36805272,73,38329,15665.9
Otter Tail,Minnesota,255.0010618,70.18700388,85.26984466,35.23543561,73,38329,21493.5
Otter Tail,Minnesota,255.0010618,70.18700388,85.26984466,35.23543561,74,12830,29.8216
Douglas,Minnesota,253.1559149,68.34691791,83.41991768,33.36805272,74,12830,2873.83
Grant,Minnesota,236.8262788,52.14586221,67.11797534,17.2225039,74,12830,9926.53
Otter Tail,Minnesota,255.0010618,70.18700388,85.26984466,35.23543561,75,15955,15954.8
Grant,Minnesota,236.8262788,52.14586221,67.11797534,17.2225039,76,17799,5161.09
Otter Tail,Minnesota,255.0010618,70.18700388,85.26984466,35.23543561,76,17799,12637.6
Douglas,Minnesota,253.1559149,68.34691791,83.41991768,33.36805272,77,27158,22.3489
Grant,Minnesota,236.8262788,52.14586221,67.11797534,17.2225039,77,27158,27135.6
Grant,Minnesota,236.8262788,52.14586221,67.11797534,17.2225039,78,32800,32799.9
Stevens,Minnesota,222.4095129,37.91125157,52.66306618,2.746698187,79,35666,14381.3
Grant,Minnesota,236.8262788,52.14586221,67.11797534,17.2225039,79,35666,21285
Stevens,Minnesota,222.4095129,37.91125157,52.66306618,2.746698187,80,42154,42154.4
Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,81,29818,712.818
Stevens,Minnesota,222.4095129,37.91125157,52.66306618,2.746698187,81,29818,29104.9
Stevens,Minnesota,222.4095129,37.91125157,52.66306618,2.746698187,82,14025,14025.4
Stevens,Minnesota,222.4095129,37.91125157,52.66306618,2.746698187,83,22590,22590.2
Stevens,Minnesota,222.4095129,37.91125157,52.66306618,2.746698187,84,25864,25864.1
Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,85,13467,80.4364
Swift,Minnesota,233.7713403,49.17832665,64.02132331,14.08271563,85,13467,377.263
Stevens,Minnesota,222.4095129,37.91125157,52.66306618,2.746698187,85,13467,13009
Swift,Minnesota,233.7713403,49.17832665,64.02132331,14.08271563,86,24867,4699.91
Stevens,Minnesota,222.4095129,37.91125157,52.66306618,2.746698187,86,24867,5568.49
Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,86,24867,14599
Swift,Minnesota,233.7713403,49.17832665,64.02132331,14.08271563,87,15194,2912.88
Stevens,Minnesota,222.4095129,37.91125157,52.66306618,2.746698187,87,15194,12281.5
Stevens,Minnesota,222.4095129,37.91125157,52.66306618,2.746698187,88,8210,3828.88
Swift,Minnesota,233.7713403,49.17832665,64.02132331,14.08271563,88,8210,4380.71
Stevens,Minnesota,222.4095129,37.91125157,52.66306618,2.746698187,89,28982,28982.5
Stevens,Minnesota,222.4095129,37.91125157,52.66306618,2.746698187,90,32022,10341.5
Swift,Minnesota,233.7713403,49.17832665,64.02132331,14.08271563,90,32022,21680.7
Swift,Minnesota,233.7713403,49.17832665,64.02132331,14.08271563,91,12847,12847.4
Swift,Minnesota,233.7713403,49.17832665,64.02132331,14.08271563,92,23931,23930.8
Deuel,South Dakota,304.9638922,120.4408255,135.198025,85.29893394,93,24898,3004.4
Lincoln,Minnesota,239.9594359,55.29384572,70.2707165,20.31938607,93,24898,6206.19
Brookings,South Dakota,284.0802463,99.61335766,114.324197,64.32667692,93,24898,15687.3
Yellow Medicine,Minnesota,249.3057614,64.54149024,79.63110527,29.54370587,94,24828,427.316
Brookings,South Dakota,284.0802463,99.61335766,114.324197,64.32667692,94,24828,650.495
Deuel,South Dakota,304.9638922,120.4408255,135.198025,85.29893394,94,24828,1103.44
Lincoln,Minnesota,239.9594359,55.29384572,70.2707165,20.31938607,94,24828,22646.4
Lincoln,Minnesota,239.9594359,55.29384572,70.2707165,20.31938607,95,12541,9.2623
Deuel,South Dakota,304.9638922,120.4408255,135.198025,85.29893394,95,12541,6138.66
Brookings,South Dakota,284.0802463,99.61335766,114.324197,64.32667692,95,12541,6392.94
Lincoln,Minnesota,239.9594359,55.29384572,70.2707165,20.31938607,96,18852,0.393089
Deuel,South Dakota,304.9638922,120.4408255,135.198025,85.29893394,96,18852,18852
Deuel,South Dakota,304.9638922,120.4408255,135.198025,85.29893394,97,17373,878.605
Yellow Medicine,Minnesota,249.3057614,64.54149024,79.63110527,29.54370587,97,17373,3199.75
Lincoln,Minnesota,239.9594359,55.29384572,70.2707165,20.31938607,97,17373,13294.9
Yellow Medicine,Minnesota,249.3057614,64.54149024,79.63110527,29.54370587,98,17223,17223
