OBJECTID,HRU_ID,HRU_GIS,Area
818,8,000010008,5.25378469160
823,7,000010007,1.95105708318
819,9,000010009,4.01122405474
808,10,000010010,10.43937570300
909,1,000010001,5.87973089342
908,2,000010002,10.68128381080
827,4,000010004,1.92952223679
828,3,000010003,1.52036015532
877,5,000010005,2.07811267689
872,6,000010006,7.06055830395
2388,101,000100009,4.88266750543
2396,102,000100010,1.59788560234
2199,104,000100012,0.75371962374
2218,103,000100011,0.73649174663
2317,105,000100013,4.97742082956
2325,106,000100014,0.89656743815
2524,94,000100002,1.90080910826
2521,93,000100001,4.46202017257
2425,95,000100003,1.74934735530
2476,96,000100004,1.68474281612
2341,97,000100005,4.03275890114
2343,98,000100006,0.91235965884
2520,100,000100008,0.94322627200
2519,99,000100007,5.17554141638
10335,950,001000008,13.74425679600
10356,949,001000007,8.02890856341
9979,951,001000009,9.69283436135
10545,953,001000011,4.12823005348
10544,952,001000010,4.32347932744
10391,944,001000002,2.38462532388
10394,943,001000001,3.33431204980
10510,945,001000003,3.40322355826
10511,946,001000004,8.34618863359
10470,947,001000005,1.95249273960
10471,948,001000006,3.10963181910
10801,959,001010006,4.17776020018
10824,958,001010005,2.99621496144
10005,960,001010007,14.65374514200
10941,962,001010009,15.56395131620
10946,961,001010008,12.22461446890
10843,954,001010001,1.47944394718
10836,955,001010002,3.73414236449
10950,956,001010003,6.42312685073
10952,957,001010004,11.87287864450
9526,971,001020009,7.37999185877
9563,972,001020010,1.57635075594
10029,974,001020012,10.53700033990
10032,973,001020011,3.34149033193
9309,975,001020013,15.72618049240
9857,964,001020002,0.65753064319
9863,963,001020001,0.33091880623
10063,966,001020004,1.43780991082
10123,965,001020003,1.13201509204
9315,968,001020006,0.90948834598
9308,967,001020005,0.18807099183
10310,970,001020008,1.11550504314
10314,969,001020007,1.72781250891
8871,977,001030002,30.40504962180
8881,976,001030001,5.52009895866
9020,978,001030003,13.85049537160
8968,979,001030004,4.28758791678
8980,980,001030005,0.67906548958
9091,982,001030007,1.49380051144
9089,981,001030006,0.18376402255
9369,989,001040007,0.77310098550
9372,990,001040008,0.36322107582
9668,991,001040009,1.81538755090
9669,992,001040010,1.31218997353
9567,994,001040012,0.44361783569
9568,993,001040011,0.46299919744
10139,996,001040014,1.00639515475
10138,995,001040013,0.68050114601
9667,984,001040002,5.49282148656
9666,983,001040001,6.16686217865
9790,985,001040003,4.45555971865
9791,986,001040004,8.94126822224
9519,987,001040005,1.14852514094
9518,988,001040006,2.26833715336
9378,1004,001050008,2.59207767747
9379,1003,001050007,1.70412417787
8858,1005,001050009,2.63371171383
8859,1006,001050010,1.61295999481
8917,1008,001050012,3.69250832813
8920,1007,001050011,3.07876520594
9344,997,001050001,7.84729802550
9343,998,001050002,8.19041991135
8832,1000,001050004,16.84383902010
8833,999,001050003,25.57693706060
8899,1001,001050005,6.21782798178
8916,1002,001050006,9.34827681907
8059,1012,001060004,6.41235942753
8179,1011,001060003,1.68402498791
8351,1013,001060005,24.34011904940
8362,1014,001060006,12.19303002750
8065,1015,001060007,7.80279267628
8350,1010,001060002,14.57693752320
8361,1009,001060001,17.88827907020
8024,1022,001070007,4.18493848231
8021,1023,001070008,1.47011218041
7976,1024,001070009,4.43833184153
8002,1025,001070010,0.82550244505
7871,1026,001070011,19.43448104120
7884,1027,001070012,9.71365137953
8158,1017,001070002,2.16138074961
8160,1016,001070001,1.35813097917
7872,1018,001070003,7.59677597913
7874,1019,001070004,12.36387314230
7988,1020,001070005,2.42267021918
7990,1021,001070006,0.59292610401
7222,1032,001080005,8.20980127311
7235,1033,001080006,1.20810488263
7608,1035,001080008,10.59442659700
7625,1034,001080007,4.16771060520
7282,1036,001080009,32.20608060850
7623,1028,001080001,3.08450783165
7635,1029,001080002,2.95888789436
7364,1031,001080004,3.17064721722
7544,1030,001080003,0.49386581061
7147,1037,001080010,3.16992938900
7312,1038,001080011,5.30762180758
7482,1039,001090001,10.17880406160
7483,1040,001090002,2.81747573638
7555,1041,001090003,7.08998926069
7564,1042,001090004,0.88221087389
7573,1043,001090005,4.37372730235
7525,1044,001090006,7.93918003677
7562,1045,001090007,1.55194459670
7579,1047,001090009,1.92952223678
7613,1046,001090008,0.21750194857
2546,114,000110008,12.27988724130
2555,113,000110007,2.83183230064
2562,107,000110001,7.35558569953
2593,108,000110002,6.89330433030
2574,110,000110004,3.36661431939
2586,109,000110003,1.52251363996
2712,112,000110006,2.02283990449
2715,111,000110005,11.02297004020
7794,1053,001100006,17.10225717690
7803,1052,001100005,3.38456002472
8874,1054,001100007,1.87999209008
8873,1055,001100008,1.61942044873
7930,1049,001100002,7.28164939358
7934,1048,001100001,4.07295728107
8869,1051,001100004,4.02199147794
8868,1050,001100003,10.50182675750
11550,1060,001110005,7.64630612583
10913,1062,001110007,28.73250988530
10915,1061,001110006,3.91001027670
10455,1063,001110008,18.24288620750
10444,1064,001110009,7.03184517543
10935,1056,001110001,12.60147428080
10916,1057,001110002,1.95751753710
10360,1058,001110003,10.75306663210
10363,1059,001110004,8.15883546998
10716,1071,001120007,9.33966288051
10715,1072,001120008,1.12411898170
10308,1073,001120009,9.04032851565
10307,1074,001120010,3.60134414507
10349,1066,001120002,2.32073861292
10358,1065,001120001,2.83613926992
10313,1068,001120004,0.78745754976
10320,1067,001120003,1.52682060924
10309,1070,001120006,5.96587027899
10321,1069,001120005,4.62640283336
8646,1079,001130005,12.13345028590
8647,1080,001130006,1.74504038602
8468,1082,001130008,18.22996529960
8469,1081,001130007,4.71038873429
8661,1076,001130002,2.45640814519
8660,1075,001130001,0.97839985444
8466,1078,001130004,5.77636363073
8473,1077,001130003,3.55827445229
8656,1083,001130009,3.60565111435
8654,1084,001130010,0.66542675353
8470,1086,001130012,2.66314267056
8533,1085,001130011,0.56062383442
8472,1088,001130014,1.58065772522
8480,1087,001130013,0.21965543321
8138,1097,001140009,6.76337742373
8139,1098,001140010,1.52969192209
