Subbasin,Label,Practices,Select,subbasin
Sub018,Sub018 ISO-M-S, ISO-M-S,1,18
Sub018,Sub018 ISO-M-M, ISO-M-M,1,18
Sub018,Sub018 ISO-M-L, ISO-M-L,1,18
Sub019,Sub019 ISO-P-S, ISO-P-S,1,19
Sub019,Sub019 ISO-P-M, ISO-P-M,1,19
Sub019,Sub019 ISO-P-L, ISO-P-L,1,19
Sub019,Sub019 ISO-M-S, ISO-M-S,0,19
Sub019,Sub019 ISO-M-M, ISO-M-M,1,19
Sub019,Sub019 ISO-M-L, ISO-M-L,1,19
Sub020,Sub020 ISO-P-S, ISO-P-S,0,20
Sub020,Sub020 ISO-P-M, ISO-P-M,1,20
Sub020,Sub020 ISO-P-L, ISO-P-L,0,20
Sub020,Sub020 ISO-M-S, ISO-M-S,0,20
Sub020,Sub020 ISO-M-M, ISO-M-M,0,20
Sub020,Sub020 ISO-M-L, ISO-M-L,1,20
Sub021,Sub021 ISO-P-S, ISO-P-S,1,21
Sub021,Sub021 ISO-P-M, ISO-P-M,0,21
Sub021,Sub021 ISO-P-L, ISO-P-L,1,21
Sub021,Sub021 ISO-M-S, ISO-M-S,1,21
Sub021,Sub021 ISO-M-M, ISO-M-M,1,21
Sub021,Sub021 ISO-M-L, ISO-M-L,1,21
Sub022,Sub022 ISO-P-S, ISO-P-S,1,22
Sub022,Sub022 ISO-P-M, ISO-P-M,1,22
Sub022,Sub022 ISO-P-L, ISO-P-L,1,22
Sub022,Sub022 ISO-M-S, ISO-M-S,0,22
Sub022,Sub022 ISO-M-M, ISO-M-M,1,22
Sub022,Sub022 ISO-M-L, ISO-M-L,0,22
Sub023,Sub023 ISO-P-S, ISO-P-S,0,23
Sub023,Sub023 ISO-P-M, ISO-P-M,1,23
Sub023,Sub023 ISO-P-L, ISO-P-L,0,23
Sub023,Sub023 ISO-M-S, ISO-M-S,1,23
Sub023,Sub023 ISO-M-M, ISO-M-M,1,23
Sub023,Sub023 ISO-M-L, ISO-M-L,1,23
Sub024,Sub024 ISO-P-S, ISO-P-S,0,24
Sub024,Sub024 ISO-P-M, ISO-P-M,0,24
Sub024,Sub024 ISO-P-L, ISO-P-L,1,24
