BS,GW,CC,FM,BS+GW,BS+CC,BS+FM,GW+CC,GW+FM,CC+FM,BS+GW+CC,BS+GW+FM,BS+CC+FM,GW+CC+FM,BS+GW+CC+FM,HRU
1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,237
1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,238
0,1,0,1,0,1,1,1,1,0,1,1,0,0,1,239
1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,240
1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,247
1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,248
0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,257
0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,258
1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,259
0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,260
1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,268
0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,269
0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,270
1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,271
1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,276
1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,277
1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,282
0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,283
1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,284
1,1,0,0,1,0,0,0,0,1,0,1,1,0,1,285
0,1,1,1,0,1,0,0,0,0,1,0,1,1,1,288
0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,289
0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,290
1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,291
0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,292
1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,298
0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,299
1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,300
0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,301
0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,302
0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,307
1,1,0,1,0,0,0,0,0,1,1,1,1,0,1,308
0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,309
0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,310
0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,317
0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,318
0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,319
1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,320
1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,321
0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,322
0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,327
0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,328
1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,329
1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,330
1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,331
0,1,1,1,0,0,0,1,0,1,1,0,1,0,1,336
0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,337
0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,338
1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,339
0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,340
1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,341
1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,342
1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,358
0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,359
1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,360
1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,361
0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,362
0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,363
0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,368
1,0,0,1,1,0,1,0,0,1,1,1,0,0,1,369
1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,370
0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,371
0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,374
0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,375
0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,376
0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,380
0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,381
0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,382
1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,383
1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,386
0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,387
0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,388
1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,389
1,0,0,0,1,1,1,1,1,0,0,1,1,0,1,394
0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,395
0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,396
1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,397
0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,412
0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,413
0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,414
0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,415
0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,416
1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,417
1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,422
0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,423
1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,424
1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,425
0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,426
1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,427
