BS,GW,CC,FM,BS+GW,BS+CC,BS+FM,GW+CC,GW+FM,CC+FM,BS+GW+CC,BS+GW+FM,BS+CC+FM,GW+CC+FM,BS+GW+CC+FM,HRU
0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,930
1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,937
0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,938
0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,939
0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,940
1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,941
0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,942
1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,949
0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,950
1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,951
1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,952
0,1,1,0,0,1,0,0,1,1,0,1,1,1,0,953
0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,958
1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,959
0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,960
0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,961
1,0,0,1,1,1,1,0,1,1,0,1,0,1,0,962
0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,971
0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,972
1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,973
1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,974
1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,975
1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,976
1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,977
1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,978
0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,989
1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,990
0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,991
0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,992
1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,993
1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,994
0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,995
0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,996
0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1003
1,0,0,1,0,1,1,1,1,1,0,1,0,0,1,1004
0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1005
0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1006
0,0,1,0,1,1,0,1,0,1,0,1,1,1,0,1007
1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1008
0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1011
1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1012
1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1013
1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1014
1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1015
1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1022
1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1023
0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1024
1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1025
0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1026
0,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1027
1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1032
1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1033
0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1034
1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1035
0,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1036
0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,1039
1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1040
1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1041
0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1042
0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1043
0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1052
1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1053
0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1054
1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1055
0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1060
1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1061
0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1062
0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1063
1,1,1,0,1,1,0,1,0,0,0,1,0,1,1,1064
1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1071
0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1072
1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1073
0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1074
1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1079
0,0,0,1,1,0,1,1,0,0,1,1,1,0,1,1080
1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1081
1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1082
0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1097
0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1098
0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1099
1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1100
0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1101
1,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1102
0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1103
0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1107
1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,1108
0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1109
1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1110
0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1114
0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1115
1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1116
1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1117
1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1118
0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1119
0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1120
0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1121
1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1122
1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1123
0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1124
0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1125
1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1126
0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1127
1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1128
1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1129
0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,1130
0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1131
0,0,1,0,1,0,0,1,1,0,1,1,0,1,0,1132
0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1133
0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1134
0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1135
1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1136
0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1137
1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1138
0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1139
0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1140
0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1141
0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1142
0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,1143
1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1144
1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1145
1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1146
0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1147
0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1148
1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1149
0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1150
1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1151
1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1152
0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1153
0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1154
1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1155
1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1156
0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1157
0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1158
0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1159
1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1160
0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1161
1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1162
0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,1163
1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1164
0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1165
1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1166
1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1167
0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1168
1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1169
0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1171
0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1172
0,1,1,0,0,1,0,1,0,1,1,1,0,0,1,1173
1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1174
1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1179
0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1180
0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1181
0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1182
0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1187
0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1188
0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,1189
1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1190
0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,1191
1,0,0,1,1,0,1,1,0,0,0,1,0,1,1,1202
0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1203
0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1204
1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1205
0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1214
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1215
1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1216
0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1217
1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1218
1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1219
1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1224
1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1225
1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1226
1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1227
0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1232
1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1233
0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1234
1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1235
1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1240
0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1241
1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1242
1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1243
1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1244
0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,1249
0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1250
0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1251
0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1252
0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1253
0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1260
1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1261
0,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1262
1,0,0,0,1,1,0,1,1,0,0,1,1,0,1,1263
0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1264
1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1265
0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1266
0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1267
1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1272
0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1273
1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1274
0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1275
0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1278
1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1279
0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1284
1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1285
0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1286
0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1287
1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1294
1,0,1,0,1,0,1,0,0,1,1,1,1,0,0,1295
1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,1296
0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1297
0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1298
0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1299
0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1300
0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1301
0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1302
0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1303
1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1304
0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1305
1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1306
1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1307
1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,1308
1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1309
0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1310
1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1311
0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,1312
0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1313
1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1314
1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1315
1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1316
1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1317
1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1318
1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1319
1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1320
0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1321
1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1322
1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,1323
1,0,1,1,1,0,0,1,0,1,0,0,1,1,0,1337
0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1338
0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1339
0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1340
0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1341
0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1342
0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1345
1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1346
1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1355
1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1356
1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1357
1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1358
1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1359
1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,1360
0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1361
1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1362
0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1363
1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1364
1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1365
0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1366
1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1367
1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1368
1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,1369
1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1370
0,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1371
0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1372
0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1373
0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1374
1,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1375
1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1376
1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1377
1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1378
1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1379
0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1380
0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1381
0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1382
1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1383
1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1384
1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1385
1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1386
0,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1387
0,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1388
1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1389
0,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1390
0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,1391
1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1392
0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1393
0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1394
0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1395
0,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1396
1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1397
0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1398
0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,1399
0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1400
0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1401
0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1402
1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1403
1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1404
0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,1405
1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1406
1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1407
0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1408
0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1409
0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1410
0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1411
0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1412
1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1413
1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1414
0,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1415
0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,1416
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1417
1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1418
1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1419
1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1420
1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1421
1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1422
0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1423
1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1424
1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1425
1,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1426
0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1429
1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1430
0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1431
0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1432
0,0,1,1,1,0,1,0,1,1,0,1,1,0,0,1433
1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1434
1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1435
0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1441
1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1442
0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1443
0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1444
0,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1445
1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1446
0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1447
1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1448
0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1449
0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1450
0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1467
0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1468
0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1469
0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1470
0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1471
1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1472
1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1473
0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1474
0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1475
1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1476
0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1482
1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1483
0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1492
0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1493
0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1494
1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1495
1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1502
1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1503
1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1504
1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1505
1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1506
1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1507
0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1510
1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1511
0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1524
0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,1525
0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1526
1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1527
1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1528
0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,1529
1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,1532
0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1533
0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1538
1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1539
0,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1540
0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1541
1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1544
1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1545
1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1546
0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1547
1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1548
0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1549
0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1558
1,0,1,1,1,0,1,0,0,1,0,0,1,0,1,1559
1,0,0,1,0,1,0,0,1,1,1,0,0,1,1,1567
0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1568
1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1569
0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1570
1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1575
1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1576
1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1579
1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1580
1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1585
0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1586
1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1593
1,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1594
1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1595
1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1596
1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,1599
0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1600
0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1601
1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1602
1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,1616
0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1617
0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1618
1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1619
1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1620
0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1621
1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1634
1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1635
1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1642
1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1643
1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1644
0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,1645
1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1646
0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1647
1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1648
0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1649
1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1650
0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1651
0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1652
1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1653
0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1654
0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1655
1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1656
0,1,1,0,0,1,0,1,1,0,1,1,1,0,0,1657
0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1658
0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1659
1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1660
0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1673
0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1674
0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1675
