ID,Label,Cost,NitRed,SedRed,Name
71,Sub012 ISO-M-S,132012.9525,988.4408,935.1,ISO-M-S
72,Sub012 ISO-M-M,390192.6135,1682.7681,1427.1,ISO-M-M
73,Sub012 ISO-M-L,648235.8175,2366.245,2045.8,ISO-M-L
74,Sub013 ISO-P-S,160170.473,-182230.99,-371468.6,ISO-P-S
75,Sub013 ISO-P-M,475122.982,4942.5225,3920.4,ISO-P-M
76,Sub013 ISO-P-L,789949.7196,4942.5225,3920.4,ISO-P-L
77,Sub013 ISO-M-S,121675.3005,3778.8568,3363,ISO-M-S
78,Sub013 ISO-M-M,359637.4644,4077.0432,3546.7,ISO-M-M
79,Sub013 ISO-M-L,597473.8569,4336.386,3677.2,ISO-M-L
80,Sub014 ISO-P-S,181627.3478,2079.2917,2363.3,ISO-P-S
81,Sub014 ISO-P-M,538771.7566,2783.0961,2956.9,ISO-P-M
82,Sub014 ISO-P-L,895773.5453,3618.7425,3732.1,ISO-P-L
83,Sub014 ISO-M-S,137975.2566,1825.8089,2279.9,ISO-M-S
84,Sub014 ISO-M-M,407815.4831,2430.4403,2796.8,ISO-M-M
85,Sub014 ISO-M-L,677513.0895,2992.7515,3440.5,ISO-M-L
86,Sub015 ISO-P-S,114529.75,178.6027,1292.4,ISO-P-S
87,Sub015 ISO-P-M,339736.2531,178.6027,1292.4,ISO-P-M
88,Sub015 ISO-P-L,564852.8235,178.6027,1292.4,ISO-P-L
89,Sub015 ISO-M-S,87003.8122,178.6027,1292.4,ISO-M-S
90,Sub015 ISO-M-M,257158.4396,178.6027,1292.4,ISO-M-M
91,Sub015 ISO-M-L,427223.1342,178.6027,1292.4,ISO-M-L
92,Sub016 ISO-P-S,147319.3546,1847.5962,2113.3,ISO-P-S
93,Sub016 ISO-P-M,437001.9626,2832.0464,2528.2,ISO-P-M
94,Sub016 ISO-P-L,726568.8903,3572.7554,2917.5,ISO-P-L
95,Sub016 ISO-M-S,111912.8039,1673.2865,2040.3,ISO-M-S
96,Sub016 ISO-M-M,330782.3105,2385.7594,2326,ISO-M-M
97,Sub016 ISO-M-L,549536.1368,3042.0169,2580.2,ISO-M-L
98,Sub017 ISO-P-S,266245.3204,10316.1469,8590.4,ISO-P-S
99,Sub017 ISO-P-M,789778.9662,10763.2481,8886.8,ISO-P-M
100,Sub017 ISO-P-L,1313103.547,10763.2481,8886.8,ISO-P-L
101,Sub017 ISO-M-S,202256.2508,6646.6577,6464.5,ISO-M-S
102,Sub017 ISO-M-M,597811.7574,7383.6161,6992.2,ISO-M-M
103,Sub017 ISO-M-L,993158.1988,8053.5352,7418.1,ISO-M-L
104,Sub018 ISO-P-S,170413.4518,1414.1351,1991.8,ISO-P-S
105,Sub018 ISO-P-M,505479.4844,1714.884,2575.1,ISO-P-M
106,Sub018 ISO-P-L,840411.0526,2195.2962,3085.4,ISO-P-L
107,Sub018 ISO-M-S,129257.5988,975.5503,1788.7,ISO-M-S
108,Sub018 ISO-M-M,382011.9256,1310.6116,2264.1,ISO-M-M
109,Sub018 ISO-M-L,634631.7879,1631.4894,2583,ISO-M-L
110,Sub019 ISO-P-S,246110.2562,4399.4717,4170.8,ISO-P-S
111,Sub019 ISO-P-M,729700.9503,5178.1625,4235.3,ISO-P-M
112,Sub019 ISO-P-L,1213090.216,6336.5615,4882,ISO-P-L
113,Sub019 ISO-M-S,184458.548,3093.6963,3370.5,ISO-M-S
114,Sub019 ISO-M-M,544745.8258,3896.2803,3328.7,ISO-M-M
115,Sub019 ISO-M-L,904831.6751,4479.8912,3707.6,ISO-M-L
116,Sub020 ISO-P-S,384415.052,708.3239,2139.6,ISO-P-S
117,Sub020 ISO-P-M,1139757.164,708.3239,2139.6,ISO-P-M
118,Sub020 ISO-P-L,1894784.454,707.1553,1873.7,ISO-P-L
119,Sub020 ISO-M-S,288056.3933,708.3239,2139.6,ISO-M-S
120,Sub020 ISO-M-M,850681.1884,708.3239,2139.6,ISO-M-M
121,Sub020 ISO-M-L,1412991.16,708.3239,2139.6,ISO-M-L
122,Sub021 ISO-P-S,206911.8701,41.8598,79.70000005,ISO-P-S
123,Sub021 ISO-P-M,613463.6325,130.1642,236,ISO-P-M
124,Sub021 ISO-P-L,1019845.66,220.8403,395.6,ISO-P-L
125,Sub021 ISO-M-S,154960.6194,41.8598,79.70000005,ISO-M-S
126,Sub021 ISO-M-M,457609.8804,130.1642,236,ISO-M-M
127,Sub021 ISO-M-L,760089.4061,220.8403,395.6,ISO-M-L
128,Sub022 ISO-P-S,115487.9269,135.9184,850.6,ISO-P-S
129,Sub022 ISO-P-M,342578.5429,222.8405,1239.5,ISO-P-M
130,Sub022 ISO-P-L,569578.4737,320.3644,1599.7,ISO-P-L
131,Sub022 ISO-M-S,87731.6595,129.1828,820.6,ISO-M-S
132,Sub022 ISO-M-M,259309.7406,209.6936,1180.8,ISO-M-M
133,Sub022 ISO-M-L,430797.1365,295.5183,1503.3,ISO-M-L
134,Sub023 ISO-P-S,86252.0512,822.3518,4533.3,ISO-P-S
135,Sub023 ISO-P-M,255854.4718,822.3518,4533.3,ISO-P-M
136,Sub023 ISO-P-L,425389.1643,822.3518,4533.3,ISO-P-L
137,Sub023 ISO-M-S,65522.3403,681.7709,-240134.3,ISO-M-S
138,Sub023 ISO-M-M,193665.3393,573.3681,4208,ISO-M-M
139,Sub023 ISO-M-L,321740.61,627.0069,4328.1,ISO-M-L
140,Sub024 ISO-P-S,197743.0616,131.2218,171.1,ISO-P-S
141,Sub024 ISO-P-M,586279.4475,342.47,450.1,ISO-P-M
142,Sub024 ISO-P-L,974653.6195,538.2659,727.9000001,ISO-P-L
143,Sub024 ISO-M-S,148093.9073,131.2218,171.1,ISO-M-S
144,Sub024 ISO-M-M,437331.9845,342.47,450.1,ISO-M-M
145,Sub024 ISO-M-L,726407.8479,538.2659,727.9000001,ISO-M-L
146,Sub025 ISO-P-S,135164.4972,733.878,3228.1,ISO-P-S
147,Sub025 ISO-P-M,400743.0961,920.1991,3579.9,ISO-P-M
148,Sub025 ISO-P-L,666210.816,920.1991,3579.9,ISO-P-L
149,Sub025 ISO-M-S,101227.5139,485.3591,2105.4,ISO-M-S
150,Sub025 ISO-M-M,298932.1462,610.1146,2064.2,ISO-M-M
151,Sub025 ISO-M-L,496525.8995,661.3465,2392.8,ISO-M-L
152,Sub026 ISO-P-S,853491.4761,902.3963,4037.6,ISO-P-S
153,Sub026 ISO-P-M,2530963.837,2554.6815,11018.8,ISO-P-M
154,Sub026 ISO-P-L,4207747.391,4260.0944,18449.2,ISO-P-L
155,Sub026 ISO-M-S,642666.8309,902.3963,4037.6,ISO-M-S
156,Sub026 ISO-M-M,1898489.901,2554.6815,11018.8,ISO-M-M
157,Sub026 ISO-M-L,3153624.165,4260.0944,18449.2,ISO-M-L
158,Sub027 ISO-P-S,203896.8503,3334.9061,1026.2,ISO-P-S
159,Sub027 ISO-P-M,604831.0761,4616.7105,641.7,ISO-P-M
160,Sub027 ISO-P-L,1005605.195,5904.8803,631.8,ISO-P-L
161,Sub027 ISO-M-S,154892.5346,2940.3286,907.9,ISO-M-S
162,Sub027 ISO-M-M,457818.1289,-2078.7769,973209.2,ISO-M-M
163,Sub027 ISO-M-L,760583.6162,4549.3444,256.5,ISO-M-L
164,Sub028 ISO-P-S,319087.9648,5515.72,10204.1,ISO-P-S
165,Sub028 ISO-P-M,946529.173,5515.72,10204.1,ISO-P-M
166,Sub028 ISO-P-L,1573719.822,5515.72,10204.1,ISO-P-L
167,Sub028 ISO-M-S,242398.7596,4637.3435,9355.5,ISO-M-S
168,Sub028 ISO-M-M,716461.5577,4730.1369,9519.7,ISO-M-M
169,Sub028 ISO-M-L,1190273.797,4834.437,9662.2,ISO-M-L
170,Sub029 ISO-P-S,233255.4965,5195.0035,3858.6,ISO-P-S
171,Sub029 ISO-P-M,691919.3343,6768.3497,4515.6,ISO-P-M
172,Sub029 ISO-P-L,1150400.012,7168.8809,4692.5,ISO-P-L
173,Sub029 ISO-M-S,177195.1602,4530.6126,3758.5,ISO-M-S
174,Sub029 ISO-M-M,523738.3254,5396.3541,4265.9,ISO-M-M
175,Sub029 ISO-M-L,870098.3303,6089.3296,4514.6,ISO-M-L
176,Sub030 ISO-P-S,285955.6048,5879.5787,4491.7,ISO-P-S
177,Sub030 ISO-P-M,848241.2644,7841.436,6402.9,ISO-P-M
178,Sub030 ISO-P-L,1410302.254,9327.518,8275.5,ISO-P-L
179,Sub030 ISO-M-S,217190.3566,4171.9068,3873.6,ISO-M-S
180,Sub030 ISO-M-M,641945.5197,5131.9124,5374.2,ISO-M-M
181,Sub030 ISO-M-L,1066476.013,6022.7694,6823.3,ISO-M-L
182,Sub031 ISO-P-S,258468.6392,4094.9671,2991,ISO-P-S
183,Sub031 ISO-P-M,766476.1358,5422.4238,4137.1,ISO-P-M
184,Sub031 ISO-P-L,1274275.202,5885.1801,4559.3,ISO-P-L
185,Sub031 ISO-M-S,194673.9816,3721.5416,2924,ISO-M-S
186,Sub031 ISO-M-M,575092.163,4660.7979,3977.4,ISO-M-M
187,Sub031 ISO-M-L,955301.9145,5221.3001,4428.5,ISO-M-L
188,Sub032 ISO-P-S,191212.9949,1301.2996,2011.6,ISO-P-S
189,Sub032 ISO-P-M,567019.0167,2148.6168,3536.1,ISO-P-M
190,Sub032 ISO-P-L,942670.522,3002.2051,5162.8,ISO-P-L
191,Sub032 ISO-M-S,143919.7249,1141.605,1895.3,ISO-M-S
192,Sub032 ISO-M-M,425139.2067,1700.2614,3220.3,ISO-M-M
193,Sub032 ISO-M-L,706204.1719,2206.8644,4600.7,ISO-M-L
194,Sub033 ISO-P-S,238631.8517,4139.9564,5819.5,ISO-P-S
195,Sub033 ISO-P-M,707702.1729,6128.2596,52255.3,ISO-P-M
196,Sub033 ISO-P-L,1176581.252,7084.1613,-8921.3,ISO-P-L
197,Sub033 ISO-M-S,180098.0576,3019.8679,5476.8,ISO-M-S
198,Sub033 ISO-M-M,532100.7907,3947.8929,51528.1,ISO-M-M
199,Sub033 ISO-M-L,883912.282,4859.6272,-9827.8,ISO-M-L
200,Sub034 ISO-P-S,226825.8722,2641.2614,9119.6,ISO-P-S
201,Sub034 ISO-P-M,672638.1047,3302.2587,11719.2,ISO-P-M
202,Sub034 ISO-P-L,1118267.355,3302.2587,11719.2,ISO-P-L
203,Sub034 ISO-M-S,170820.1387,1464.4006,7504.1,ISO-M-S
204,Sub034 ISO-M-M,504620.9042,1812.4014,9557.5,ISO-M-M
205,Sub034 ISO-M-L,838238.6877,1968.4515,9941.7,ISO-M-L
206,Sub035 ISO-P-S,270623.6416,2269.3296,4621.5,ISO-P-S
207,Sub035 ISO-P-M,802442.935,3215.8526,6239.6,ISO-P-M
208,Sub035 ISO-P-L,1334042.17,3811.2657,7509.4,ISO-P-L
209,Sub035 ISO-M-S,203269.7701,2114.4432,4267.9,ISO-M-S
210,Sub035 ISO-M-M,600381.3205,-110326.4021,-2049.7,ISO-M-M
211,Sub035 ISO-M-L,997272.8122,3451.2512,6789.3,ISO-M-L
212,Sub036 ISO-P-S,242857.1492,1628.767,1049.2,ISO-P-S
213,Sub036 ISO-P-M,720123.9133,2815.8286,2128.7,ISO-P-M
214,Sub036 ISO-P-L,1197193.504,3857.6436,3137.2,ISO-P-L
215,Sub036 ISO-M-S,182507.684,1409.1833,982.8,ISO-M-S
216,Sub036 ISO-M-M,539075.5178,2358.9228,1974.3,ISO-M-M
217,Sub036 ISO-M-L,895446.1777,3269.8136,2949.9,ISO-M-L
218,Sub037 ISO-P-S,174533.1508,1247.4562,665.7,ISO-P-S
219,Sub037 ISO-P-M,517516.8447,2293.1537,1498.5,ISO-P-M
220,Sub037 ISO-P-L,860358.5644,3436.4165,2285.7,ISO-P-L
221,Sub037 ISO-M-S,131078.7987,1119.6555,642.1,ISO-M-S
222,Sub037 ISO-M-M,387153.7883,1667.9943,-15680.4,ISO-M-M
223,Sub037 ISO-M-L,643086.8038,2769.374,2127.6,ISO-M-L
224,Sub038 ISO-P-S,228305.7609,1003.0157,2290.1,ISO-P-S
225,Sub038 ISO-P-M,676960.6602,1649.5215,3680.6,ISO-P-M
226,Sub038 ISO-P-L,1125429.844,2296.8294,5220.9,ISO-P-L
227,Sub038 ISO-M-S,171463.3853,-14667.0012,226984.8,ISO-M-S
228,Sub038 ISO-M-M,506433.5332,1188.1128,2927,ISO-M-M
229,Sub038 ISO-M-L,841217.9657,1615.275,4125.9,ISO-M-L
230,Sub039 ISO-P-S,121188.2118,2044.7942,3879.2,ISO-P-S
231,Sub039 ISO-P-M,359341.1376,2736.2421,4913.2,ISO-P-M
232,Sub039 ISO-P-L,597395.4828,2776.796,5061.5,ISO-P-L
233,Sub039 ISO-M-S,91015.4039,1428.4478,3436.5,ISO-M-S
234,Sub039 ISO-M-M,268822.714,1862.1041,4236.2,ISO-M-M
235,Sub039 ISO-M-L,446531.4435,2011.2261,4515.5,ISO-M-L
236,Sub040 ISO-P-S,183843.9928,1223.7131,7804.6,ISO-P-S
237,Sub040 ISO-P-M,545123.6914,-2769.2637,14710.4,ISO-P-M
238,Sub040 ISO-P-L,906253.8142,1223.7131,7804.6,ISO-P-L
239,Sub040 ISO-M-S,138062.9775,917.2597,6649.7,ISO-M-S
240,Sub040 ISO-M-M,407780.6454,970.7997,6877.1,ISO-M-M
241,Sub040 ISO-M-L,677348.7375,1032.5429,7086.3,ISO-M-L
242,Sub041 ISO-P-S,350094.4037,527.2595,7055,ISO-P-S
243,Sub041 ISO-P-M,1037960.253,1131.2475,8614.4,ISO-P-M
244,Sub041 ISO-P-L,1725538.472,-209673.7855,-579757.6,ISO-P-L
245,Sub041 ISO-M-S,262058.7809,1131.2475,8614.4,ISO-M-S
246,Sub041 ISO-M-M,773853.3844,1131.2475,8614.4,ISO-M-M
247,Sub041 ISO-M-L,1285360.358,-3840.2856,138914.6,ISO-M-L
248,Sub042 ISO-P-S,291752.6644,3456.6354,6312.1,ISO-P-S
249,Sub042 ISO-P-M,865004.2611,3456.6354,6312.1,ISO-P-M
250,Sub042 ISO-P-L,1438016.526,3456.6354,6312.1,ISO-P-L
251,Sub042 ISO-M-S,218499.6616,3456.6354,6312.1,ISO-M-S
252,Sub042 ISO-M-M,645245.2525,3456.6354,6312.1,ISO-M-M
253,Sub042 ISO-M-L,1071751.511,3456.6354,6312.1,ISO-M-L
254,Sub043 ISO-P-S,145076.6994,844.8063,4643.7,ISO-P-S
255,Sub043 ISO-P-M,430131.3354,844.8063,4643.7,ISO-P-M
256,Sub043 ISO-P-L,715066.9612,844.8063,4643.7,ISO-P-L
257,Sub043 ISO-M-S,108650.9691,844.8063,4643.7,ISO-M-S
258,Sub043 ISO-M-M,320854.1444,844.8063,4643.7,ISO-M-M
259,Sub043 ISO-M-L,532938.3096,844.8063,4643.7,ISO-M-L
260,Sub044 ISO-P-S,167044.8305,827.0243,8085.1,ISO-P-S
261,Sub044 ISO-P-M,495263.6523,827.0243,8085.1,ISO-P-M
262,Sub044 ISO-P-L,823345.4429,827.0243,8085.1,ISO-P-L
263,Sub044 ISO-M-S,125103.3611,827.0243,8085.1,ISO-M-S
264,Sub044 ISO-M-M,369439.2441,827.0243,8085.1,ISO-M-M
265,Sub044 ISO-M-L,613638.0959,827.0243,8085.1,ISO-M-L
266,Sub045 ISO-P-S,186820.6923,591.0025,3415.7,ISO-P-S
267,Sub045 ISO-P-M,554387.9236,870.3242,4539.2,ISO-P-M
268,Sub045 ISO-P-L,921813.3781,885.1517,4654.3,ISO-P-L
269,Sub045 ISO-M-S,143426.7391,537.5423,3155.8,ISO-M-S
270,Sub045 ISO-M-M,424206.0639,778.2479,4067.3,ISO-M-M
271,Sub045 ISO-M-L,704843.6119,814.6705,4310.5,ISO-M-L
272,Sub046 ISO-P-S,267917.0451,4360.3536,2325.5,ISO-P-S
273,Sub046 ISO-P-M,794420.0707,5697.9405,3568.8,ISO-P-M
274,Sub046 ISO-P-L,1320705.3,7209.6206,4776.1,ISO-P-L
275,Sub046 ISO-M-S,201255.6102,3621.5461,2192.4,ISO-M-S
276,Sub046 ISO-M-M,594435.7661,4803.1395,3386.3,ISO-M-M
277,Sub046 ISO-M-L,987398.1257,-16923.4141,335305.8,ISO-M-L
278,Sub047 ISO-P-S,210811.277,1696.4493,1463.3,ISO-P-S
279,Sub047 ISO-P-M,625178.7834,2854.4795,2610.5,ISO-P-M
280,Sub047 ISO-P-L,1039376.95,3873.1039,3678.6,ISO-P-L
281,Sub047 ISO-M-S,158980.9771,1355.577,1341.3,ISO-M-S
282,Sub047 ISO-M-M,469687.8837,2141.9494,2348.1,ISO-M-M
283,Sub047 ISO-M-L,780225.4503,2900.8093,3250.8,ISO-M-L
284,Sub048 ISO-P-S,164389.7308,1301.089,918.8,ISO-P-S
285,Sub048 ISO-P-M,487440.0903,2130.021,1797.3,ISO-P-M
286,Sub048 ISO-P-L,810356.7268,2995.5626,2609.8,ISO-P-L
287,Sub048 ISO-M-S,123460.8344,1080.4079,826.6999999,ISO-M-S
