Label,Practice,subbasin,HRU
Sub022 ISO-P-M, ISO-P-M,22,0
Sub022 ISO-P-L, ISO-P-L,22,0
Sub022 ISO-M-S, ISO-M-S,22,0
Sub022 ISO-M-M, ISO-M-M,22,0
Sub022 ISO-M-L, ISO-M-L,22,0
Sub023 ISO-P-S, ISO-P-S,23,0
Sub023 ISO-P-M, ISO-P-M,23,0
Sub023 ISO-P-L, ISO-P-L,23,0
Sub023 ISO-M-S, ISO-M-S,23,0
Sub023 ISO-M-M, ISO-M-M,23,0
Sub023 ISO-M-L, ISO-M-L,23,0
Sub024 ISO-P-S, ISO-P-S,24,0
Sub024 ISO-P-M, ISO-P-M,24,0
Sub024 ISO-P-L, ISO-P-L,24,0
Sub024 ISO-M-S, ISO-M-S,24,0
Sub024 ISO-M-M, ISO-M-M,24,0
Sub024 ISO-M-L, ISO-M-L,24,0
Sub025 ISO-P-S, ISO-P-S,25,0
Sub025 ISO-P-M, ISO-P-M,25,0
Sub025 ISO-P-L, ISO-P-L,25,0
Sub025 ISO-M-S, ISO-M-S,25,0
Sub025 ISO-M-M, ISO-M-M,25,0
Sub025 ISO-M-L, ISO-M-L,25,0
Sub026 ISO-P-S, ISO-P-S,26,0
Sub026 ISO-P-M, ISO-P-M,26,0
Sub026 ISO-P-L, ISO-P-L,26,0
Sub026 ISO-M-S, ISO-M-S,26,0
Sub026 ISO-M-M, ISO-M-M,26,0
Sub026 ISO-M-L, ISO-M-L,26,0
Sub027 ISO-P-S, ISO-P-S,27,0
Sub027 ISO-P-M, ISO-P-M,27,0
Sub027 ISO-P-L, ISO-P-L,27,0
Sub027 ISO-M-S, ISO-M-S,27,0
Sub027 ISO-M-M, ISO-M-M,27,0
Sub027 ISO-M-L, ISO-M-L,27,0
Sub028 ISO-P-S, ISO-P-S,28,0
Sub028 ISO-P-M, ISO-P-M,28,0
Sub028 ISO-P-L, ISO-P-L,28,0
Sub028 ISO-M-S, ISO-M-S,28,0
Sub028 ISO-M-M, ISO-M-M,28,0
Sub028 ISO-M-L, ISO-M-L,28,0
Sub029 ISO-P-S, ISO-P-S,29,0
Sub029 ISO-P-M, ISO-P-M,29,0
Sub029 ISO-P-L, ISO-P-L,29,0
Sub029 ISO-M-S, ISO-M-S,29,0
Sub029 ISO-M-M, ISO-M-M,29,0
Sub029 ISO-M-L, ISO-M-L,29,0
Sub030 ISO-P-S, ISO-P-S,30,0
Sub030 ISO-P-M, ISO-P-M,30,0
Sub030 ISO-P-L, ISO-P-L,30,0
Sub030 ISO-M-S, ISO-M-S,30,0
Sub030 ISO-M-M, ISO-M-M,30,0
Sub030 ISO-M-L, ISO-M-L,30,0
Sub031 ISO-P-S, ISO-P-S,31,0
Sub031 ISO-P-M, ISO-P-M,31,0
