 ISO-P-S, ISO-P-M, ISO-P-L, ISO-M-S, ISO-M-M, ISO-M-L, InC-P25, InC-P50, InC-P250, InC-P500, InC-P1000, InC-P2000, InC-M25, InC-M50, InC-M250, InC-M500, InC-M1000, InC-M2000,subbasin
0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,81
1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,82
0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,83
1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,84
0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,85
0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,86
1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,87
0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,88
1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,89
1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,90
1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,91
1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,92
1,0,1,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,93
0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,1,1,1,94
0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,95
1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,96
0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,97
1,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,98
1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,99
0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,100
0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,101
1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,102
0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,103
1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,104
0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,105
1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,106
0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,107
1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,1,108
0,1,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,109
0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,110
0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,111
0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,112
0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,113
0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,114
1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,115
1,0,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,116
1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,117
0,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,118
0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,119
0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,120
1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,121
0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0,122
1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,123
1,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,124
1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,125
1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,126
1,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,127
0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,128
