Label,ld0.0top10,ld0.0top30,ld0.0top60,ld0.5top10,ld0.5top30,ld0.5top60,ld1.0top10,ld1.0top30,ld1.0top60
Sub017 ISO-M-M,0,1,1,0,0,1,0,0,1
Sub017 ISO-M-L,0,0,1,0,0,1,0,0,1
Sub018 ISO-P-S,0,0,1,0,0,1,0,0,1
Sub018 ISO-P-M,0,0,1,0,0,1,0,0,1
Sub018 ISO-P-L,0,0,1,0,0,0,0,0,1
Sub018 ISO-M-S,0,0,1,0,0,1,0,0,1
Sub018 ISO-M-M,0,0,1,0,0,1,0,0,1
Sub018 ISO-M-L,0,0,1,0,0,0,0,0,1
Sub019 ISO-P-S,0,1,1,0,1,1,0,0,1
Sub019 ISO-P-M,0,0,1,0,0,1,0,0,1
Sub019 ISO-P-L,0,0,1,0,0,1,0,0,1
Sub019 ISO-M-S,0,1,1,0,1,1,0,0,1
Sub019 ISO-M-M,0,0,1,0,0,1,0,0,1
Sub019 ISO-M-L,0,0,1,0,0,1,0,0,1
Sub020 ISO-P-S,0,0,0,0,0,0,0,0,1
Sub020 ISO-P-M,0,0,0,0,0,0,0,0,1
Sub020 ISO-P-L,0,0,0,0,0,0,0,0,1
Sub020 ISO-M-S,0,0,1,0,0,0,0,0,1
Sub020 ISO-M-M,0,0,0,0,0,0,0,0,1
Sub020 ISO-M-L,0,0,0,0,0,0,0,0,1
Sub021 ISO-P-S,0,0,0,0,0,0,0,0,0
Sub021 ISO-P-M,0,0,0,0,0,0,0,0,0
Sub021 ISO-P-L,0,0,0,0,0,0,0,0,0
Sub021 ISO-M-S,0,0,0,0,0,0,0,0,0
Sub021 ISO-M-M,0,0,0,0,0,0,0,0,0
Sub021 ISO-M-L,0,0,0,0,0,0,0,0,0
Sub022 ISO-P-S,0,0,0,0,0,0,0,0,1
Sub022 ISO-P-M,0,0,0,0,0,0,0,0,1
Sub022 ISO-P-L,0,0,0,0,0,0,0,0,1
Sub022 ISO-M-S,0,0,0,0,0,0,0,0,1
Sub022 ISO-M-M,0,0,0,0,0,0,0,0,1
Sub022 ISO-M-L,0,0,0,0,0,0,0,0,1
Sub023 ISO-P-S,0,0,1,0,0,1,0,0,1
Sub023 ISO-P-M,0,0,1,0,0,1,0,0,1
Sub023 ISO-P-L,0,0,0,0,0,0,0,0,1
Sub023 ISO-M-S,0,0,1,0,0,1,0,0,0
Sub023 ISO-M-M,0,0,1,0,0,0,0,0,1
Sub023 ISO-M-L,0,0,0,0,0,0,0,0,1
Sub024 ISO-P-S,0,0,0,0,0,0,0,0,1
Sub024 ISO-P-M,0,0,0,0,0,0,0,0,1
Sub024 ISO-P-L,0,0,0,0,0,0,0,0,1
Sub024 ISO-M-S,0,0,0,0,0,0,0,0,1
Sub024 ISO-M-M,0,0,0,0,0,0,0,0,1
Sub024 ISO-M-L,0,0,0,0,0,0,0,0,1
Sub025 ISO-P-S,0,0,1,0,0,1,0,0,1
Sub025 ISO-P-M,0,0,0,0,0,0,0,0,1
Sub025 ISO-P-L,0,0,0,0,0,0,0,0,1
Sub025 ISO-M-S,0,0,1,0,0,1,0,0,1
Sub025 ISO-M-M,0,0,0,0,0,0,0,0,1
Sub025 ISO-M-L,0,0,0,0,0,0,0,0,1
Sub026 ISO-P-S,0,0,0,0,0,0,0,0,1
Sub026 ISO-P-M,0,0,0,0,0,0,0,0,1
Sub026 ISO-P-L,0,0,0,0,0,0,0,0,1
Sub026 ISO-M-S,0,0,0,0,0,0,0,0,1
Sub026 ISO-M-M,0,0,0,0,0,0,0,0,1
Sub026 ISO-M-L,0,0,0,0,0,0,0,0,1
Sub027 ISO-P-S,0,1,1,0,1,1,0,0,1
Sub027 ISO-P-M,0,0,1,0,0,1,0,0,1
Sub027 ISO-P-L,0,0,1,0,0,1,0,0,0
Sub027 ISO-M-S,0,1,1,0,1,1,0,0,1
Sub027 ISO-M-M,0,0,0,0,0,0,0,1,1
Sub027 ISO-M-L,0,0,1,0,0,1,0,0,0
Sub028 ISO-P-S,0,1,1,0,1,1,0,0,1
Sub028 ISO-P-M,0,0,1,0,0,1,0,0,1
Sub028 ISO-P-L,0,0,1,0,0,1,0,0,1
Sub028 ISO-M-S,0,1,1,0,1,1,0,0,1
Sub028 ISO-M-M,0,0,1,0,0,1,0,0,1
Sub028 ISO-M-L,0,0,1,0,0,1,0,0,1
Sub029 ISO-P-S,0,1,1,0,1,1,0,0,1
Sub029 ISO-P-M,0,0,1,0,0,1,0,0,1
Sub029 ISO-P-L,0,0,1,0,0,1,0,0,1
Sub029 ISO-M-S,0,1,1,0,1,1,0,0,1
Sub029 ISO-M-M,0,0,1,0,0,1,0,0,1
Sub029 ISO-M-L,0,0,1,0,0,1,0,0,1
Sub030 ISO-P-S,0,1,1,0,1,1,0,0,1
Sub030 ISO-P-M,0,0,1,0,0,1,0,0,1
Sub030 ISO-P-L,0,0,1,0,0,1,0,0,1
Sub030 ISO-M-S,0,1,1,0,1,1,0,0,1
Sub030 ISO-M-M,0,0,1,0,0,1,0,0,1
